filename,subject,total_questions,correct_predictions,percentage_correct
result_prompt_en_alpa_ar_cot_gemini-1.5-flash-latest.csv,Unexpected Outcome Test,299,141,47.16%
result_prompt_en_alpa_ar_cot_mt0-small.csv,overall,2814,873,31.02%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Ambiguous Story Task,199,54,27.14%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Completion of Failed Actions,20,2,10.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Discrepant Desires,20,7,35.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Discrepant Emotions,40,8,20.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Discrepant Intentions,40,12,30.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Emotion Regulation,20,7,35.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,False Belief Task,599,164,27.38%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Faux-pas Recognition Test,558,283,50.72%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Hidden Emotions,80,5,6.25%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Hinting Task Test,103,23,22.33%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Knowledge-Attention Links,20,4,20.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Knowledge-Pretend Play Links,30,15,50.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Multiple Desires,20,3,15.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Percepts-Knowledge Links,40,8,20.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Persuasion Story Task,99,25,25.25%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Prediction of Actions,20,3,15.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Scalar Implicature Test,200,50,25.00%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Strange Story Task,407,108,26.54%
result_prompt_en_alpa_ar_cot_mt0-small.csv,Unexpected Outcome Test,299,92,30.77%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,overall,2814,849,30.17%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Ambiguous Story Task,199,56,28.14%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Completion of Failed Actions,20,2,10.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Discrepant Desires,20,4,20.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Discrepant Emotions,40,6,15.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Discrepant Intentions,40,9,22.50%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Emotion Regulation,20,7,35.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,False Belief Task,599,159,26.54%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Faux-pas Recognition Test,558,254,45.52%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Hidden Emotions,80,5,6.25%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Hinting Task Test,103,28,27.18%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Knowledge-Attention Links,20,4,20.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Knowledge-Pretend Play Links,30,13,43.33%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Multiple Desires,20,2,10.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Percepts-Knowledge Links,40,8,20.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Persuasion Story Task,99,28,28.28%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Prediction of Actions,20,2,10.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Scalar Implicature Test,200,48,24.00%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Strange Story Task,407,114,28.01%
result_prompt_en_alpa_ar_cot_bloomz-560m.csv,Unexpected Outcome Test,299,100,33.44%
result_prompt_en_alpa_ar_mt0-small.csv,overall,2814,875,31.09%
result_prompt_en_alpa_ar_mt0-small.csv,Ambiguous Story Task,199,54,27.14%
result_prompt_en_alpa_ar_mt0-small.csv,Completion of Failed Actions,20,2,10.00%
result_prompt_en_alpa_ar_mt0-small.csv,Discrepant Desires,20,7,35.00%
result_prompt_en_alpa_ar_mt0-small.csv,Discrepant Emotions,40,8,20.00%
result_prompt_en_alpa_ar_mt0-small.csv,Discrepant Intentions,40,12,30.00%
result_prompt_en_alpa_ar_mt0-small.csv,Emotion Regulation,20,7,35.00%
result_prompt_en_alpa_ar_mt0-small.csv,False Belief Task,599,165,27.55%
result_prompt_en_alpa_ar_mt0-small.csv,Faux-pas Recognition Test,558,279,50.00%
result_prompt_en_alpa_ar_mt0-small.csv,Hidden Emotions,80,6,7.50%
result_prompt_en_alpa_ar_mt0-small.csv,Hinting Task Test,103,22,21.36%
result_prompt_en_alpa_ar_mt0-small.csv,Knowledge-Attention Links,20,4,20.00%
result_prompt_en_alpa_ar_mt0-small.csv,Knowledge-Pretend Play Links,30,15,50.00%
result_prompt_en_alpa_ar_mt0-small.csv,Multiple Desires,20,3,15.00%
result_prompt_en_alpa_ar_mt0-small.csv,Percepts-Knowledge Links,40,8,20.00%
result_prompt_en_alpa_ar_mt0-small.csv,Persuasion Story Task,99,26,26.26%
result_prompt_en_alpa_ar_mt0-small.csv,Prediction of Actions,20,3,15.00%
result_prompt_en_alpa_ar_mt0-small.csv,Scalar Implicature Test,200,51,25.50%
result_prompt_en_alpa_ar_mt0-small.csv,Strange Story Task,407,109,26.78%
result_prompt_en_alpa_ar_mt0-small.csv,Unexpected Outcome Test,299,94,31.44%
