observation_1,observation_2,hypothesis_1,hypothesis_2,label
كنت في طابور في السينما.,أثبت الصبي أنها مخطئة بتبليل نفسه.,أخبرت الأم ابنها أنه يمكنه الانتظار.,هرعت الأم بابنها إلى الحمام.,1
عمل بيل بجد من أجل شراء سيارة.,أخذ السيارة إلى محل لطلائها، ولوّنها المحل باللون الأزرق!,بيل أحب اللون الأصلي للسيارة.,بيل أراد أن يرسم السيارة باللون الأحمر.,2
جو يحب شرب البيرة.,جو يعاني الآن من مرض الكبد بسبب شربه الكثير من البيرة.,جو شرب كرتونًا في اليوم لسنوات.,جو شرب كرتونًا في اليوم لمدة أسبوع.,1
يحب جو شرب البيرة.,يعاني جو الآن من مرض الكبد بسبب شربه الكثير من البيرة.,يشرب جو 6 بيرة كل يوم.,يشرب جو 6 بيرة كل ظلام.,1
كانت مايا تحتاج إلى خفض وزنها.,في شهر، فقد كل منهما عشرة أرطال!,عملت مايا مع صديقة.,أكلت مايا الحلويات مع صديقة.,1
كانت مايا تحتاج إلى خفض وزنها.,في شهر، فقد كل منهما عشرة أرطال!,بدأت مايا روتينًا رياضيًا يوميًا.,وضعت مايا كلبها على نظام غذائي.,1
شون أحب الموسيقى.,صنع الموسيقى وانتهى به المطاف إلى كسب الكثير من المال.,انتهى به المطاف إلى أن يصبح موسيقياً.,انتهى به المطاف إلى أن يصبح موسيقياً.,2
شون أحب الموسيقى.,صنع الموسيقى وانتهى به المطاف إلى كسب الكثير من المال.,شون تعلم صناعة الموسيقى.,شون لم يتعلم أبدًا صناعة الموسيقى.,1
كانت سالي تتصفح خزانة ملابسها ذات يوم ورأت قميصًا.,نظرَت إلى الأسفل وأدركت أن القميص به ثقوب.,عرفت سالي أن القميص جديد العهد.,عرفت سالي أن القميص قديم.,2
كانت سالي تتصفح خزانة ملابسها ذات يوم ورأت قميصًا.,نظرَت إلى الأسفل وأدركت أن القميص به ثقوب.,رمت القميص بسرعة.,رمت البنطال بسرعة.,1
تم استدعاء إد للخدمة في هيئة المحلفين.,لقد اختاروا بالفعل هيئة محلفين كاملة ولم يحتاجوا إلى إد!,تلقى إد مكالمة هاتفية كان ينتظرها.,تلقى إد مكالمة هاتفية لم يكن ينتظرها.,1
لم ينام طفلي الليلة الماضية.,انتهى بي الأمر إلى القيادة لساعات طويلة.,أدركت أنه احتاج إلى بطانيته، التي نسيتها في فندق بعيد.,أدركت أنه احتاج إلى بطانيته، التي نسيتها في فندق قريب.,1
لم ينام طفلي طوال الليل.,انتهى بي الأمر أن أقود السيارة لساعات.,أخذت طفلتي إلى المستشفى ونامت.,أخذت طفلتي في نزهة بالسيارة ونامت في السيارة.,2
ذهبت رامونا إلى حدث سباق الخيل الأول لها منذ فترة قريبة.,لم تستطع رامونا الانتظار للعودة مرة أخرى.,رامونا أحبت سباق الخيل.,رامونا كرهت سباق الخيل.,1
ذهبت رامونا إلى حدث سباق الخيل الأول لها منذ فترة قريبة.,لم تستطع رامونا الانتظار للعودة.,وضعت رامونا رهانًا على كلب.,وضعت رامونا رهانًا على حصان.,2
كان جيم مهووسًا بالأبطال الخارقين.,كسر جيم ذراعه وأخته معاقبة لمدة عام.,تساءل جيم وأخته حول المسؤولية.,قفز جيم وأخته حول الأقنعة والسراويل الضيقة.,2
كان جيم مهووسًا بالأبطال الخارقين.,كسر جيم ذراعه وأخته معاقبة لمدة عام.,قفز جيم وأخته حولهما بعباءات وضيق.,قفزت أخت جيم حولها بعباءة وضيق.,1
اشتركت العمة جانيت في دورة إنعاش قلبي رئوي لأن والديها كانا يتقدمان في العمر.,حفظت مهارات الإنعاش القلبي الرئوي الخاصة بها على حياته حتى وصول سيارة الإسعاف.,عانى والد العمة جانيت من نوبة قلبية.,توفي والد العمة جانيت لأنها نسيت التكرارات.,1
اشتركت العمة جانيت في دورة إنعاش قلبي رئوي لأن والديها كانا يتقدمان في العمر.,حفظت مهاراتها في الإنعاش القلبي الرئوي حياته حتى وصول سيارة الإسعاف.,أرادت جانيت أن تكون مستعدة على الرغم من أن والديها بخير.,تعرض والد جانيت لنوبة قلبية.,2
كانت مابل تحكي لأطفالها خرافة.,اصطدم جميعهم برأسهم في أسفل الطاولة.,كان أطفال مابل جالسين في سيارة عندما أخبرتهم القصة.,كان أطفال مابل جالسين تحت الطاولة عندما أخبرتهم القصة.,2
كان أرنولد خائفًا من السناجب.,صرخ أرنولد مثل الفتاة الصغيرة.,ظهرت مجموعة من السناجب على حافة نافذته.,ظهرت مجموعة من الفراشات على حافة نافذته.,1
كان ماكس واقفًا في البنك.,عندما التقطها ماكس، رأى أنها مكسورة.,وجد ماكس حشرة على الأرض.,وجد ماكس ساعة على الأرض.,2
كانت أدي تعمل في المول في هولستر عندما جاء رجل غريب إلى الداخل.,وضعت أدي في السجن بسبب جريمتها.,لم يكن لدى أدي فكرة أن الرجل الغريب رأها تسرق خاتم الماس.,لم يكن لدى أدي فكرة أن الرجل الغريب رأها تلقي نظرة.,1
كانت أدي تعمل في المول في هولستر عندما جاء رجل غريب.,كانت أدي مرتاحة وخذت أنفاس عميقة لتهدئ نفسها.,سأل الرجل عن مساعدتها وكان غريبًا جدًا.,سأل الرجل عن المساعدة، وكان في الواقع ودودًا.,2
أرادت أنجي أن تعامل جروها بلعبة جديدة.,كانت أنجي سعيدة لرؤية كلبها ممتلئًا بهذه الفرحة.,اشترت أنجي لجروها لعبة في متجر الحيوانات الأليفة.,فقدت أنجي جروها في متجر الحيوانات الأليفة.,1
كان إيريك يتطلع إلى عطلته من العمل.,غادر المبنى وهو يصفر لحنًا، متحمسًا للذهاب إلى المنزل والراحة.,سجل إيريك الخروج في الساعة ٨م.,سجل إيريك الخروج في تمام الساعة ٥م.,2
أنا أحب تمرير الملاحظات في الصف.,الأشخاص الذين يكتبون لي ردًا غالبًا ما يصبحون أصدقائي المقربين.,أمرر ملاحظات إلى جميع الأقليات قائلاً لهم أن يعودوا إلى حيث أتوا.,أمرر ملاحظات إلى كل شخص في الصف.,2
أنا أحب تمرير الملاحظات في الصف.,غالبًا ما يصبح الأشخاص الذين يكتبون لي ردًا أصدقائي المقربين.,أرسل ملاحظات إلى نفسي.,أرسل ملاحظات إلى الجميع.,2
جيمس أحب شرب البيرة لكنه لم ير مصنع بيرة من قبل.,فقرر أن يريد زيارة المزيد من مصانع البيرة.,قرر جيمس زيارة مصنع بيرة محلي وسكر.,قرر جيمس زيارة مصنع بيرة محلي.,2
جيمس أحب شرب البيرة لكنه لم ير مصنع بيرة من قبل.,فقرر أن يريد زيارة المزيد من مصانع البيرة.,ذهب جيمس في جولة لمصنع بيرة.,ذهبت جولة لمصنع بيرة على جيمس.,1
زوي طفلة وحيدة.,عندما يولد الطفل، تذهب إلى المستشفى لمقابلة أخيها!,زوي تحصل على أخ جديد.,زوي تحصل على فأر أليف جديد.,1
زوي طفلة وحيدة.,عندما يولد الطفل، تذهب إلى المستشفى لمقابلة أخاها!,والدا زوي لا يستطيعان إنجاب الأطفال.,والدا زوي حاملان.,2
كان دوغ وحيدًا.,لم يعد دوغ وحيدًا.,دعا دوغ صديقًا للتواجد معه و جاء الصديق إلى منزل دوغ.,دعا دوغ صديقًا للتواجد معه و لكن الصديق رفض القدوم إلى منزل دوغ.,1
كانت ليلة باردة وكان المخيمون متعبين وجائعات.,ذهبوا إلى خيامهم بعد بضع ساعات للنوم.,صنع المخيمون نارًا ورووا قصصًا عن الأشباح.,غادروا تلك الليلة.,1
كانت ليلة باردة وكان المخيمون متعبين وجائين.,ذهبوا إلى خيامهم بعد بضع ساعات للنوم.,قرروا البحث عن طعام لتناوله.,قرروا عدم البحث عن طعام لتناوله.,1
كان جو متحمسًا للخروج في ليلة الهالوين مع عصابة من الأولاد.,رأى حلوى غير مرغوب فيها متناثرة حول بابه الأمامي.,كان جو يستمتع بزيارة البيوت للحصول على الحلوى.,لم يخرج جو لزيارة البيوت للحصول على الحلوى أبدًا.,1
كان هنري واقفًا بالقرب من جانب المسبح.,أصبحت جميع متعلقاته مبللة.,سقط هنري في الماء عن طريق الخطأ.,رفض هنري أن يدخل الماء.,1
كان هنري واقفًا بالقرب من جانب حمام السباحة.,أصبحت جميع متعلقاته مبللة.,تم تصريف حمام السباحة في اليوم السابق.,هاري تعرض لرش الماء من قبل سباح.,2
كان الرجل في السيارة الحمراء يقود بسرعة.,وقعوا في حادث كبير.,اصطدم الرجل بسيارة أخرى.,اصطدمت الفتاة بسيارة أخرى.,1
كان الرجل في السيارة الحمراء يقود بسرعة.,وقعوا في حادث كبير.,اصطدم الرجل بمركبة أبطأ حركة من الخلف.,كاد الرجل أن يصطدم بمركبة أبطأ حركة من الخلف.,1
زار مفتشو المقاطعة حديقة مقطوراتنا.,ثم بنى جون وأنا مجموعة حقيقية مستقرة من الدرابزينات لخطواتي.,كانت مقطوراتنا على مستوى.,لم تكن مقطوراتنا على مستوى.,2
حصل جوني على سمكة أليفة جديدة في عيد ميلاده.,بعد ذلك، قام بتغيير الماء ووضع نيمو مرة أخرى في حوضه.,وضع سمكه في الحوض، لكنه كان متسخًا.,وضع الأسماك في الحوض النظيف.,1
كان فرانكي وصديقه جوش يلعبان هالو عبر الإنترنت.,عملت الاستراتيجية، وفاز فرانكي باللعبة لفريقه.,فرانكي توصل إلى استراتيجية.,فرانكي توصل إلى العشاء.,1
بحث جاي عن هذا المعطف الدافئ لفترة من الوقت.,يشتريه على أي حال,وجد جاي قميصه ولكنه يريد حقًا الحصول على قميص جديد أيضًا.,وجد جاي معطفه، ولكنه يريد حقًا الحصول على معطف جديد أيضًا.,2
بحث جاي عن هذا المعطف الدافئ لفترة من الوقت.,يشتريه على أي حال,يرى جاي واحدًا في المتجر يعجبه لكنه غير متأكد إذا كان سيجد القديم الخاص به.,يرى جاي واحدًا في المتجر يعجبه، لكنه ينتظر شراءه في حالة العثور على القديم الخاص به.,1
كطفل، ذهبت عائلة بول في إجازة إلى ولاية واشنطن.,تمكن أخيرًا من الانتقال إلى واشنطن.,أراد بول أن ينتقل إلى واشنطن في النهاية.,لم يعجب بول بواشنطن.,1
كطفل، ذهبت عائلة بول في إجازة إلى ولاية واشنطن.,تمكن أخيرًا من الانتقال إلى واشنطن.,لم يكن بول يريد أبدًا الانتقال إلى واشنطن.,كان بول يريد الانتقال إلى واشنطن في النهاية.,2
كانت إيمي في الحديقة تمشي كلبها سبوت.,أعطت إيمي الممثل الصامت 5 دولار لتعويضه عن خوفه من سبوت.,ركض سبوت خلف الممثل الصامت ونبح.,ركض ممثل صامت خلف سبوت ونبح.,1
كانت إيمي في الحديقة تمشي كلبها سبوت.,أعطت إيمي الممثل الصامت 5 دولار لتعويضه عن خوفه من سبوت.,قفز الممثل الصامت عندما نبّ سبوت نحوه.,قفز الممثل الصامت عندما هسست القطة نحوه.,1
دخلت سارة نفسها في مسابقة رقص في مدرستها.,حصلت على المركز الأول لروتينها.,سارة لم تمارس قبل الأداء في مدرستها.,سارة مارست قبل الأداء في مدرستها.,2
دخلت سارة نفسها في مسابقة رقص في مدرستها.,حصلت على المركز الأول لروتينها.,تمارس سارة كل يوم على الرقص.,لم تمارس سارة أبدًا على الرقص.,1
كانت شيلا وزوجها يتوقعان مولودهما الرابع.,أخبرها الطبيب بشكل مفاجئ أنها تتوقع ثلاثة أطفال!,زارت شيلا وزوجها الطبيب.,قرر شيلا وزوجها عدم زيارة الطبيب.,1
شيلا وزوجها كانا يتوقعان مولودهما الرابع.,أخبرها الطبيب بشكل مفاجئ أنها تتوقع ثلاثة أطفال!,ذهبت شيلا إلى الطبيب لإجراء اختبار الحمل.,ذهبت شيلا إلى الطبيب لإجراء تصويرًا بالموجات فوق الصوتية.,2
لم يكن جيم واثقًا من مهاراته في إصلاح المنزل.,كان جيم متحمسًا جدًا لتعلم مهارة جديدة.,حضر جيم ورشة عمل في متجر الأدوات المنزلية المحلي.,لم يحضر جيم أبدًا ورشة عمل في متجر الأدوات المنزلية المحلي.,1
لم يكن جيم واثقًا من مهاراته في إصلاح المنزل.,كان جيم متحمسًا جدًا لتعلم مهارة جديدة.,سجل جيم في فصل DIY لتدمير المنزل.,سجل جيم في فصل DIY لإصلاح المنزل.,2
فتاة تدعى جولي وذات ضفيرتين سألت البائع عن حلوى القطن.,جولي قفزت بعيدًا وهي سعيدة، وابتسم الرجل.,أعطى الرجل لها كيسًا من حلوى القطن الوردية.,أعطاها الطفل كيسًا من القطن الوردي.,1
فتاة تدعى جولي وذات ضفيرتين سألت البائع عن حلوى القطن.,جولي تركت مسرعة بسعادة، وابتسم الرجل.,جولي أعطت البائع ما أراده.,البائع أعطى جولي ما أرادت.,2
اكتشفت الأخت الصغيرة أنها ستكون لها أخ صغير.,حصلت الأخت الصغيرة على ملف تعريف ارتباط لمكافأة سلوكها.,ساعدت أمها في تزيين غرفة المولود الجديد.,ساعدت أمها في تجاهل غرفة المولود الجديد.,1
اكتشفت الأخت الصغيرة أنها ستكون لها أخ صغير.,حصلت الأخت الصغيرة على ملف تعريف ارتباط لمكافأة سلوكها.,كانت الأخت الأصغر سناً متحمسة جدًا لدرجة أنها صنعت لأخيها الصغير سريرًا ونظفت المنزل بالكامل.,كانت الأخت الصغيرة متحمسة جدًا لدرجة أنها صنعت لأخيها الصغير صورة ونظفت غرفتها.,2
اكتشفت الأخت الصغيرة أنها ستكون لها أخ صغير.,عوقبت الأخت الصغيرة بوقت مستقطع.,صرخت الأخت الصغيرة وبكت ورمت ألعابها.,أحببت الأخت الصغيرة الفكرة.,1
كان توماس دائمًا يُعيد كتبه من المكتبة في الوقت المحدد.,كان على توماس دفع غرامة مكتبة.,احتفظ توماس بالكتاب لفترة طويلة جدًا.,احتفظ توماس بالكتاب لفترة غير طويلة.,1
كان توماس دائمًا يُعيد كتبه المكتبية في الوقت المحدد.,كان على توماس دفع غرامة مكتبية.,عندما أعاد توماس أحدث كتبه، كان صدمًا لاكتشاف أنه مدين ب ٠ دولار في رسوم التأخير.,عندما أعاد توماس أحدث كتبه، كان صدمًا لاكتشاف أنه مدين ب ٢ دولار في رسوم التأخير.,2
كانت إميلي ذاهبة إلى السجن، وكانت متحمسة.,اليوم هو أول يوم لها كضابطة تصحيحية!,عملت إميلي بجد شديد لتُسجن.,عملت إميلي بجد شديد لهذا اليوم.,2
كنا نذهب إلى الحديقة طوال الوقت.,احتاج إلى 19 غرزة في تلك الليلة.,فاجأ صديقي صديقته في الحديقة ليلة واحدة.,فاجأ صديقي ركبته في الحديقة ليلة واحدة.,2
كانت الموسيقى حياة كات.,أكملت دراستها بمرتبة الشرف، وهي الآن عازفة بيانو مشهورة.,استمتعت كات به كثيرًا لدرجة أنها عزفت طوال الوقت.,كرهت كات ذلك كثيرًا لدرجة أنها تجنبتها طوال الوقت.,1
كانت الموسيقى حياة كات.,أكملت دراستها بمرتبة الشرف، وهي الآن عازفة بيانو مشهورة.,قبلت في مدرسة الموسيقى.,رفضت طلبها في مدرسة الموسيقى.,1
ذهبت أنني وعائلتها في رحلة بالسيارة.,قريبًا، وصلوا إلى جراند كانيون.,كانت أنني متحمسة للوصول.,كانت أنني حزينة لاضطرارها للعودة إلى المنزل.,1
كان تيمي يحب مخروطات الثلج.,فتحها بسرعة وابتسم وهو ينظر إلى صانع مخروطات الثلج الخاص به.,كان لدى تيمي هدية عيد ميلاد لفتحها.,كان لدى تيمي فاتورة بطاقة ائتمانية لفتحها.,1
كانت كيتي تحب هاتفها الجديد.,انكسرت الشاشة ولم تعد تعمل بشكل صحيح بعد الآن.,أسقطت كيتي الهاتف القديم.,أسقطت كيتي الهاتف الجديد.,2
جيمس لم يكن قد طار في طائرة من قبل.,استراح عندما رأى الغيوم الجميلة والمياه.,جيمس تناول حبة مهدئة للقلق قبل مغادرة الطائرة.,جيمس تناول حبة مهدئة للقلق قبل صعود الطائرة.,2
لم يكن جيمس قد طار في طائرة من قبل.,استراح وهو يشاهد الغيوم الجميلة والمياه.,ذهب جيمس في أول رحلة طيران له عبر المحيط.,ذهب جيمس في أول رحلة قارب له عبر المحيط.,1
كانت صف ميللي يتعلم عن الطب البديل.,انتقلت ميللي إلى مؤخرة الخط لضمان عدم اختياره لها.,لم تفهم ميللي الطب البديل.,كانت ميللي بارعة في الطب البديل.,1
كانت صف ميللي يتعلم عن الطب البديل.,انتقلت ميللي إلى مؤخرة الخط لضمان عدم اختياره لها.,كانت ميللي متحمسة جدًا لأخذ دورها.,كانت ميللي عصبية جدًا لدرجة أنها لم تستطع أخذ دورها.,2
عادةً ما أستمتع بعيد الميلاد.,انتهى هذا اليوم بمزيد من المشاكل.,عندما فتحت الهدايا وجدتها مكسورة.,عندما أغلقت الهدايا فقدتها كانت معًا.,1
أحب جوني أمه وأباه كثيرًا .,ظهر حبه من خلال أفعاله,تكلم جوني ضد عقابه.,تكلم جوني ضد والديه.,2
شقة جاستن كانت تفوح برائحة كريهة.,قريبًا، انتشرت رائحة القرفة في جميع أنحاء المنزل.,هرع إلى المتجر واشترى عدة شموع معطرة.,هرع إلى المتجر واشترى عدة أسماك.,1
شقة جاستن كانت تفوح برائحة كريهة.,قريبًا، انتشرت رائحة القرفة في جميع أنحاء المنزل.,جاستن كان يصنع فطيرة تفاح.,جاستن كان يصنع حساء البصل الفرنسي.,1
سارة كانت امرأة وحيدة عزباء.,بدأت سارة وشون في رؤيتها لبعضهما البعض كثيرًا.,سجلت سارة في موقع للتعارف عبر الإنترنت ولقحت شون.,سجلت سارة في موقع للتعارف عبر الإنترنت ولقحت نفسها.,1
قرر أصدقائي وأنا أن نقود السيارة إلى مهرجان موسيقي على بعد 3 ساعات.,تحدثنا وضحكنا طوال الرحلة وقضينا وقتًا رائعًا.,خرجنا من السيارة وسارنا إلى المهرجان.,خرجنا من السيارة واتجهنا إلى المهرجان.,1
قنعني أصدقائي بالذهاب في رحلة تزلج في نهاية الأسبوع الماضي.,لم يكلف أي من أصدقائي حتى عناء البقاء معي.,مرضت أثناء الرحلة وكنت طريح الفراش.,مرضت قبل الرحلة لكنني تعافيت.,1
كانت لورا تمتلك محل زهور.,وفي النهاية بنى الرجل الشجاعة لطلب لورا للخروج في موعد.,لمدة أسبوعين على التوالي، كان رجل يدخل، يسأل إذا كانت الورود طازجة، ثم يغادر.,لمدة أسبوعين على التوالي، كان رجل يدخل، يسأل إذا كانت الدونات طازجة، ثم يغادر.,1
كان ريكس أشرس كلب في الحي.,أمسك بالطائر وبلعه، مما أثار رعب جميع الأطفال.,في يوم من الأيام، رأى طائرًا أزرق.,في يوم من الأيام، رأى طائرًا برتقاليًا.,1
ذهبت جان لتناول الغداء مع كيم.,سلمت كيم الفاتورة إلى جان وقالت إن الغداء على حسابها.,كانت كيم سعيدة لدفع ثمن غداء جان دائمًا.,كانت كيم متعبة من دفع ثمن غداء جان دائمًا.,2
كانت بول وجيسيكا متزوجتين لمدة ١٥ عامًا.,ذهب بول وجيسيكا أخيرًا في طرقهم المنفصلة.,كان لدى بول وجيسيكا مشاكل منذ سنوات.,كان لدى بول وجيسيكا سعادة معًا منذ سنوات.,1
كان بول و جيسيكا متزوجين منذ 15 عامًا.,ذهب بول و جيسيكا أخيرًا في طرقهم المنفصلة.,اكتشف بول أن جيسيكا لا تحبه anymore.,اكتشف بول أن جيسيكا لا تزال تحبه.,1
أريد فقط أن يكون اليوم يومًا هادئًا.,لقد مر وقت طويل منذ أن قمنا بذلك.,ذهبت إلى الحمام مع كلبي.,أخذت قيلولة مع كلبي.,2
