observation_1,observation_2,hypothesis_1,hypothesis_2,label
اجتمعت لوسي مع جميع أصدقائها لحفلة بيتزا.,عندما كانت البيتزا جاهزة، قاموا بتذوقها وكانت لذيذة.,قررت لوسي صنع البيتزا في المنزل.,بدأت لوسي في طلب البيتزا.,1
كانت يومًا عاصفًا جدًا.,تمنى جيم أنه لم يخرج في قبعته الجديدة.,وجد جيم قبعته الجديدة في عاصفة.,طارت قبعة جيم بعيدًا في الريح.,2
ذهب تريفور إلى البحيرة يومًا ما لصيد السمك.,أُجبر تريفور على العودة إلى المنزل بعد أن فقد عصا الصيد الخاصة به.,كانت المياه مثالية لجميع مستويات الصيد.,كانت المياه ترفع الأعمدة.,1
عاشت أختي في الطابق العلوي من مبنى سكني شاهق.,أدركت أنني أخافني الارتفاعات الشاهقة و فقدت وعيي.,ذهبت لزيارتها وخطوت إلى الخارج على شرفة شقتها التي تطل على منظر رائع.,نظرت إلى الأسفل من شرفة شقتها ورأيت الغيوم.,1
كانت أليستر تمارسها بقوسها.,انتهى به أن يأتي بشكل مستقيم ويسقط على قدم المدرب.,كانت أليستر ما زالت مبتدئة في استخدام القوس.,أليستر كانت محترفة في استخدام القوس.,1
كان بيلي سيقوم بدعوة رئيسه إلى العشاء.,كان لا يزال يقوم بالتنظيف بالمكنسة الكهربائية عندما وصل رئيسه.,لعب بيلي الألعاب ونسي التنظيف حتى الساعة ٥م.,وصل بيلي إلى المنزل من العمل مبكرًا.,1
كانت مايا تمشي بجانب نهر، تبحث عن ضفادع.,لحسن الحظ، تمكنت من الصعود مرة أخرى والمشي إلى المنزل بأمان.,انتهى بها الأمر إلى السقوط في النهر.,انزلقت مايا على بعض الصخور وكسرت ظهرها.,1
كانت سوزان تصنع حساءً.,فعلت قصارى جهدها لقطع الأجزاء السيئة.,كان عليها أن تضيف بعض المرق.,كان عليها أن تضيف بعض الدجاج.,2
شعرت لولو بالانشغال الشديد في الآونة الأخيرة.,لكنها كانت مستعدة لإرسالها لأن المدرسة ممتازة.,كانت ابنة لولو على وشك الذهاب إلى المدرسة لأول مرة.,كانت والدة لولو تفكر في إرسالها إلى منزل جديد على الرغم من اعتراضاتها.,1
أردت إنشاء لعبة فيديو.,في الواقع، جافا كانت مروعة لبرمجة ألعاب الفيديو.,برمجت باستخدام جافا للعبة الروبوت.,برمجت باستخدام جافا للعبة الروبوت لأنها كانت سهلة.,1
تحصلت أفضل صديقة لي على الزواج وانتقلت إلى هاواي.,احتفلنا لعدة أيام وغادرت إلى المنزل في نهاية الأسبوع.,زارتني أفضل صديقة لي في إجازة.,ذهبت معها للاحتفال.,2
ذهب توم إلى متجر إلكترونيات لشراء سماعات الأذن.,قرر توم دائمًا شراء سماعات أذن أكثر تكلفة.,توم كان ان elitist.,اشترى توم تلك الغالية لكنها انكسرت على الفور.,1
كانت كايا تحتاج إلى شراء فستان جديد لحفل الربيع الرسمي القادم.,لم تستطع مقاومة ذلك فاشترت الإناء القديم.,في المتجر، رأت كايا إناءً جميلًا جدًا.,لم تستطع كايا العثور على أي شيء في المتجر،.,1
جاء سام إلى المنزل ليجد الماء منتشرًا في جميع أنحاء أرضية مطبخه.,ساهم في إعادة تخزين الثلاجة الجديدة بجميع أنواع الطعام المفضلة لديه.,وضع سام منشفة تحت الثلاجة المتسربة.,انكسر جهاز غسيل الأطباق الخاص بسام وكان يتسرب.,2
كان لدى آنا صداع سيء.,لحسن الحظ، عندما استيقظت، كان الصداع قد زال.,تناولت آنا بعض الأسبرين وذهبت للاستلقاء وقامت بقيلولة.,ذهبت إلى حفل موسيقي للتخلص منه.,1
في الليلة الماضية، حلمت بركوب الدراجة.,استيقظت، مخيبًا للآمال بشكل مرير.,كانت حلمي واقعية للغاية وكنت في جولة دراجات ممتعة.,في الواقع، لدي دراجة.,1
كانت بدء تتأخر الساعة في الخارج.,وجهها والداها إلى المنزل لمدة أسبوع لتأخرها.,نسيت ما الوقت و وصلت إلى المنزل متأخرة.,كان من المفترض أن تكون في المنزل بعد ساعة من وصولها.,1
أرادت كيم شراء سيارة.,تم تعيين كيم في وظيفة ووفرت ما يكفي من المال لسيارتها.,كانت كيم تحتاج إلى مزيد من المال مما يمكنها الحصول عليه.,تقدمت كيم بطلب للحصول على وظائف لكسب المال.,2
كان جو يتأخر عن المدرسة.,تناول جو فطورًا لذيذًا وصحيًا من التفاح والموز!,كان لدى جو متسع من الوقت لطهي شيء ما.,لم يكن لدى جو وقت لطهي شيء ما.,2
احتاج تيم إلى فاكهة ليأكلها.,أخيرًا، وجد بعض العنب الطازج ليأكله.,ذهب إلى السوبر ماركت القريب.,بحث تيم لفترة طويلة في الثلاجة الفوضوية.,2
أخذت والدة جينا شريط راب من أطفالها.,وقف مبتسمًا بينما تم سحق شريطه.,كان شريط الراب قاسيًا وخشنًا.,خذ جينا شريطهم الجديد.,1
كايلي تحب أكل الحلويات.,كلنا أكلنا صندل البرواني للحلوى.,طلبنا حلوى يحبها الجميع.,طلبنا مقبلات يحبها الجميع.,1
كانت أورا دائمًا تعاني من زيادة الوزن.,بمساعدتهم، فقدت أورا أكثر من عشرين رطلاً!,قررت أورا أن تأكل طعامًا صحيًا لمدة شهر.,قررت أورا أنها تريد الحفاظ على وزنها.,1
قررت بريا تجربة مطعم جديد.,بريا اعتبرت أن طعامها كان لذيذًا.,طلبت بريا طبقين من الجمبري.,الطعام الذي طلته بريا كان مسخنًا مسبقًا ومطهوًا في الميكرويف.,1
كان جيمي و كانديس سيذهبون في موعد.,أخيرًا، استقروا على الآيس كريم!,لم يعرف جيمي و كانديس أي فيلم سيشاهدون.,لم يستطع جيمي و كانديس أن يقرروا ماذا يفعلون.,2
شعر سكوت بسعادة متزايدة في السنوات القليلة الماضية في مدينة نيويورك.,بينما كان يسوق خارج مدينة نيويورك، شعر سكوت بالراحة والشوق على حد سواء.,وجد سكوت وظيفة في مدينة نيويورك.,تركته الحياة اليومية المملة، المرور المتطرف وسكان المدينة الوقحون يشتاقون إلى الحياة في المدينة الصغيرة.,2
ذهبت إلى المتجر يومًا ما لشراء الملابس.,ذهبت إلى المنزل وكانت الجينز تناسبني بشكل أفضل بكثير.,حصلت على أحجام أكبر.,اشتريت الجينز لكنها بدت باهظة الثمن بعض الشيء.,1
كانت سام في موعد مع صديقها.,عندما سألها صديقها إذا كانت تريد الخروج، صاحت به.,اصطدموا بصديق لطيف لسام في الطريق إلى العشاء.,ذهب الموعد بشكل سيء، ذهبوا إلى المنزل بشروط جيدة.,1
تقوم بام بعمل استطلاعات يوميًا لمحاولة الفوز بجوائز على Survey Monkey.,لم يبدو أن بام تعتقد أن هناك أي خطأ في ذلك.,حاولت بام جعل نفسها صادقة قدر الإمكان.,بام أضاعت الوقت في عمل استطلاعاتها.,2
كانت لدى ليديا حلم غريب الليلة الماضية.,أتمت ليديا أن يكون الحلم حقيقيًا.,في حلم ليديا، كانت فقيرة ووحيدة.,في حلم ليديا، كانت غنية ومشهورة.,2
داني دائمًا ما أرادت ركوب دراجة.,كانوا يركبون معًا في غضون دقائق.,طلبت دانا من جارها أن يركب معها.,طلبت صديقتها من دانا أن تعلمها كيفية الركوب.,1
أرادت كيلي أن تجرب كرة القدم هذا العام.,احتفلت كيلي بشراء البيتزا.,حاولت كيلي أن تدخل فريق كرة القدم ولكن تم رفضها.,تمكنت كيلي من الانضمام إلى الفريق.,2
كان توم متحمسًا لاستخدام مشواة الغاز الجديدة الخاصة به.,تم تدمير مرآب توم وشواياه كلاهما.,لم يتحقق توم من غاز الشواية.,لم يتحقق توم من سلامة الشواية.,2
ذهب مارتن إلى المخيم مع أصدقائه.,اصطاد مارتن الكثير من الأسماك حتى يتمكن الجميع من الأكل.,ذهب أصدقاء مارتن للصيد بدون مارتن.,كان أفضل صياد في المجموعة.,2
كان سام متحمسًا لغسل سيارته.,لقد نسي إغلاق النافذة في كل هذا الإثارة.,بعد غسل السيارة، لاحظ سام أن مقاعد سيارته كانت جميعها مبللة تمامًا.,لف سام جميع نوافذه وبدأ يحلم بأنه سيبدو جيدًا بعد الغسل.,1
كانت ماي تريد بشدة الذهاب إلى الحفل الذي كان يعقد الأسبوع المقبل.,كتب قارئ لطيف رسالة ردًا لتقديمها تذكرتين مجانيتين للحفل!,أرسلت ماي تغريدات بحثًا عن التذاكر.,لذلك اشترت 2 تذكرة عبر الإنترنت.,1
قررت ميندي الذهاب إلى منزل جاك.,فزعت وخرجت صارخة من منزله.,عندما دخلت ميندي الباب، كان جاك عارياً.,خافت ميندي جاك عندما دخلت المنزل.,1
كنت أجد صعوبة في العثور على حذائي المريح.,الذي يجد شيئًا يحتفظ به، قالت لي.,سرق الكلب الحذاء.,سرقت أختي حذائي.,2
لم أكن أحب لون شفتي.,بمرور الوقت، قبلني الناس في المدرسة للشخص الذي أردت أن أكونه.,استخدمت علامة لون لرسمها وردي فاتح.,أردت أن يكون لدي شفتان طبيعيتان. رسمتها حمراء والأشخاص أحبوه.,1
ذهبت عائلة للتسوق معاً.,اشترى الأب للولد جهاز كمبيوتر جديد.,كان ابنهم حسن التصرف للغاية.,احتاج الولد إلى هاتف محمول جديد.,1
كنت أعمل على جهاز الكمبيوتر المحمول الخاص بي يومًا ما.,بعد دفع الفاتورة، لم تعد أعاني من مشاكل.,تلقيت بريدًا إلكترونيًا يفيد بأن فاتورة الكابل الخاصة بي كانت محدثة وسيتم ترقية الخدمة.,كانت الإنترنت بطيئة جدًا ثم توقفت تمامًا.,2
كان عيسى على وشك الزواج لكنه لم يستطع تحمل تكاليف باقة الزهور.,لكن عيسى انتهى به الأمر إلى باقة زهور جميلة مختارة بيديه!,ذهب عيسى إلى الموقع الريفي ووجد بعض الزهور.,نسي عيسى باقة الزهور.,1
هناك بيبر يقوم ببناء سد بالقرب من مدرستنا.,قرر القندس مغادرة المنطقة وذهب إلى أسفل مجرى النهر.,دمر الناس السد الذي كان القندس يبنيه.,كان الجميع في جميع أنحاء الفندق ، يحاولون رؤيته.,1
كانت عائلتي في إجازة في إيطاليا.,كانت تلك صورتنا المفضلة في الإجازة.,التقطنا صورة جميلة لأسبانيا.,التقطنا صورة بجانب الكولوسيوم في روما.,2
قلت لبيل ألا يذهب إلى لانسنج.,وقع في حادث على الطريق السريع، كان يجب أن يستمع.,قال بيل إنه سيكون بخير وغادر.,ذهب بيل إلى لانسنج عن طريق الجو على أي حال.,1
أرادت ليف الرقص الباليه.,زملاء ليف في الصف جعلوها تشعر بالغيرة والصدمة!,سجلت والدة ليف لها.,لم تكن موهوبة جدًا.,1
طفل صغير مريض في المستشفى يعبد لاعب كرة سلة مشهور.,واقفًا أمام محل القهوة كان لاعب الكرة!,قالت ممرضة ذات يوم يجب أن يذهبوا إلى محل القهوة للحصول على مكافأة.,نظر لاعب البيسبول من النافذة إلى محل القهوة.,1
جاك كان يقوم برحلة على الطرق الوعرة.,كان عليه أن يحصل على مساعدة للخروج.,جاك انتهى به الأمر إلى التحرر من الطين.,جاك حصل على أشياء في الطين.,2
حصلت على لعبة سباق جديدة أمس.,أخيرًا بعد ساعات من اللعب توقفت.,كانت ممتعة جدًا، كنت مهرجًا.,جلست لاختبار اللعبة.,2
فريدا هي رئيسة مكتبها.,فريدا لا تفهم لماذا يعاني الناس من مشكلة معها!,لا تطلب من الناس بشكل لطيف حتى تحصل على الأشياء بشكل غير محدد.,لا تطلب من الناس بشكل لطيف حتى تحصل على الأشياء.,2
تواصلت كارلي للتو مع أطفالها لدخولهم من اللعب في الخارج.,ثم، وضعت بعض الكريم الطبي عليها وأملت أن يمر المرض.,كان لدى أحدهم سعال شديد.,لاحظت كارلي أن ابنتها قد تعرضت لسمك العشب السام.,2
كانت ألكسيس قد قصت شجرة عيد الميلاد في الغابة.,عندما وضعتها ، كانت الحجم المناسب لسقفها.,تأكدت ألكسيس من أن الشجرة ليست تحت 20 قدمًا.,كانت ألكسيس قلقة من أنها ستكون كبيرة جدًا.,2
كانت فرانسين تحلم دائمًا بأن تصبح مصممة أزياء.,كانت فخورة جدًا لأنها اتبعت أحلامها.,قررت فرانسين الذهاب إلى المدرسة لتحقيق أحلامها.,تقدمت فرانسين إلى كلية الأعمال.,1
ذهب جاك إلى مباراة كرة السلة الأولى له مع والده.,بينما هتف الجمهور، عرف جاك أنهم لن ينسوا أبدًا مباراته الأولى.,أمسك جاك بكرة ارتدت فوق السياج.,رأى جاك كيف أصبح الجمهور أكثر جنونًا.,2
ناثان كان يتنمر على الكثير من الأولاد الآخرين في المدرسة.,ناثان كان يعلم أن عنفه لن يمنع تعرضه للإيذاء.,ناثان لم يشتغل في أي قتال.,ناثان حصل على عقوبة في المدرسة.,2
صنع مايك المعكرونة محلية الصنع يومًا ما.,المعكرونة هي الآن عنصر أساسي منتظم في نظام مايك الغذائي.,وجد مايك المعكرونة صعبة الصنع.,ميل يحب الطعام الإيطالي.,2
أعطاه صديق راندي توجيهات إلى منزله.,أخبر راندي صديقه كم هو ممتن لأنّه وجده.,عرف راندي المنطقة جيدًا.,لم يعرف ذلك الجزء من المدينة جيدًا.,2
كاي كانت معجب بطفل في صفها.,ابتسم لها بعد ذلك وقال إنه يحبها أيضًا!,قطة أرسلت رسالة حب إلى الولد.,قالت له أنها لا تحبه.,1
لاسي وكارين تشاجرتا.,اعتذرت كارين أيضًا حتى تتمكنا من أن تكونا صديقتين مرة أخرى.,فاتت كارين لاسي كثيرًا، لم تستطع تحمل عدم التحدث إلى صديقتها.,فاتت لاسي كارين كثيرًا، لم تستطع تحمل عدم التحدث إلى صديقتها.,1
كان لصديقي إعلانًا يريد مشاركته.,لذلك، وضعت ابتسامة على وجهي وتمنيت له أفضل الحظ.,أخبرنا صديقي أنه كان يعاني من السرطان وكان من المتوقع أن يموت خلال أسبوع.,يتحدث صديقي عادةً عن بعض الصفقات التجارية.,2
كان جورج على وشك المشاركة في أول مباراة احترافية له.,أثبت جورج مهاراته وفاز في أول مباراة له.,تدرب جورج بشدة لمدة يومين قبل القتال.,كان جورج الضعيف، لكنه كان يتدرب منذ أشهر للمشاركة في هذا الحدث.,2
بوب وأبناؤه يحبون كرة القدم.,بوب وأبناؤه يحتضنون للاحتفال بالفوز.,فاز الفريق الذي يفضله بوب وأبناؤه.,لعبوا كرة السلة في الفناء الخلفي طوال فترة بعد الظهر.,1
كانت ألكس في تارجت مع أمه.,لقد توسل إلى أمه لتشتريه حتى رضعت.,لم ير ألكس اللعبة التي يريدها حقًا في أي من الممرات.,رأى ألكس لعبة يريدها حقًا.,2
حلمت نوفا بأن تصبح راقصة محترفة.,قبلت ثاني اختيار لها.,تقدمت نوفا إلى بعض مدارس الرقص ولكن تم رفضها من قبل اختيارها الأول.,تقدمت نوفا إلى مدرسة رقص واحدة.,1
كارلا وسام قضيا الصباح في بناء قلعة رملية.,دخلت المد ودمرت القلعة.,حدث غير متوقع عندما لم يأت المد في ذلك اليوم.,تم بناء القلعة الرملية مباشرة على الشاطئ.,2
كانت تامي في الصف الثامن.,فكرت تامي في أن تجرب الانضمام إلى فريق الكرة الطائرة للشباب.,كانت تريد أن تكون أقل مشاركة وفقدان الأصدقاء.,كانت تامي طويلة بالنسبة لعمرها.,2
دونالد يترشح للرئاسة.,أتمنى أن يخسر الانتخابات.,دونالد شخص نكران الذات وعظيم.,دونالد ليس المرشح الذي أريده للرئاسة.,2
كنت غير لائق بدنياً.,بعد أسابيع من القفز بالحبل، بدأت أشعر بالتحسن.,كان لدي حبل استخدمته للقفز في المنزل.,التزمت بالتمرين كل شهر من خلال القفز بالحبل.,1
أخبرت أم أورا أورا أن لدى العائلة فاتورة غاز عالية جدًا.,كانت أورا غير سعيدة، لكنها فهمت.,عائلة أورا بحاجة إلى استخدام المزيد من الغاز.,طردت أم أورا من المنزل حتى تقلل فاتورة الغاز.,2
ظل الكلب يزعجني حتى لم أستطع تحمله anymore.,أعطيت الجرو الطعام وذهبت مرة أخرى إلى السرير، كنا جميعًا سعداء.,تم إعطائي الجرو من قبل الرافعة.,نهضت وحاولت معرفة سبب استمرارهم في النباح.,2
دخل دان مسابقة أكل في معرضه المحلي.,خسر دان المسابقة، ومرض لمدة أيام.,أكل دان الكثير من الطعام ببطء، على أمل الفوز.,حاول دان أكل 30 كلب ساخن بارد.,2
كانت صديقة ميلسا قادمة للزيارة.,لحسن الحظ، عندما أشارت ميلسا إلى ذلك، اعتذرت صديقتها.,كانت ميلسا غاضبة.,أصرت صديقة ميلسا على أن يخرجوا لتناول الطعام في مكان تكرهه ميلسا.,2
أعجب معلم نيل بطلابها الفنيين.,كان المعلم متحمسًا لأن نيل رسمت صورة بالأشعة السينية لحيوان.,درست نيل علم الأحياء لكي ترسم حيوانًا.,طُلب من نيل أن تفعل شيئًا غير متوقع.,2
إيلي لم يعرف كيف يربط حذائه.,إيلي تعلم الآن ويربط مثل المحترفين.,سأل والده إيلي كيف يربط حذائه.,سأل إيلي والده كيف يربط حذائه.,2
عندما كانت فرانسين فتاة صغيرة، كانت حلوى القطن هي علاجها المفضل.,اشترت كيسًا لتشاركه مع أصدقائها.,كانت قلقة لشراء بعض اليوم.,رأت فرانسين موزًا للبيع في المعرض.,1
ذهب بن إلى الشاطئ في يوم مشمس.,تسلل بن إلى خيمته وقام بالاستراحة.,قضى بن ساعات جالسًا في الشمس.,قام بن بتركيب خيمة كبيرة على الرمل لحجب الشمس.,1
أراد تيلي الهروب من السجن.,تم إيقاف محاولة هروب تيلي ومعاقبتها.,ركض تيلي نحو بوابة السجن في إحدى الليالي.,صاغ دوغ خطة.,1
كان على سام أن يسدد دين بطاقته الائتمانية.,تمكن سام في النهاية من كسب ما يكفي لسد دين بطاقته الائتمانية.,فقد سام وظيفته ولم يستطع سداد المدفوعات.,قرر سام العمل في وظيفتين لسد دينه.,2
دعكت كاتي مطبخها ليصبح فوضويًا جدًا.,استخدمت الكلور للتأكد من أنه نظيف وآمن.,أصبح المطبخ سيئًا لدرجة قد تنمو فيها العفن.,كانت كاتي بحاجة إلى الإسراع وتنظيفه.,2
أعطى صديق راندي له اتجاهات إلى منزله.,رأى راندي المنزل لكنه استمر في القيادة ولم يعد.,أخذت الاتجاهات راندي عبر جزء كبير من المدينة.,كان للمنزل نوافذ مسطوبة وبدا سيئًا.,2
كنت أقود سيارتي على الطريق السريع عندما تعطلت سيارتي فجأة.,تبين أن تأمين سيارتي غطى شاحنة السحب والباقي كان رخيصًا!,كنت قلقًا بشأن كيفية السحب.,اتصلت بشركة التأمين الخاصة بي لمعرفة إذا كان بإمكاني الحصول على مساعدة.,2
كانت تيا في الكلية وذهبت إلى المنزل لقضاء العطلات.,قبل أن تغادر أخبرها والدها بأنهم سيطلقون.,تناولت تيا العشاء مع والديها.,اعتقدت تيا أن هناك شيء يبدو جيدًا بين والديها.,1
