#,ID,Source,Country,Group,Subject,Level,Question,BackStory,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot,ABILITY,INDEX
11,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا يبتسم زانغ هوا لشياو تشن؟,تم تعيين لي منغ وزانغ هوا لمشروع مهم، وأداؤهما في هذا المشروع يؤثر على الترقية. اليوم السابق لانتهاء المشروع، يغادر لي منغ المكتب مؤقتًا، ثم يمشي زانغ هوا إلى جهاز كمبيوتر لي منغ ويضغط على بعض المفاتيح بسرعة. يرى زانغ هوا شياو تشن ينظر إليه، فيبتسم لها، ثم يعود إلى مقعده. عندما يعود لي منغ، يقترح زانغ هوا الذهاب إلى غرفة الطعام لتناول شيء ما، يبدو أنه يريد تشتيت انتباه لي منغ. ثم ترى شياو تشن جهاز الكمبيوتر كما لو كان مصابًا بفيروس، يظهر الكثير من النوافذ.,,B,زانغ هوا لا يريد أن تعرف شياو تشن أنه لم يكمل مهمته.,زانغ هوا لا يريد أن تعرف شياو تشن دوافعه.,زانغ هوا يريد أيضًا دعوة شياو تشن لتناول شيء ما في غرفة الطعام.,زانغ هوا لا يريد أن تساعد شياو تشن لي منغ في إنهاء العمل.,,False,Intention: Intentions explanations,1
12,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,ماذا تعتقد شياو تشن؟,تم تعيين لي منغ وزانغ هوا لمشروع مهم، وأداؤهم في هذا المشروع يؤثر على الترقية. اليوم قبل انتهاء المشروع، غادر لي منغ المكتب بشكل مؤقت، ثم ذهب زانغ هوا إلى جهاز كمبيوتر لي منغ وضغط على بعض المفاتيح بسرعة. رأى زانغ هوا شياو تشن ينظر إليه، فابتسم لها ثم عاد إلى مقعده. عندما عاد لي منغ، نهض زانغ هوا بسرعة، اقترح الذهاب إلى غرفة الطعام لتناول شيء، يبدو أنه يريد صرف انتباه لي منغ. ثم رأت شياو تشن جهاز الكمبيوتر كما لو كان مصابًا بفيروس، فانبثق الكثير من النوافذ.,,B,شياو تشن تعتقد أن زانغ هوا ربما أخطأ في تشغيل الكمبيوتر، مما تسبب في ظهور النوافذ.,شياو تشن تعتقد أن زانغ هوا يسعى للترقية من خلال أدائه في هذا المشروع.,شياو تشن تعتقد أن زانغ هوا يساعد لي منغ في إنجاز العمل.,شياو تشن تشعر بالقلق من أن يكون جهاز كمبيوتر لي منغ مصابًا بفيروس من قبل المخترقين.,,False,Belief: Beliefs based action/emotions,2
13,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا ي让 وانغ تشيانغ لي لي إتمام هذه المهمة التي عادة ما تكون مسؤولية زانغ وي بشكل مستقل؟,في المكتب، وانغ تشيانغ هو قائد فريق المشروع، وزانغ وي هو نائب وانغ تشيانغ القديم. جلب فريق المشروع مؤخرًا عضوًا جديدًا لي لي، ولا يعرف وانغ تشيانغ وزانغ وي الكثير عن خلفيتها الفنية. اليوم، يرتب وانغ تشيانغ وزانغ وي لكي لي لي إتمام مهمة بشكل مستقل، وهذه المهمة عادة ما تكون مسؤولية زانغ وي. تعمل لي لي بجد أمام الكمبيوتر، ويقف زانغ وي خلفها لفترة، ثم يمشي نحو وانغ تشيانغ، ويتبادل الاثنان نظرة معقدة. يميل وانغ تشيانغ رأسه قليلاً، ويعود زانغ وي إلى مقعده، ولا يتحدثان أكثر. تلاحظ لي لي كل هذا، لكنها تواصل التركيز على شاشتها.,,C,لأن وانغ تشيانغ يريد أن يعطي زانغ وي بعض الوقت للراحة.,يريد وانغ تشيانغ اختبار ما إذا كانت لي لي يمكنها إتمام المهمة بشكل مستقل.,وانغ تشيانغ غير راضٍ عن كفاءة عمل زانغ وي.,لأن هذه المهمة بسيطة جدًا، ولا تتطلب خبرة زانغ وي.,,False,Intention: Intentions explanations,1
14,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,بعد مشاهدة لي لي تعمل لفترة، كيف قد يشعر زانغ وي؟,في المكتب، وانغ تشيانغ هو قائد فريق المشروع، وزانغ وي هو نائب وانغ تشيانغ القديم. جلب فريق المشروع مؤخرًا عضوًا جديدًا لي لي، ولا يعرف وانغ تشيانغ وزانغ وي الكثير عن خلفيتها الفنية. اليوم، يرتب وانغ تشيانغ وزانغ وي للي لي لإتمام مهمة بشكل مستقل، وهذه المهمة عادة ما تكون مسؤولية زانغ وي. تعمل لي لي بجد أمام الكمبيوتر، ويقف زانغ وي خلفها لفترة، ثم يمشي نحو وانغ تشيانغ، ويتبادل الاثنان نظرة معقدة. يميل وانغ تشيانغ رأسه بشكل طفيف، ويعود زانغ وي إلى مقعده، ولا يتحدثان أكثر. تلاحظ لي لي كل هذا، ولكنها تستمر في التركيز على شاشتها.,,C,قد يشعر زانغ وي بأنه مهمش.,زانغ وي فضولي بشأن ما إذا كانت لي لي كفؤة.,يشعر زانغ وي بخيبة أمل، معتقدًا أن قدرة لي لي غير كافية.,يشعر زانغ وي بالارتياح لأنه يوجد شخص يمكنه مشاركة عمله.,,False,Belief: Beliefs based action/emotions,2
15,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا تترك Xuemei تلك الملاحظة لـ Junbo؟,في أحد أيام بعد الظهر، يبدو الجو في الشركة أكثر توترًا من المعتاد. تلاحظ Xuemei Junbo يتعامل مع عميل متطلب للغاية. تتنكر في التركيز على عملها الخاص، ولكن في الواقع، هي تدقق باستمرار في التفاعل بين Junbo والعميل. يحاول Junbo الحفاظ على موقف احترافي، لكنه يبدو في حيرة من أمره في مواجهة استفهامات العميل المستمرة. في هذا الوقت، يظهر Zhiqiang، وهو بائع ذو خبرة، اهتمامًا غامضًا بالموقف دون تدخل مباشر. تتحرك Xuemei بهدوء نحو جهاز النسخ القريب، يبدو أنها تتعامل مع المستندات، ولكن عينيها تلقيان نظرة عرضية على Junbo. فجأة، تكتب بعض السطور بسرعة، تضع ملاحظة بعناية على دفتر ملاحظات Junbo. ينظر Junbo فقط إلى الملاحظة ثم يواصل التعامل مع مشاكل العميل. يشهد Zhiqiang هذا المشهد في طريقه إلى محطة عمل Junbo، ابتسامة تعبر عن رضا تلمع على وجهه، ثم يعود إلى محطة عمله.,,C,Xuemei تريد من Junbo مغادرة المكان مؤقتًا.,Xuemei شخصية حانية القلب.,Xuemei تترك تلك الملاحظة عن غير قصد.,Xuemei تحاول صرف العميل عن الموضوع.,,False,Intention: Intentions explanations,1
16,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,ماذا تعتقد أن تشيقيانغ يعتقد بشأن هذه الحالة؟,في أحد أيام بعد الظهر، يبدو الجو في الشركة أكثر توترًا من المعتاد. تلاحظ شوماي جونبو يتعامل مع عميل 까سل للغاية. تتنكر في أنها تركز على عملها الخاص، ولكن في الواقع، هي تدقق باستمرار في التفاعل بين جونبو والعميل. يحاول جونبو الحفاظ على موقف مهني، لكنه يبدو في حيرة من أمره في مواجهة استجواب العميل المستمر. في هذا الوقت، يظهر تشيقيانغ، وهو مندوب مبيعات ذو خبرة، قلقًا غامضًا للحالة دون تدخل مباشر. تتحرك شوماي بلطف نحو النسخة القريبة، يبدو أنها تتعامل مع المستندات، ولكن عينيها تتفحصان أحيانًا جونبو. فجأة، تكتب بضع خطوط، تضع ملاحظة على دفتر جونبو. جونبو يلقي نظرة خاطفة على الملاحظة ثم يواصل التعامل مع مشاكل العميل. شاهد تشيقيانغ هذه المشهد في طريقه إلى محطة عمل جونبو، ابتسامة تعبر عن رضا تلمع على وجهه، ثم يعود إلى محطة عمله.,,C,سعيد لأن لا يحتاج لمساعدة جونبو.,يعتقد تشيقيانغ أن جونبو يمكنه حل المشكلة بنفسه، ولا حاجة للمساعدة.,يعتقد تشيقيانغ أن شوماي فعلت ذلك بدلاً منه.,يريد تشيقيانغ إيقاف شوماي، لأنه لا يحب تقديم النصائح من وراء الكواليس.,,False,Belief: Beliefs based action/emotions,2
17,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا يبتسم وانغ تشيانغ لزاو مين في نهاية الحفل، ثم يدير ويرفع كوبه مع لي مينغ؟,وانغ تشيانغ، لي مينغ، وزاو مين جميعهم يعملون في نفس الشركة. مؤخرًا، هناك انقسام في الآراء داخل المكتب بسبب سياسة جديدة. لي مينغ وزاو مين هما ممثلان للطرفين المختلفين، بينما وانغ تشيانغ موظف عادي. في يوم من الأيام، تعقد الشركة اجتماعًا غير رسمي، ويسمع وانغ تشيانغ لي مينغ يتحدث عن فوائد السياسة الجديدة، بينما يؤكد زاو مين على تأثيراتها السلبية على الجانب الآخر. في نهاية الحفل، يمشي وانغ تشيانغ بجانب طاولة زاو مين، ويتبادلان نظرة لثانية، ويمنح وانغ تشيانغ زاو مين ابتسامة خفيفة، ثم يدير ظهره ويمشي نحو لي مينغ. يصطدم وانغ تشيانغ ولي مينغ بالأكواب، ولكن عينيه تبدوان وكأنهما يبحثان عن الحشد حولهما.,,D,وانغ تشيانغ يتفق مع وجهة نظر زاو مين، لكنه لا يريد أن يعرف لي مينغ.,وانغ تشيانغ يظهر موافقة مهذبة لزاو مين، لكنه يريد أن يظل محايدًا لكلا الجانبين.,وانغ تشيانغ يدعم في الواقع موقف لي مينغ، وابتسامته هي لتقليل المعارضة مع زاو مين.,وانغ تشيانغ يحاول التوسط بين الجانبين، بحثًا عن حل وسط.,,False,Intention: Intentions explanations,1
18,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,ماذا قد يفكر زاو مين بعد رؤية تصرف وانغ تشيانغ؟,وانغ تشيانغ، لي مينغ، وزاو مين جميعهم يعملون في نفس الشركة. مؤخرًا، هناك انقسام في الآراء داخل المكتب بسبب سياسة جديدة. لي مينغ وزاو مين هما ممثلان للطرفين المختلفين، بينما وانغ تشيانغ موظف عادي. في يوم من الأيام، تعقد الشركة اجتماعًا غير رسمي، ويسمع وانغ تشيانغ لي مينغ يتحدث عن فوائد السياسة الجديدة، بينما يشدد زاو مين على تأثيراتها السلبية على الجانب الآخر. في نهاية الحفل، يمر وانغ تشيانغ بجانب طاولة زاو مين، ويتبادلان نظرة لثانية، ويعطي وانغ تشيانغ زاو مين ابتسامة خفيفة، ثم يتحول ويمشي نحو لي مينغ. يصطدم وانغ تشيانغ ولي مينغ بالأكواب، ولكن عينيه تبدو وكأنها تبحث في الحشد حوله.,,D,قد يفكر زاو مين أن وانغ تشيانغ يدعم موقف لي مينغ.,قد يفكر زاو مين أن وانغ تشيانغ لا يجرؤ على التعبير عن رأيه الحقيقي في العلن.,قد يفكر زاو مين أن وانغ تشيانغ اصطدم بالأكواب مع لي مينغ فقط كتعبير عن اللباقة.,قد يشعر زاو مين بازدراء، يعتقد أن وانغ تشيانغ ذو وجهين.,,False,Belief: Beliefs based action/emotions,2
19,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا يومئ Li Yun لـ Zhang Wei؟,Zhang Wei هو بطل أداء القسم، لكنه يواجه بعض التحديات في مشروعه الأخير، مما يؤدي إلى عدم جودة أدائه. Li Yun هو مدير القسم، وهو دائمًا يدعم Zhang Wei، راغبًا في محاربة أفضل تقييم له في مراجعة نهاية العام. Chen Tao هو زميل Zhang Wei، وهو أيضًا يأمل في الترقية في مراجعة نهاية العام. هذا بعد الظهر، يتصفح Li Yun بسرعة نموذج مراجعة Zhang Wei في المكتب. عندما يمر Zhang Wei بجانب مكتب Li Yun، يرفع Li Yun رأسه ويومئ له. يعطي Zhang Wei ابتسامة خفيفة لـ Li Yun ويستمر في المشي. يرى Chen Tao كل هذا في غرفة الشاي القريبة.,,B,Li Yun يرى فقط نموذج مراجعة Zhang Wei ويعتقد أن أدائه جيد.,Li Yun يريد أن يخبر Zhang Wei أنه يحصل على تقييم عال.,Li Yun يحيي Zhang Wei.,Li Yun يومئ لـ Zhang Wei دون قصد.,,False,Intention: Intentions explanations,1
20,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,ماذا تعتقد أن تشين تاو يعتقد بعد رؤية هذا المشهد؟,تشانغ وي هو بطل أداء القسم، ولكنّه يواجه بعض التحديات في مشروعّه الأخير، الأمر الذي يؤدي إلى عدم جودة أدائه. لي يون هو مدير القسم، وهو دائمًا يدعم تشانغ وي، ويأمل في محاربة أفضل تقييم له في مراجعة نهاية العام. تشين تاو هو زميل تشانغ وي، وهو أيضًا يأمل في الترقية في مراجعة نهاية العام. هذا بعد الظهر، يتصفح لي يون بسرعة نموذج مراجعة تشانغ وي في المكتب. عندما يمر تشانغ وي بجانب مكتب لي يون، يرفع لي يون رأسه ويومئ له. يعطي تشانغ وي ابتسامة خفيفة للي يون ويستمر في المشي. يرى تشين تاو كل هذا في غرفة الشاي القريبة.,,B,تشين تاو يعتقد أن لي يون يعطيه أيضًا تقييمًا جيدًا.,قد يشعر تشين تاو بالقلق، ويشك في أن لي يون يفضل تشانغ وي.,تشين تاو يعتقد أن لي يون وتشانغ وي يناقشون مسائل المشروع.,تشين تاو يعتقد أن هذا تفاعل يومي طبيعي.,,False,Belief: Beliefs based action/emotions,2
21,1,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,لماذا يسأل Zhang Hua Li Qiang عن تقدم المشروع والصعوبات التي يواجهها؟,"Zhang Hua و Li Qiang مسؤولان مشتركان عن مشروع، والأداء الجيد لهذا المشروع يؤثر بشكل مباشر على ترقيتهما. Li Qiang يعاني أمام الكمبيوتر، تقرير تحليل البيانات أمامه يبدو أنه يزعجه. Zhang Hua يلاحظ مظهر Li Qiang، فيذهب إليه ويقول ""أنا أيضًا أتيت لأتعلم""، ويسأله بحماس عن تقدم المشروع والصعوبات التي يواجهها. Li Qiang يجيب ببعض التردد، يبدو أنه متحفظ. خلال هذه العملية، Zhang Hua يتبادل النظرات مع Zhou Yan عبر الغرفة، ثم يدعو Li Qiang للنزول إلى الأسفل لتناول العشاء والتنزه. بعد مغادرتهم، Zhou Yan تضع يدها على عملها، تتظاهر بالذهاب إلى الحمام، تمر بجانب موقف Li Qiang، وتنظر إلى شيء ما.",,C,Zhang Hua لا يفهم هذه البيانات، يريد تعلم من Li Qiang.,Zhang Hua يلاحظ أن Li Qiang يواجه صعوبات، يريد تقديم المساعدة.,Zhang Hua و Li Qiang لديهما خلافات شخصية، يريد إثارة المشكلة.,Zhang Hua يريد أن يتسسب في تقدم مشروع Li Qiang.,,False,Intention: Intentions explanations,1
22,2,Ambiguous Story Task.jsonl,,,Ambiguous Story Task,,ماذا تعتقد أن Zhou Yan تفكر فيه؟,"Zhang Hua و Li Qiang مسؤولان مشتركان عن مشروع، والأداء الجيد لهذا المشروع يؤثر بشكل مباشر على ترقيتهما. Li Qiang يعبس أمام الكمبيوتر، تقرير تحليل البيانات أمامه يبدو أنه يزعجه. Zhang Hua يلاحظ تعبير Li Qiang، يمشي نحوه ويقول ""أنا أيضًا هنا لأتعلم""، ويسأل بحماس عن تقدم المشروع والصعوبات التي يواجهونها. Li Qiang يجيب بتردد، يبدو أنه محتجز. خلال هذه العملية، Zhang Hua يتبادل النظرات مع Zhou Yan عبر الغرفة، ثم يدعو Li Qiang للنزول إلى الأسفل لتناول العشاء والمشي. بعد مغادرتهم، Zhou Yan تضع يدها على عملها، تتظاهر بالذهاب إلى الحمام، تمر بجانب موقع Li Qiang، وتنظر إلى شيء ما.",,C,Zhou Yan تشعر بالفضول وتريد معرفة ما كانوا يناقشونه.,Zhou Yan تشعر بالملل وليست مهتمة بمناقشتهم.,Zhou Yan تشعر بالحماس وتريد الاستفادة من الفرصة التي أوجدها Zhang Hua.,Zhou Yan تشعر بالخوف وتعتقد أن Li Qiang و Zhang Hua يتحدثان عنها.,,False,Belief: Beliefs based action/emotions,2
