observation_1,observation_2,hypothesis_1,hypothesis_2,label
كان بيلي سيقوم بدعوة رئيسه إلى العشاء.,كان لا يزال يقوم بالتنظيف بالمكنسة الكهربائية عندما وصل رئيسه.,وصل بيلي إلى المنزل من العمل مبكرًا.,لعب بيلي الألعاب ونسي التنظيف حتى الساعة ٥م.,2
كانت مايا تمشي بجانب نهر، تبحث عن ضفادع.,لحسن الحظ، تمكنت من الصعود مرة أخرى والمشي إلى المنزل بأمان.,انزلقت مايا على بعض الصخور وكسرت ظهرها.,انتهى بها الأمر إلى السقوط في النهر.,2
كانت سوزان تصنع حساءً.,فعلت قصارى جهدها لقطع الأجزاء السيئة.,كان عليها أن تضيف بعض الدجاج.,كان عليها أن تضيف بعض المرق.,1
شعرت لولو بالانشغال الشديد في الآونة الأخيرة.,لكنها كانت مستعدة لإرسالها لأن المدرسة ممتازة.,كانت والدة لولو تفكر في إرسالها إلى منزل جديد على الرغم من اعتراضاتها.,كانت ابنة لولو على وشك الذهاب إلى المدرسة لأول مرة.,2
أردت إنشاء لعبة فيديو.,في الواقع، جافا كانت مروعة لبرمجة ألعاب الفيديو.,برمجت باستخدام جافا للعبة الروبوت لأنها كانت سهلة.,برمجت باستخدام جافا للعبة الروبوت.,2
تحصلت أفضل صديقة لي على الزواج وانتقلت إلى هاواي.,احتفلنا لعدة أيام وغادرت إلى المنزل في نهاية الأسبوع.,ذهبت معها للاحتفال.,زارتني أفضل صديقة لي في إجازة.,1
ذهب توم إلى متجر إلكترونيات لشراء سماعات الأذن.,قرر توم دائمًا شراء سماعات أذن أكثر تكلفة.,اشترى توم تلك الغالية لكنها انكسرت على الفور.,توم كان ان elitist.,2
كانت كايا تحتاج إلى شراء فستان جديد لحفل الربيع الرسمي القادم.,لم تستطع مقاومة ذلك فاشترت الإناء القديم.,لم تستطع كايا العثور على أي شيء في المتجر،.,في المتجر، رأت كايا إناءً جميلًا جدًا.,2
جاء سام إلى المنزل ليجد الماء منتشرًا في جميع أنحاء أرضية مطبخه.,ساهم في إعادة تخزين الثلاجة الجديدة بجميع أنواع الطعام المفضلة لديه.,انكسر جهاز غسيل الأطباق الخاص بسام وكان يتسرب.,وضع سام منشفة تحت الثلاجة المتسربة.,1
كان لدى آنا صداع سيء.,لحسن الحظ، عندما استيقظت، كان الصداع قد زال.,ذهبت إلى حفل موسيقي للتخلص منه.,تناولت آنا بعض الأسبرين وذهبت للاستلقاء وقامت بقيلولة.,2
في الليلة الماضية، حلمت بركوب الدراجة.,استيقظت، مخيبًا للآمال بشكل مرير.,في الواقع، لدي دراجة.,كانت حلمي واقعية للغاية وكنت في جولة دراجات ممتعة.,2
كانت بدء تتأخر الساعة في الخارج.,وجهها والداها إلى المنزل لمدة أسبوع لتأخرها.,كان من المفترض أن تكون في المنزل بعد ساعة من وصولها.,نسيت ما الوقت و وصلت إلى المنزل متأخرة.,2
أرادت كيم شراء سيارة.,تم تعيين كيم في وظيفة ووفرت ما يكفي من المال لسيارتها.,تقدمت كيم بطلب للحصول على وظائف لكسب المال.,كانت كيم تحتاج إلى مزيد من المال مما يمكنها الحصول عليه.,1
كان جو يتأخر عن المدرسة.,تناول جو فطورًا لذيذًا وصحيًا من التفاح والموز!,لم يكن لدى جو وقت لطهي شيء ما.,كان لدى جو متسع من الوقت لطهي شيء ما.,1
احتاج تيم إلى فاكهة ليأكلها.,أخيرًا، وجد بعض العنب الطازج ليأكله.,بحث تيم لفترة طويلة في الثلاجة الفوضوية.,ذهب إلى السوبر ماركت القريب.,1
أخذت والدة جينا شريط راب من أطفالها.,وقف مبتسمًا بينما تم سحق شريطه.,خذ جينا شريطهم الجديد.,كان شريط الراب قاسيًا وخشنًا.,2
كايلي تحب أكل الحلويات.,كلنا أكلنا صندل البرواني للحلوى.,طلبنا مقبلات يحبها الجميع.,طلبنا حلوى يحبها الجميع.,2
كانت أورا دائمًا تعاني من زيادة الوزن.,بمساعدتهم، فقدت أورا أكثر من عشرين رطلاً!,قررت أورا أنها تريد الحفاظ على وزنها.,قررت أورا أن تأكل طعامًا صحيًا لمدة شهر.,2
قررت بريا تجربة مطعم جديد.,بريا اعتبرت أن طعامها كان لذيذًا.,الطعام الذي طلته بريا كان مسخنًا مسبقًا ومطهوًا في الميكرويف.,طلبت بريا طبقين من الجمبري.,2
كان جيمي و كانديس سيذهبون في موعد.,أخيرًا، استقروا على الآيس كريم!,لم يستطع جيمي و كانديس أن يقرروا ماذا يفعلون.,لم يعرف جيمي و كانديس أي فيلم سيشاهدون.,1
شعر سكوت بسعادة متزايدة في السنوات القليلة الماضية في مدينة نيويورك.,بينما كان يسوق خارج مدينة نيويورك، شعر سكوت بالراحة والشوق على حد سواء.,تركته الحياة اليومية المملة، المرور المتطرف وسكان المدينة الوقحون يشتاقون إلى الحياة في المدينة الصغيرة.,وجد سكوت وظيفة في مدينة نيويورك.,1
ذهبت إلى المتجر يومًا ما لشراء الملابس.,ذهبت إلى المنزل وكانت الجينز تناسبني بشكل أفضل بكثير.,اشتريت الجينز لكنها بدت باهظة الثمن بعض الشيء.,حصلت على أحجام أكبر.,2
كانت سام في موعد مع صديقها.,عندما سألها صديقها إذا كانت تريد الخروج، صاحت به.,ذهب الموعد بشكل سيء، ذهبوا إلى المنزل بشروط جيدة.,اصطدموا بصديق لطيف لسام في الطريق إلى العشاء.,2
تقوم بام بعمل استطلاعات يوميًا لمحاولة الفوز بجوائز على Survey Monkey.,لم يبدو أن بام تعتقد أن هناك أي خطأ في ذلك.,بام أضاعت الوقت في عمل استطلاعاتها.,حاولت بام جعل نفسها صادقة قدر الإمكان.,1
كانت لدى ليديا حلم غريب الليلة الماضية.,أتمت ليديا أن يكون الحلم حقيقيًا.,في حلم ليديا، كانت غنية ومشهورة.,في حلم ليديا، كانت فقيرة ووحيدة.,1
داني دائمًا ما أرادت ركوب دراجة.,كانوا يركبون معًا في غضون دقائق.,طلبت صديقتها من دانا أن تعلمها كيفية الركوب.,طلبت دانا من جارها أن يركب معها.,2
أرادت كيلي أن تجرب كرة القدم هذا العام.,احتفلت كيلي بشراء البيتزا.,تمكنت كيلي من الانضمام إلى الفريق.,حاولت كيلي أن تدخل فريق كرة القدم ولكن تم رفضها.,1
كان توم متحمسًا لاستخدام مشواة الغاز الجديدة الخاصة به.,تم تدمير مرآب توم وشواياه كلاهما.,لم يتحقق توم من سلامة الشواية.,لم يتحقق توم من غاز الشواية.,1
ذهب مارتن إلى المخيم مع أصدقائه.,اصطاد مارتن الكثير من الأسماك حتى يتمكن الجميع من الأكل.,كان أفضل صياد في المجموعة.,ذهب أصدقاء مارتن للصيد بدون مارتن.,1
كان سام متحمسًا لغسل سيارته.,لقد نسي إغلاق النافذة في كل هذا الإثارة.,لف سام جميع نوافذه وبدأ يحلم بأنه سيبدو جيدًا بعد الغسل.,بعد غسل السيارة، لاحظ سام أن مقاعد سيارته كانت جميعها مبللة تمامًا.,2
كانت ماي تريد بشدة الذهاب إلى الحفل الذي كان يعقد الأسبوع المقبل.,كتب قارئ لطيف رسالة ردًا لتقديمها تذكرتين مجانيتين للحفل!,لذلك اشترت 2 تذكرة عبر الإنترنت.,أرسلت ماي تغريدات بحثًا عن التذاكر.,2
قررت ميندي الذهاب إلى منزل جاك.,فزعت وخرجت صارخة من منزله.,خافت ميندي جاك عندما دخلت المنزل.,عندما دخلت ميندي الباب، كان جاك عارياً.,2
كنت أجد صعوبة في العثور على حذائي المريح.,الذي يجد شيئًا يحتفظ به، قالت لي.,سرقت أختي حذائي.,سرق الكلب الحذاء.,1
لم أكن أحب لون شفتي.,بمرور الوقت، قبلني الناس في المدرسة للشخص الذي أردت أن أكونه.,أردت أن يكون لدي شفتان طبيعيتان. رسمتها حمراء والأشخاص أحبوه.,استخدمت علامة لون لرسمها وردي فاتح.,2
ذهبت عائلة للتسوق معاً.,اشترى الأب للولد جهاز كمبيوتر جديد.,احتاج الولد إلى هاتف محمول جديد.,كان ابنهم حسن التصرف للغاية.,2
كنت أعمل على جهاز الكمبيوتر المحمول الخاص بي يومًا ما.,بعد دفع الفاتورة، لم تعد أعاني من مشاكل.,كانت الإنترنت بطيئة جدًا ثم توقفت تمامًا.,تلقيت بريدًا إلكترونيًا يفيد بأن فاتورة الكابل الخاصة بي كانت محدثة وسيتم ترقية الخدمة.,1
كان عيسى على وشك الزواج لكنه لم يستطع تحمل تكاليف باقة الزهور.,لكن عيسى انتهى به الأمر إلى باقة زهور جميلة مختارة بيديه!,نسي عيسى باقة الزهور.,ذهب عيسى إلى الموقع الريفي ووجد بعض الزهور.,2
هناك بيبر يقوم ببناء سد بالقرب من مدرستنا.,قرر القندس مغادرة المنطقة وذهب إلى أسفل مجرى النهر.,كان الجميع في جميع أنحاء الفندق ، يحاولون رؤيته.,دمر الناس السد الذي كان القندس يبنيه.,2
كانت عائلتي في إجازة في إيطاليا.,كانت تلك صورتنا المفضلة في الإجازة.,التقطنا صورة بجانب الكولوسيوم في روما.,التقطنا صورة جميلة لأسبانيا.,1
قلت لبيل ألا يذهب إلى لانسنج.,وقع في حادث على الطريق السريع، كان يجب أن يستمع.,ذهب بيل إلى لانسنج عن طريق الجو على أي حال.,قال بيل إنه سيكون بخير وغادر.,2
أرادت ليف الرقص الباليه.,زملاء ليف في الصف جعلوها تشعر بالغيرة والصدمة!,لم تكن موهوبة جدًا.,سجلت والدة ليف لها.,2
طفل صغير مريض في المستشفى يعبد لاعب كرة سلة مشهور.,واقفًا أمام محل القهوة كان لاعب الكرة!,نظر لاعب البيسبول من النافذة إلى محل القهوة.,قالت ممرضة ذات يوم يجب أن يذهبوا إلى محل القهوة للحصول على مكافأة.,2
جاك كان يقوم برحلة على الطرق الوعرة.,كان عليه أن يحصل على مساعدة للخروج.,جاك حصل على أشياء في الطين.,جاك انتهى به الأمر إلى التحرر من الطين.,1
حصلت على لعبة سباق جديدة أمس.,أخيرًا بعد ساعات من اللعب توقفت.,جلست لاختبار اللعبة.,كانت ممتعة جدًا، كنت مهرجًا.,1
فريدا هي رئيسة مكتبها.,فريدا لا تفهم لماذا يعاني الناس من مشكلة معها!,لا تطلب من الناس بشكل لطيف حتى تحصل على الأشياء.,لا تطلب من الناس بشكل لطيف حتى تحصل على الأشياء بشكل غير محدد.,1
تواصلت كارلي للتو مع أطفالها لدخولهم من اللعب في الخارج.,ثم، وضعت بعض الكريم الطبي عليها وأملت أن يمر المرض.,لاحظت كارلي أن ابنتها قد تعرضت لسمك العشب السام.,كان لدى أحدهم سعال شديد.,1
كانت ألكسيس قد قصت شجرة عيد الميلاد في الغابة.,عندما وضعتها ، كانت الحجم المناسب لسقفها.,كانت ألكسيس قلقة من أنها ستكون كبيرة جدًا.,تأكدت ألكسيس من أن الشجرة ليست تحت 20 قدمًا.,1
كانت فرانسين تحلم دائمًا بأن تصبح مصممة أزياء.,كانت فخورة جدًا لأنها اتبعت أحلامها.,تقدمت فرانسين إلى كلية الأعمال.,قررت فرانسين الذهاب إلى المدرسة لتحقيق أحلامها.,2
ذهب جاك إلى مباراة كرة السلة الأولى له مع والده.,بينما هتف الجمهور، عرف جاك أنهم لن ينسوا أبدًا مباراته الأولى.,رأى جاك كيف أصبح الجمهور أكثر جنونًا.,أمسك جاك بكرة ارتدت فوق السياج.,1
ناثان كان يتنمر على الكثير من الأولاد الآخرين في المدرسة.,ناثان كان يعلم أن عنفه لن يمنع تعرضه للإيذاء.,ناثان حصل على عقوبة في المدرسة.,ناثان لم يشتغل في أي قتال.,1
صنع مايك المعكرونة محلية الصنع يومًا ما.,المعكرونة هي الآن عنصر أساسي منتظم في نظام مايك الغذائي.,ميل يحب الطعام الإيطالي.,وجد مايك المعكرونة صعبة الصنع.,1
أعطاه صديق راندي توجيهات إلى منزله.,أخبر راندي صديقه كم هو ممتن لأنّه وجده.,لم يعرف ذلك الجزء من المدينة جيدًا.,عرف راندي المنطقة جيدًا.,1
كاي كانت معجب بطفل في صفها.,ابتسم لها بعد ذلك وقال إنه يحبها أيضًا!,قالت له أنها لا تحبه.,قطة أرسلت رسالة حب إلى الولد.,2
لاسي وكارين تشاجرتا.,اعتذرت كارين أيضًا حتى تتمكنا من أن تكونا صديقتين مرة أخرى.,فاتت لاسي كارين كثيرًا، لم تستطع تحمل عدم التحدث إلى صديقتها.,فاتت كارين لاسي كثيرًا، لم تستطع تحمل عدم التحدث إلى صديقتها.,2
كان لصديقي إعلانًا يريد مشاركته.,لذلك، وضعت ابتسامة على وجهي وتمنيت له أفضل الحظ.,يتحدث صديقي عادةً عن بعض الصفقات التجارية.,أخبرنا صديقي أنه كان يعاني من السرطان وكان من المتوقع أن يموت خلال أسبوع.,1
كان جورج على وشك المشاركة في أول مباراة احترافية له.,أثبت جورج مهاراته وفاز في أول مباراة له.,كان جورج الضعيف، لكنه كان يتدرب منذ أشهر للمشاركة في هذا الحدث.,تدرب جورج بشدة لمدة يومين قبل القتال.,1
بوب وأبناؤه يحبون كرة القدم.,بوب وأبناؤه يحتضنون للاحتفال بالفوز.,لعبوا كرة السلة في الفناء الخلفي طوال فترة بعد الظهر.,فاز الفريق الذي يفضله بوب وأبناؤه.,2
كانت ألكس في تارجت مع أمه.,لقد توسل إلى أمه لتشتريه حتى رضعت.,رأى ألكس لعبة يريدها حقًا.,لم ير ألكس اللعبة التي يريدها حقًا في أي من الممرات.,1
حلمت نوفا بأن تصبح راقصة محترفة.,قبلت ثاني اختيار لها.,تقدمت نوفا إلى مدرسة رقص واحدة.,تقدمت نوفا إلى بعض مدارس الرقص ولكن تم رفضها من قبل اختيارها الأول.,2
كارلا وسام قضيا الصباح في بناء قلعة رملية.,دخلت المد ودمرت القلعة.,تم بناء القلعة الرملية مباشرة على الشاطئ.,حدث غير متوقع عندما لم يأت المد في ذلك اليوم.,1
كانت تامي في الصف الثامن.,فكرت تامي في أن تجرب الانضمام إلى فريق الكرة الطائرة للشباب.,كانت تامي طويلة بالنسبة لعمرها.,كانت تريد أن تكون أقل مشاركة وفقدان الأصدقاء.,1
دونالد يترشح للرئاسة.,أتمنى أن يخسر الانتخابات.,دونالد ليس المرشح الذي أريده للرئاسة.,دونالد شخص نكران الذات وعظيم.,1
كنت غير لائق بدنياً.,بعد أسابيع من القفز بالحبل، بدأت أشعر بالتحسن.,التزمت بالتمرين كل شهر من خلال القفز بالحبل.,كان لدي حبل استخدمته للقفز في المنزل.,2
أخبرت أم أورا أورا أن لدى العائلة فاتورة غاز عالية جدًا.,كانت أورا غير سعيدة، لكنها فهمت.,طردت أم أورا من المنزل حتى تقلل فاتورة الغاز.,عائلة أورا بحاجة إلى استخدام المزيد من الغاز.,1
ظل الكلب يزعجني حتى لم أستطع تحمله anymore.,أعطيت الجرو الطعام وذهبت مرة أخرى إلى السرير، كنا جميعًا سعداء.,نهضت وحاولت معرفة سبب استمرارهم في النباح.,تم إعطائي الجرو من قبل الرافعة.,1
دخل دان مسابقة أكل في معرضه المحلي.,خسر دان المسابقة، ومرض لمدة أيام.,حاول دان أكل 30 كلب ساخن بارد.,أكل دان الكثير من الطعام ببطء، على أمل الفوز.,1
كانت صديقة ميلسا قادمة للزيارة.,لحسن الحظ، عندما أشارت ميلسا إلى ذلك، اعتذرت صديقتها.,أصرت صديقة ميلسا على أن يخرجوا لتناول الطعام في مكان تكرهه ميلسا.,كانت ميلسا غاضبة.,1
أعجب معلم نيل بطلابها الفنيين.,كان المعلم متحمسًا لأن نيل رسمت صورة بالأشعة السينية لحيوان.,طُلب من نيل أن تفعل شيئًا غير متوقع.,درست نيل علم الأحياء لكي ترسم حيوانًا.,1
إيلي لم يعرف كيف يربط حذائه.,إيلي تعلم الآن ويربط مثل المحترفين.,سأل إيلي والده كيف يربط حذائه.,سأل والده إيلي كيف يربط حذائه.,1
عندما كانت فرانسين فتاة صغيرة، كانت حلوى القطن هي علاجها المفضل.,اشترت كيسًا لتشاركه مع أصدقائها.,رأت فرانسين موزًا للبيع في المعرض.,كانت قلقة لشراء بعض اليوم.,2
ذهب بن إلى الشاطئ في يوم مشمس.,تسلل بن إلى خيمته وقام بالاستراحة.,قام بن بتركيب خيمة كبيرة على الرمل لحجب الشمس.,قضى بن ساعات جالسًا في الشمس.,2
أراد تيلي الهروب من السجن.,تم إيقاف محاولة هروب تيلي ومعاقبتها.,صاغ دوغ خطة.,ركض تيلي نحو بوابة السجن في إحدى الليالي.,2
كان على سام أن يسدد دين بطاقته الائتمانية.,تمكن سام في النهاية من كسب ما يكفي لسد دين بطاقته الائتمانية.,قرر سام العمل في وظيفتين لسد دينه.,فقد سام وظيفته ولم يستطع سداد المدفوعات.,1
دعكت كاتي مطبخها ليصبح فوضويًا جدًا.,استخدمت الكلور للتأكد من أنه نظيف وآمن.,كانت كاتي بحاجة إلى الإسراع وتنظيفه.,أصبح المطبخ سيئًا لدرجة قد تنمو فيها العفن.,1
أعطى صديق راندي له اتجاهات إلى منزله.,رأى راندي المنزل لكنه استمر في القيادة ولم يعد.,كان للمنزل نوافذ مسطوبة وبدا سيئًا.,أخذت الاتجاهات راندي عبر جزء كبير من المدينة.,1
كنت أقود سيارتي على الطريق السريع عندما تعطلت سيارتي فجأة.,تبين أن تأمين سيارتي غطى شاحنة السحب والباقي كان رخيصًا!,اتصلت بشركة التأمين الخاصة بي لمعرفة إذا كان بإمكاني الحصول على مساعدة.,كنت قلقًا بشأن كيفية السحب.,1
كانت تيا في الكلية وذهبت إلى المنزل لقضاء العطلات.,قبل أن تغادر أخبرها والدها بأنهم سيطلقون.,اعتقدت تيا أن هناك شيء يبدو جيدًا بين والديها.,تناولت تيا العشاء مع والديها.,2
