question,option_a,option_b,option_c,option_d,answer
"بعد بيع منتج ما، وُجد أن به مشاكل جودة خطيرة، اقترح المستخدم ؟ ""إما الاستبدال أو التعويض بمضاعفة، واحد من الاثنين يجب أن يتم."" قال البائع؟ ""لا يمكننا الموافقة.""
إذا أصر البائع على مطالبته، فإن الاستنتاج التالي يخلص إلى أن البائع يجب أن يوافق منطقيا؟",استبدل ولكن لا تضاعف التعويض.,ضاعف التعويض ولكن لا تقم بتبديله.,تبادل ومضاعفة التعويض.,إذا لم يكن من الممكن القيام بتبادل التعويض أو مضاعفته، فيجب عليك قبول كل من التبادل ومضاعفة التعويض.,د
"صداع يواجهه صانعو القرار في بلد معين هو ما يسمى بمتلازمة ""لا تبقى على بابي"". على سبيل المثال ، على الرغم من أن استطلاعات الرأي أظهرت مرارًا وتكرارًا أن غالبية الجمهور يوافقون على بناء سجون جديدة ، عندما أعلن صانعو السياسات رسميًا عن خطط لبناء سجن جديد في مكان معين ، كانت هناك دائمًا احتجاجات من السكان القريبين وبطرق احتجاج دائمًا ما يتم وضع الخطة على الرف.
التالي ينتمي أيضًا إلى متلازمة ""لا تبقى على بابي"" المذكورة أعلاه؟",دافع أحد الوالدين عن عدم السماح للأطفال المصابين بفيروس نقص المناعة البشرية بالالتحاق بالمدارس الحكومية. وعندما علم أن طفلاً مصابًا بفيروس نقص المناعة البشرية قد دخل مدرسة طفله، قام على الفور باتخاذ إجراءات التوقف عن إرسال طفله إلى المدرسة.,دعا سياسي إلى أن يُسجّل جميع المسؤولين الحكوميين ملكيتهم الشخصية في سجل عام، وقام هو بتقديم استمارة تسجيل ملكية مزيفة لنفسه.,يدعو أستاذ إلى أن المجموعات الدينية لها التزام للمشاركة في الأعمال الخيرية، ولكنه يرفض التبرع بالمال لدعم الجياع في الصومال.,دعا مصنع سيارات إلى التجارة الحرة الدولية للسيارات من أجل مصلحة اقتصادات مختلف البلدان، ولكنه يطلب من حكومته تقييد استيراد السيارات الأجنبية الصنع.,د
"كشف تقرير عن التحقيق في الجرائم أن 60٪ من قضايا الجرائم الخطيرة في مدينة خلال السنوات الثلاث الماضية ارتكبها 350 مجرمًا معتادًا تم تسجيلهم. كما كشف التقرير أن أكثر من نصف مرتكبي الجرائم الخطيرة كانوا أيضًا مدمنين على المخدرات،
إذا كانت الاستنتاجات المذكورة أعلاه صحيحة، فما الذي يجب أن يكون صحيحًا؟",قد لا يكون هناك مدمنو مخدرات من بين 35O من المجرمين المتكررين.,يجب أن يكون هناك مدمنون مخدرات من بين 350 مجرم متكرر.,معظم الـ 350 من المخالفين المتكررين هم مدمنون مخدرات.,معظم مدمني المخدرات هم من بين ٣٥٠ من المخالفين المتكررين.,أ
"إذا سافر شياو زهاو، فإن شياو تشيان، وشياو سون، وشياو لي سيسافرون معًا.
إذا كان الاستنتاج أعلاه صحيحًا، فإن ما يلي صحيح أيضًا؟",إذا لم يسافر شياو زاو، على الأقل واحد من شياو تشيان، شياو سون، و شياو لي لم يذهبوا.,إذا لم يسافر شياو زهاو، فإن شياو تشيان، وشياو سون، وشياو لي لم يذهبوا.,إذا سافر شياو كيان، وشياو سون، وشياو لي جميعًا، فإن شياو زاو يذهب أيضًا,إذا لم يسافر شياو سون، فلن يذهب كل من شياو زاو وشياو لي.,د
"نشرت الجريدة قائمة تضم 20 مستشفى محليًا رئيسيًا، مرتبة حسب معدل وفيات المرضى فيها خلال السنوات الثلاث الماضية. أشار الخبراء إلى أن ترتيب التصنيف لا ينبغي استخدامه كمعيار لتقييم المستوى الطبي لهذه المستشفيات.
البنود التالية، إذا كانت صحيحة، يمكن استخدامها كحجة لدعم استنتاج الخبراء، باستثناء",من بين هذه المستشفيات العشرين، تعتمد 5 مستشفيات على التمويل الحكومي لاستيراد عدد من المعدات الطبية المتقدمة والكبيرة والداعمة من الخارج، ولا تعتمد باقي المستشفيات على ذلك.,في بعض المستشفيات ، تؤدي الإقامة طويلة الأجل للمرضى في المستشفى إلى ارتفاع معدل وفيات المرضى ؛ في بعض المستشفيات ، غالبًا ما يتم خفض معدل الاعتلال للمرضى المصابين بأمراض نهائية والذين يتم علاجهم بشكل يائس وتخرج من المستشفيات.,من بين 20 مستشفى، يوجد مستشفيان لكبار السن و3 مستشفيات للأطفال.,من بين 20 مستشفى، يوجد مستشفيان للأورام.,أ
"في مطعم، ناقش أفراد على طاولة ما الأعمال التجارية أثناء تناول الطعام. ثلاثة منهم من تشنغدو، وثلاثة من شنتشن، واثنان فقط يعملان في الأعمال الكهروميكانيكية. 3 أشخاص أيضا يمارسون أعمال تجارية في مجال مستحضرات التجميل.
إذا كان الاستنتاج أعلاه صحيحًا، فإن ما يلي صحيح أيضًا؟",على الأقل ٣ أشخاص ممكنين، وعلى الأكثر ٨ أشخاص.,الحد الأدنى قد يكون ٥ أشخاص، والحد الأقصى قد يكون ٨ أشخاص.,الحد الأدنى قد يكون ٥ أشخاص، والحد الأقصى قد يكون ٩ أشخاص.,٣ أشخاص على الأقل ممكنون، و ٩ أشخاص على الأكثر ممكنون.,ب
"انتقد المعلم وانغ سِياو لي لِقوله، ""لِماذا تأخرت عن حِصّة الرياضيات؟""
إذا كان الاستنتاج أعلاه صحيحًا، فهل أيضًا صحيح ما يلي؟",كان شياو لي متأخرا عن الفصل.,لم يلتزم أحد في المدرسة بقواعد النظام الصفي.,شاو لي لا يحب فصل الرياضيات.,وقت حصة الرياضيات واضح.,ج
"المنظمة التي تنتخب فريق قيادة تطبق قاعدة مثل هذه؟ إذا كان هناك أكثر من مرشح واحد، يجب على المرشح أن يوافق على الترشيح، وقبل التعبير عن موافقته، يجب أن يكون على علم بمن هو مرشحه.
إذا كان الاستنتاج أعلاه صحيحًا، فإن ما يلي صحيح أيضًا؟",تنفيذ القاعدة، لا يجوز ترشيح أي مرشح,القاعدة ليست مفروضة. كحد أقصى، يمكن ترشيح مرشح واحد فقط.,تنفيذًا لهذه القاعدة ، يوجد مرشح واحد على الأكثر تم ترشيحه.,تنفيذ القاعدة بحيث يكون عدد المرشحين المرشحين أكثر من عدم تنفيذ القاعدة.,ب
"طلب شياو زانغ من شياو لي الذهاب إلى المركز التجاري في اليوم التالي. قال شياو لي؟ ""إذا لم تمطر غدًا ، سأذهب للتسلق"". في اليوم التالي ، كان هناك رذاذ في العالم. اعتقد شياو زانغ أن شياو لي لن يذهب للتسلق. ذهب إلى غرفة شياو لي ليجد. من يعلم أن شياو لي لا يزال ذهب للتسلق. عندما التقى الاثنان مرة أخرى ، لام شياو زانغ شياو لي على أكل الكلمات. إذا أمطرت ، لماذا ذهب للتسلق على الجبل ؛ قال شياو لي إنه لم يأكل كلماته ، وكان من غير المنطقي أن يفكر شياو زانغ.
للجدل بين الاثنين ، ما يلي مناسب؟",هذه المناقشة بين شياو زانغ وشياو لي لا معنى لها.,استنتاج شياو زانغ غير منطقي.,الشخصان لديهما فهم مختلف للمطر الخفيف.,هذا الجدل كان بسبب كلام شياو لي.,ب
"هناك ثلاثة أنواع من الروبوتات في المختبر. النوع أ يمكنه التعرف على الألوان، والنوع ب يمكنه التعرف على الأشكال، والنوع ج لا يمكنه التعرف على الألوان أو الأشكال. قام المختبر بتجربة روبوتين1 و2 باستخدام الكرات الحمراء، وكرات السلة، والمربعات الحمراء، والمربعات الزرقاء، وأمرهم بالتقاط الكرات الحمراء، ولكن الروبوت1 التقط المربعات الحمراء، والروبوت2 التقط كرة السلة.
بناءً على التجربة السابقة، أي مما يلي يجب أن يكون صحيحًا؟",كلا من رقم 1 و رقم 2 يجب أن يكونا من النوع ج.,لا يجب أن يكون كل من رقم 1 و رقم 2 من النوع ج.,رقم 1 هو أ و رقم 2 هو النوع ب.,الرقم 1 ليس ب و الرقم 2 ليس من النوع أ.,د
"الطلاب سيذهبون إلى الفصل الدراسي بعد حصة التربية البدنية، 15 شخصا شربوا ماء نقي من موزع الماء، 5 منهم أصيبوا بسرعة بالإسهال. تم إرسال الماء النقي من موزع الماء للفحص على الفور، ولم تكن نتائج الفحص مؤكدة لوجود مواد ضارة تسببت في الإسهال. لذلك، شرب الماء النقي من موزع الشرب ليس هو سبب الإسهال.
إذا كانت نتائج الاختبار المذكور أعلاه صحيحة، فأي مما يلي هو التقييم الأنسب للargument أعلاه؟",المنطق لهذا الموضوع صحيح.,هناك ثغرة في الجدل حول الموضوع، لأنه لا يأخذ في الاعتبار حقيقة أخرى؟ أولئك الذين لم يشربوا الماء النقي في نافورة الشرب لم يسببوا الإسهال.,هناك ثغرة في حجة الفرع، لأنها تعتبر عدم وجود دليل لإثبات وجود حالة معينة دليلاً كافيًا لإثبات أن حالة معينة غير موجودة.,هناك ثغرة في الجدل حول الساق، لأنه لا يستخدم حجة قوية؟ لماذا يشرب المزيد من الناس الماء النقي في نافورة الشرب دون التسبب في الإسهال.,ج
"دان دان، شياو يينغ و شو زهن ذهبوا للمشاركة في مسابقة الأولمبياد. هناك ثلاثة أنواع من مسابقات الأولمبياد في الرياضيات، الفيزياء والكيمياء. جيانغو، شياوجي، و دانييل قدموا التخمينات التالية: جيانغو: دان دان شارك في مسابقة الرياضيات، و شياو يينغ شارك في مسابقة الفيزياء. شياوجي: شو زين لم يشارك في مسابقة الفيزياء، شياو يينغ شارك في مسابقة الرياضيات. دانييل: دان دان لم يشارك في مسابقة الرياضيات، شياو يينغ شارك في مسابقة الكيمياء.
إذا كانت تخميناتهم نصف صحيحة، أي مما يلي صحيح؟",دان دان، و شاو يينغ، وشو زهن شاركوا في مسابقات الرياضيات والفيزياء والكيمياء على التوالي.,دان دان، و شاو ينغ و شو زهن شاركوا على التوالي في مسابقات الفيزياء والرياضيات والكيمياء.,دان دان، و شاو ينغ و شو زهن شاركوا في مسابقات الرياضيات والكيمياء والفيزياء على التوالي.,دان دان، و شاو يينغ، و شو زهن شاركوا في مسابقات الكيمياء، والفيزياء، والرياضيات على التوالي.,د
"الرياضات المدرسية الخاصة بالمسار والميدان سيكون لديها 4 مشاريع على المسار: 100م، 200م، 400م و800م. في الفصل الثاني، ثلاثة أولاد جينغو، شياوجي، دانيال وثلاث فتيات داندان، شياوييغ و شووزهن شاركوا. الرياضات سيكون لديها نظامان؟ (1) كل مشروع يجب أن يحضره رجال ونساء في نفس الوقت أو لا. (2) كل شخص يمكنه المشاركة في مشروع واحد فقط.
إذا شارك جينغو في 100م أو 200م، دانيال شارك في 400م، و داندان شاركت في 800م، أي مما يلي يجب أن يكون صحيحًا؟",شارك شاوجيه في 800م.,شارك جيانغو في سباق 100م.,شاركت Xiaoying في 200م.,شاركت شوزين في 400م.,أ
"في فريق كرة سلة ، سميث أطول من دانيال و بيرس أقصر من هاري ، لذا سميث أطول من بيرس. تضاف العناصر التالية إلى فرضية السؤال كمسلمات جديدة. باستثناء واحدة ، يمكن إثبات المنطق في السؤال.
ما الذي لا يجعل المنطق صحيحًا؟",سميث طويل مثل هاري.,دانيال طويل مثل هاري.,دانيال أطول من هاري.,هاري أطول من دانيال.,د
"إذا اشتريت جهاز كمبيوتر Lenovo في عام 2002 ، فيجب أن تكون قد قمت بتثبيت نظام التشغيل Windows XP.
يمكن استخلاص هذا الاستنتاج من أي من الخيارات التالية؟",أجهزة الكمبيوتر من لينوفو التي تم شراؤها في عام 2002 فقط هي التي تم تثبيت نظام التشغيل Windows XP عليها.,أجهزة الكمبيوتر من لينوفو الموجودة في السوق في عام 2002 تم إنتاجها جميعًا في عام 2001.,أجهزة الكمبيوتر لينوفو في السوق قبل عام 2002 لم تقم بتثبيت نظام التشغيل ويندوز إكس بي.,جميع أجهزة الكمبيوتر في السوق في عام 2002 تم تثبيت نظام التشغيل Windows XP عليها.,د
"تظهر الإحصائيات أن نسبة الأشخاص الذين ماتوا بسبب أمراض الرئة في أريزونا أكبر من تلك الموجودة في ولايات أخرى، لأن مناخ أريزونا أكثر عرضة للتسبب في أمراض الرئة.
أي مما يلي ينفي الحجة أعلاه على أفضل وجه؟",المناخ هو عامل واحد فقط يسبب أمراض الرئة.,مناخ أريزونا جيد لأمراض الرئة، والأشخاص المصابون بأمراض الرئة يأتون إلى هذه الولاية.,الأمريكيون عادة لا يعيشون في مكان واحد طوال حياتهم.,لا يوجد دليل على أن للمناخ تأثير على أمراض الرئة.,ب
"مدينة لديها صناعتان رئيسيتان، صناعة الحرف اليدوية التقليدية والسياحة. سيؤدي تطور صناعة الحرف اليدوية التقليدية حتماً إلى التلوث، وبالتالي تدمير البيئة الإيكولوجية. لكن بيئة إيكولوجية جيدة هي شرط ضروري لتنمية السياحة.
أي مما يلي يمكن استنتاجه من الاستنتاج أعلاه؟",يجب على الحكومة البلدية أن تعزز بقوة حماية البيئة الإيكولوجية.,لا يمكن لهذه المدينة أن تنمي الحرف اليدوية التقليدية والسياحة في نفس الوقت.,يجب استبدال الصناعات التقليدية والسياحة بصناعات أخرى.,الدخل الاقتصادي لهذه المدينة يعتمد بشكل رئيسي على الحرف اليدوية التقليدية.,ب
"الناس في مدينة س يحبون الشرب كثيرًا، وغالبًا ما يواجهون مشكلة في شرب الكحول، مما يؤثر على بيئة الأمن في مدينة س. من أجل تحسين بيئة الأمن العام في المدينة، قررت حكومة المدينة تقليل إنتاج المشروبات الروحية المنتجة في مدينة س.
أي مما يلي يمكن أن يشكك في قرار الحكومة البلدية؟
معظم المشروبات الروحية في سوق مدينة س تأتي من مدن أخرى.
الدخل الاقتصادي لمدينة س يأتي بشكل رئيسي من إنتاج المشروبات الروحية.",ليس فقط السكر والمشاكل هي التي تؤثر على البيئة الأمنية لمدينة إس.,بعض الأشخاص الذين يشربون قليلي الكحول يشربون ويثيرون المشاكل أيضاً..,,,ج
"لي تشيانغ قال؟ ""أنا أعرف 100 شخص. ولا يوجد شخص من الأشخاص الذين أعرفهم عاطل عن العمل، لذلك يجب أن يكون معدل البطالة في الصين منخفضًا جدًا.""
أي مما يلي ينقض بشكل أفضل منطق لي تشيانغ؟",هناك أطفال بين الناس الذين يعرفهم لي تشيانغ.,معدل البطالة في المدينة التي يقع فيها لي تشيانغ يختلف عن المدن الأخرى.,بسبب وجود السكان العائمين، يصعب حساب معدل البطالة.,الغالبية العظمى من الأشخاص الذين يعرفهم لي تشيانغ هم زملاء في الوحدة.,د
"من أجل تحسين جودة الطلاب، تقدم المدرسة دورتين اختياريتين في الفنون والعلوم. تشير الإحصائيات إلى أن بعض الطلاب قد أخذوا جميع الدورات الاختيارية في الفنون الليبرالية وبعض الطلاب قد أخذوا جميع الدورات الاختيارية في العلوم.
 إذن أي مما يلي يجب أن يكون صحيحا؟",بعض الطلاب قد أخذوا جميع الدورات الاختيارية.,كل مقرر اختياري له تخصيصات طلابية.,هناك مقرر اختياري واحد، ويختاره أكثر من طالب واحد.,بعض الناس يختارون فقط دورات اختيارية في قسم التصليح.,ب
"قام شخص ما بهذا المنطق؟ لا يمكن قراءة أعمال ليو شون في يوم واحد، و ""دراجون زوغو"" هي عمل ليو شون، لذلك لا يمكن قراءة ""لونج زوغو"" في يوم واحد.
 بالنسبة لهذا المنطق، أي مما يلي صحيح؟",هذا المنطق صحيح.,هذا المنطق خاطئ لأن إحدى مقدماته خاطئة.,هذا المنطق خاطئ لأن استنتاجه خاطئ.,"هذا المنطق خاطئ لأنه تضمن ""أربع أخطاء مفاهيمية"".",د
"قد تجلب الأغذية المعدلة وراثيا آثارا جانبية، ولكن فول الصويا المعدل وراثيا يحتوي على عناصر نادرة مفيدة لصحة الإنسان. يوصي الخبراء بأن يستهلك الناس المنتجات المصنعة من فول الصويا هذا.
أي مما يلي يدعم اقتراح الخبير بشكل أفضل؟",سيتم تقليل الآثار الجانبية للأغذية المعدلة وراثيا المصنعة.,لا يمكن الحصول على هذه العناصر النزرة من الأطعمة الأخرى.,لا يوجد دليل على أن الأغذية المعدلة وراثيًا ستؤدي إلى آثار جانبية.,فائدة هذا العنصر النادر لصحة الإنسان أكبر من الضرر الناجم عن الآثار الجانبية للأغذية المعدلة وراثيا.,د
"في المناقشة حول ما إذا كان ينبغي لموظفي الخدمة المدنية تنفيذ نظام الإقصاء النهائي ، فإن حجة زانغ هونغ هي أن تنفيذ نظام الإقصاء النهائي يمكن أن يشجع الناس على العمل بنشاط ، وبالتالي تحسين كفاءة المنظمة. وجهة نظر جين جينغ هي؟ السؤال هو ما إذا كان يجب إقصاء الموظف المدني بعد أن يكمل وظيفته. بعد أن جربت بعض الوكالات نظام الإقصاء النهائي ، قامت حقًا بتحسين كفاءة عملها.
 أي مما يلي يقيم بشكل مناسب تأثير هذه الحقيقة على الآراء التي يتبناها الشخصان؟",لم يتأثر أي منهما.,تم تعزيز آراء جانغ هونغ فقط.,تم تعزيز كلا وجهتي النظر.,تم تعزيز وجهة نظر جين جينغ فقط.,ب
"الشاحنة تسير فقط على الطريق بعد الساعة 8 مساءً. السائقون الذين يشربون ويقودون لا يقودون باضواء. الشاحنة الصغيرة لن تسير على الطريق بعد الساعة 8 مساءً.جميع السيارات التي تسير على الطريق بعد الساعة 8 مساءً مضاءة. بعض المركبات العسكرية تسير على الطريق بعد الساعة 8 مساءً.
إذا كانت العبارات السابقة صحيحة ، فأي مما يلي مستحيل؟",سائق الشاحنة كان مخمورا.,السيارة تقود بأضواء مضاءة.,السائق كان ثملاً وقاد السيارة إلى داخل الشاحنة.,سائق مركبة عسكرية يشرب ويقود.,ج
"أ? ""في الآونة الأخيرة، لقد رأيته في كثير من الأحيان يمشي مع أطفاله."" ب? ""إذن، هو أب بالفعل.""
المنطق الكامن وراء حديث ب هو؟",على جميع الآباء أن يأخذوا أطفالهم في نزهة.,أصبح بعض الأشخاص الذين غالبًا ما يأخذون الأطفال للنزهة آباءً.,فقط من يأخذ الأطفال في نزهة على الأقدام في كثير من الأحيان هم الآباء.,الأشخاص الذين ليسوا آباء لا يستطيعون اصطحاب أطفالهم للنزهة.,د
"ثلاثة أشخاص حضروا الندوة هم من عشاق كرة القدم، وأربعة آسيويون، واثنان يابانيان وخمسة رجال أعمال.
الرواية أعلاه تشمل جميع المشاركين في الحفلة، بما في ذلك اليابانيين من غير رجال الأعمال. إذن، عدد الأشخاص الذين حضروا الحفلة هو؟",ما يصل إلى 14 شخصًا، على الأقل 5 أشخاص.,ما يصل إلى 14 شخصًا، على الأقل 7 أشخاص.,حد أقصى 12 شخصًا وحد أدنى 7 أشخاص.,ما يصل إلى 12 شخصًا، على الأقل 5 أشخاص.,ج
"لست في مسرح الجريمة. إذا كنت كذلك ، فأنا لم أرتكب ذنبًا. إذا ارتكبت جريمة ، فيجب أن يكون ذلك بسبب اللاوعي لدي.
أي مما يلي يشبه إلى حد كبير الحجة أعلاه؟",أنا لا آكل إلا الدجاج أو السمك أو البط. إذا لم آكل الدجاج، يجب أن آكل السمك أو البط. إذا لم آكل البط، يجب أن آكل السمك.,أنا لا أكذب أبداً. إذا كذبت، فلا بد أنني أجبرت على ذلك. إذا أجبرت على الكذب، فإن المسؤولية لن تكون عليّ.,لم أستعر كتابك. لو استعرته ، لما كسرت الكتاب. إذا كسرت الكتاب ، فذلك لأني لم أكن حريصًا.,لقد أكملت واجباتها المدرسية في الوقت المحدد كل يوم. إذا لم تكمل واجباتها المدرسية ، فلن تنام. إذا كانت نائمة ، فلا بد أنها قد أنجزت واجباتها المدرسية.,ج
