#,ID,Source,Country,Group,Subject,Level,Question,BackStory,Context,Answer Key,Option 1,Option 2,Option 3,Option 4,Option 5,is_few_shot
11,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,كيف من المرجح أن يكون رد فعل شياو فانغ؟,"في ظهيرة أحد أيام نهاية الأسبوع، يلعب تشانغ مينغ ووانغ لي وشياو فانغ معًا في غرفة النوم. في هذه الأثناء، يطرأ لتشانغ مينغ أمر، فيقول: ""سأخرج الآن. أراكم لاحقًا!"" يلوح مودعًا لشياو فانغ ويغادر الغرفة. يخرج وانغ لي لعبة جديدة - طائرة. ملصق بنقشة سحابة ملتصق بأسفل الطائرة. يقلد الاثنان طيران الطائرة في غرفة النوم. خلال ذلك، ترى شياو فانغ ملصق نقشة السحابة على ظهر الطائرة. بعد اللعب قليلًا، يضع وانغ لي الطائرة جانبًا. تستطيع شياو فانغ رؤية الملصق، لكنها لا تستطيع لمسه وهذا يزعجها. في هذه اللحظة، يعود تشانغ مينغ ويرى ملصق نقشة السحابة. يحدق في الملصق ويصرخ بحماس: ""أوه، هذا رائع، انظر!"" ثم يلقي نظرة خاطفة على شياو فانغ.",,A ,"تقول شياو فانغ ""هذه طائرة""","تقول شياو فانغ ""هذه سحابة""",تشير شياو فانغ بوضوح إلى ملصق نقشة السحابة,تتحقق شياو فانغ بوضوح من وجود أي شيء مميز فيها، بما في ذلك الجانب الذي عليه ملصق السحابة.,,False
12,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما هو رد الفعل الأكثر ترجيحًا لشياو هونغ؟,"في يوم صيفي دافئ، يلعب وانغ لي وتشانغ لي وشياو هونغ، وهم عائلة، معًا في غرفة المعيشة. فجأة، طرأ لو انغ لي أمر، فقال: ""سأخرج الآن، أراكم لاحقًا!"" ولوح مودعًا شياو هونغ وغادر الغرفة. أخرجت تشانغ لي لعبة جديدة، وهي عبارة عن بالون بألوان قوس قزح، عليه ملصق لوجه مبتسم في الأسفل. بدأ الاثنان يلعبان برمي البالون في الغرفة وهما يضحكان. خلال اللعب، كان الجزء السفلي من البالون يواجههما، ولكن لم ينتبه أحدٌ للملصق. بعد قليل، وضعت تشانغ لي البالون بأمان، وأصبحت شياو هونغ قادرة على رؤية الملصق ولكن لا تستطيع لمسه. عاد وانغ لي في هذه اللحظة، ورأى ملصق الوجه المبتسم أسفل البالون، فنظر إليه وقال بحماس: ""أوه، هذا رائع، انظري!"" ثم نظرت سريعًا إلى شياو هونغ.",,A,"تقول شياو هونغ: ""هذا بالون بألوان قوس قزح.""","تقول شياو هونغ: ""هذا وجه مبتسم.""",تشير شياو هونغ بوضوح إلى الملصق ذي الوجه المبتسم.,تتحقق شياو هونغ بوضوح مما إذا كان هناك شيء مميز في البالون، بما في ذلك الجانب الذي يحمل الملصق.,,False
13,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما هو رد فعل شياو فانغ الأكثر ترجيحًا؟,"في يوم خريفي مبهج، يلعب وانغ لي ولي لي وشياو فانغ معًا في غرفة المعيشة. فجأة، يكون لدى وانغ لي ما يفعله ويقول: ""أنا ذاهب الآن. أراك لاحقًا!"" يلوح مودعًا لشياو فانغ ويغادر غرفة المعيشة. تخرج لي لي لعبة جديدة، وهي حصان خشبي. توجد *لاصقة* على شكل قوس قزح على ظهر الحصان الخشبي. يدور الاثنان حول الحصان الخشبي في غرفة المعيشة، مستمتعين بتجربة ركوب الخيل. خلال ذلك، ترى شياو فانغ اللاصقة على ظهر الحصان الخشبي. بعد قليل، تنحي لي لي الحصان الخشبي جانبًا، فتستطيع شياو فانغ رؤية اللاصقة ولكن لا يمكنها الوصول إليها. في هذه اللحظة، يعود وانغ لي، ويا لحسن حظه، يرى لاصقة قوس قزح على قاعدة الحصان الخشبي. يحدق في اللاصقة ويصرخ بحماس: ""أوه، هذا رائع، انظر!"" ثم يلقي نظرة خاطفة على شياو فانغ *وكأنه يريد مشاركتها الإعجاب*.",,C,تشير شياو فانغ بوضوح إلى لاصقة قوس قزح.,"تقول شياو فانغ: ""هذا قوس قزح"".","تقول شياو فانغ: ""هذا حصان خشبي"".",تتفحص شياو فانغ بتمعن الحصان بحثًا عن أي ميزات خاصة، بما في ذلك الجانب الذي يحمل لاصقة قوس قزح.,,False
14,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,كيف يُحتمل أن يتفاعل شياو قانغ؟,"في فترة ما بعد الظهيرة في عطلة نهاية الأسبوع، يلعب يانغ تشن ولي لي وشياو قانغ معًا في غرفة المعيشة. في هذا الوقت، يانغ تشن لديها شيء تفعله فجأة، فتقول: ""أنا ذاهبة الآن. أراكم لاحقًا!"" وتلوح بيده مودعة شياو قانغ، وتغادر الغرفة. تخرج لي لي لعبة جديدة - دمية قماشية كبيرة. يوجد ملصق بنقشة زهرة على ظهرها، ويلعب الاثنان أدوارًا بالدمية في غرفة المعيشة، ويجريان تفاعلات ممتعة. خلال هذه العملية، يرى شياو قانغ الملصق الموجود على ظهر الدمية. بعد فترة، تضع لي لي الدمية على الأريكة، يستطيع شياو قانغ رؤية ملصق نقشة الزهرة ولكنه لا يستطيع لمسه. في هذا الوقت، تعود يانغ تشن، وتتعرف على نقشة الزهرة الموجودة على الدمية، فتحدق في النقشة وتصرخ بحماس: ""أوه، هذا رائع، انظر!"" ثم تنظر بنظرة خاطفة إلى شياو قانغ.",,D,يتحقق شياو قانغ بوضوح مما إذا كان هناك أي شيء مميز في نقشة الزهرة.,"يقول شياو قانغ ""هذه زهرة""",يشير شياو قانغ بوضوح إلى ملصق نقشة الزهرة,يشير شياو قانغ في اتجاه الدمية القماشية الكبيرة، لكنه لا يشير إلى الملصق,,False
15,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما هو رد الفعل الأكثر ترجيحًا لشياويو؟,"في صباح مشمس، يلعب ليو جيه، ولي تشيانغ، وشياويو معًا في غرفة المعيشة. في هذه اللحظة، يطرأ لليو جيه أمر، فتقول: ""سأخرج الآن. أراكم لاحقًا!"" وتلوّح لشياويو مودعةً، ثم تغادر الغرفة. يخرج لي تشيانغ لعبة جديدة، سيارة صغيرة عليها ملصق على شكل ديناصور في الخلف، ويقودان السيارة في غرفة المعيشة، ويتنافسان في مهارات القيادة. خلال ذلك، يرى شياويو ملصق الديناصور على ظهر السيارة. بعد قليل من اللعب، يضع لي تشيانغ السيارة جانبًا، ويستطيع شياويو رؤية الملصق لكن لا يستطيع لمسه. في هذه الأثناء، تعود ليو جيه، وترى ملصق الديناصور على ظهر السيارة، فتحدّق في الملصق وتصرخ بحماس: ""أوه، هذا رائع، انظر!"" ثم تنظر إلى شياويو نظرة ذات مغزى.",,A,"يقول شياويو: ""هذه سيارة صغيرة"".","يقول شياويو: ""هذا ديناصور!"".",يشير شياويو بوضوح إلى ملصق الديناصور.,يتفحّص شياويو بتمعّن ما إذا كانت بها أيّ ميزات خاصة، بما في ذلك الجهة التي عليها ملصق الديناصور.,,False
16,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما هو رد الفعل الأكثر ترجيحًا لشياو هونغ؟,"في ظهيرة أحد أيام عطلة نهاية الأسبوع، يلعب تشانغ مينغ، وتشاو يانغ، وشياو هونغ وآخرون في الغرفة معًا. أخرجت تشانغ مينغ لعبة جديدة، وهي طبلة غونغ، عليها ملصق على شكل نجمة في الخلف. أخذ الجميع يقفزون حول الطبلة ويقرعون عليها. كان ظهر الطبلة مواجهًا لهم طوال الوقت، لكن لم ينتبه أحدٌ إلى الملصق. قالت تشانغ مينغ: ""سأذهب لضبط حرارة مكيف الغرفة""، ثم نهضت وسارت نحو المكيف. وضع تشاو يانغ الطبلة على الطاولة، وشياو هونغ تستطيع رؤية الملصق، لكن لا يمكنها لمسه. ثم استدارت تشانغ مينغ، ورأت الملصق النجمي على ظهر الطبلة، وتحدقت به وقالت بحماس: ""واو! نجمة! انظروا!"". ثم نظرت سريعًا إلى شياو هونغ.",,B,"تشير شياو هونغ إلى اللعبة وتقول: ""إنها طبلة غونغ.""","تشير شياو هونغ إلى الملصق وتقول: ""إنها نجمة.""",تشير شياو هونغ إلى طبلة الغونغ، ولكنها لا تشير إلى الملصق.,تنظر شياو هونغ يمينًا ويسارًا بتشتت، وكأنها لا تعرف ماذا تفعل.,,False
17,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,كيف سيكون رد فعل شياو فانغ على الأرجح؟,"في ظهيرة يوم مشمس في نهاية الأسبوع، يلعب وانغ دان ولي لي وشياو فانغ معًا في غرفة المعيشة. أخرجت لي لي لعبة جديدة، وهي طائرة ورقية. يوجد ملصق على شكل وجه مبتسم على ظهر الطائرة الورقية. يلهو الجميع بتطيير الطائرة الورقية في المنزل، ويكون ظهر الطائرة الورقية مرئيًا للجميع، لكن لم يلفت الملصق انتباه أحد. بعد ذلك، قال وانغ دان: ""سأذهب لضبط الستائر في الغرفة""، فنهض ومشى نحو الستائر. وضعت لي لي الطائرة الورقية على الطاولة، وشياو فانغ تستطيع رؤية الملصق ولكن لا تستطيع لمسه. بعد أن انتهى وانغ دان من ضبط الستائر واستدار، رأى ملصق الوجه المبتسم على ظهر الطائرة الورقية. حدّق في الملصق وهو يقول بابتهاج: ""يا له من شيء رائع! انظروا!"" ثم ألقى نظرة خاطفة على شياو فانغ.",,A,"تقول شياو فانغ: ""إنه وجه مبتسم.""","تقول شياو فانغ: ""إنها طائرة ورقية.""",تشير شياو فانغ إلى الطائرة الورقية، لكنها لا تشير إلى الملصق.,تمشي شياو فانغ نحو الطائرة الورقية وتسلمها إلى وانغ دان.,,False
18,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,ما هو رد الفعل الأكثر ترجيحًا لشياو يو؟,"في حفل عيد ميلاد مفعم بالحياة، يلعب ليو جيه، وتشو تشيانغ، وشياو يو معًا في غرفة المعيشة. أخرج تشو تشيانغ لعبة جديدة - سيارة صغيرة، وعلى الجزء الخلفي منها ملصقٌ بنقشة ديناصور. بدأ الجميع بقيادة السيارة الصغيرة في الغرفة، يتنافسون ويتباهون بمهاراتهم في القيادة بشكل مرح. خلال ذلك، كان ظهر السيارة الصغيرة مواجهًا للجميع، لكن لم يركز أحد بشكل خاص على الملصق. ثم قالت ليو جيه: ""سأذهب إلى الحمام""، ونهضت واتجهت نحو الحمام. وضع تشو تشيانغ السيارة الصغيرة بعناية على الطاولة، وشياو يو يستطيع رؤية الملصق ولكنه لا يستطيع الوصول إليه بسبب بُعد المسافة. ثم أتت ليو جيه، ورأتْ ملصق الديناصور على ظهر السيارة الصغيرة، فحدّقت فيه بحماسٍ شديد وصاحت: ""يا له من شيء رائع! انظروا!"" ثم نظرت سريعًا إلى شياو يو.",,C,"يقول شياو يو: ""هذه سيارة صغيرة"".",يشير شياو يو إلى السيارة الصغيرة، لكنه لا يشير إلى الملصق.,"يقول شياو يو: ""هذا ديناصور"".",يمشي شياو يو نحو السيارة ويدفع السيارة الصغيرة نحو ليو جيه.,,False
19,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,كيف من المرجح أن يكون رد فعل شياو يو؟,"في عطلة نهاية الأسبوع، يلعب كل من ليو مينغ، ولي تشيانغ، وشياو يو معًا في غرفة النوم. يُخرج لي تشيانغ لعبة جديدة - مزهرية مربعة، عليها ملصق على شكل قلب في أسفل المزهرية. يعجب الجميع بالمزهرية في الغرفة، ويقدرون تصميمها. خلال ذلك، يرى كل شخص جانبًا مختلفًا من قاعدة المزهرية، ولكن لا أحد يولي اهتمامًا خاصًا للملصق. ثم يقول ليو مينغ: ""سأذهب لإغلاق باب الغرفة""، تنهض وتسير إلى الباب. يضع لي تشيانغ المزهرية على الطاولة، شياو يو تستطيع رؤية الملصق لكنها لا تستطيع لمسه. بعد أن تغلق ليو مينغ الباب وتستدير، ترى للتو الملصق على شكل قلب في أسفل المزهرية، تحدق في الملصق وتصرخ بحماس: ""رائع! انظروا إلى هذا!"". ثم تلقي نظرة خاطفة على شياو يو.",,D,"يقول شياو يو: ""هذه مزهرية""",ينظر شياو يو يمينًا ويسارًا دون اتجاه محدد,يشير شياو يو إلى المزهرية، لكنه لا يشير إلى الملصق,يشير شياو يو بوضوح إلى ملصق القلب,,False
20,1,Knowledge-Attention Links.jsonl,,,Knowledge-Attention Links,,كيف من المرجح أن يكون رد فعل شياو مينغ؟,"في عطلة نهاية أسبوع مشمسة، يلعب كل من صن وي، وتشانغ لي، وعائلة شياو مينغ معًا في غرفة المعيشة. أخرجت تشانغ لي لعبة جديدة، وهي عبارة عن طائرة نموذجية. يلتصق بأسفل جسم الطائرة ملصق بنقشة قوس قزح. يجلس الجميع حول الطائرة ويبدأون في تجميعها معًا. خلال ذلك، يكون الجزء السفلي من الطائرة مواجهًا للجميع، لكن لا أحد يولي الملصق اهتمامًا خاصًا. في هذه اللحظة، يقول صن وي: ""سأذهب لتعديل الستائر في غرفة المعيشة""، وينهض متوجهًا نحو الستائر. وضعت تشانغ لي الطائرة النموذجية على الطاولة، وشياو مينغ يرى الملصق ولكنه لا يستطيع لمسه (ربما لأنه صغير). ثم استدار صن وي وفجأة رأى ملصق نقشة قوس قزح على أسفل الطائرة. حدّق بالملصق بتمعّن وصاح بحماس: ""أوه، هذا رائع، انظر!"" ثم نظر بسرعة إلى شياو مينغ.",,B,"يقول شياو مينغ: ""إنها طائرة"".",يشير شياو مينغ بوضوح إلى ملصق نقشة قوس قزح.,يشير شياو مينغ إلى الطائرة النموذجية، ولكنه لا يشير إلى الملصق.,يمشي شياو مينغ نحو الطائرة النموذجية ويسلم الطائرة إلى صن وي.,,False
21,1,Percepts-Knowledge Links.jsonl,,,Percepts-Knowledge Links,,ماذا يرى شياو لي في الصندوق؟,كان شياو مينغ وشياو لي يتجولان في البنك، فرأيا حقيبة يد وصندوقًا، فوجدا طباشير في حقيبة اليد، وغادر شياو لي البنك، ونقل شياو مينغ كل الطباشير إلى الصندوق.,,A,لا يرى شيئًا,حقيبة يد,حقائب حمل,طباشير,,False
22,2,Percepts-Knowledge Links.jsonl,,,Percepts-Knowledge Links,,بعد عودة شياو لي إلى البنك، هل يعرف شياو لي مكان الطباشير الآن؟,كان شياو مينغ وشياو لي يتجولان في البنك، رأيا حقيبة يد وصندوقًا، وعثرا على طباشير في الحقيبة. غادر شياو لي البنك، ثم نقل شياو مينغ الطباشير إلى الصندوق.,,A,لا يعرف,يعرف، في حقيبة اليد,يعرف، في الحقائب الكبيرة,يعرف، في الصندوق,,False
