observation_1,observation_2,hypothesis_1,hypothesis_2,label
كانت أليستر تتدرب على استخدام قوسها.,وانتهى الأمر بالنزول مباشرة والهبوط على قدم المدرب.,كان أليستر لا يزال مبتدئًا في القوس.,كان أليستر محترفًا في القوس.,1
كان بيلي ينوي دعوة رئيسه لتناول العشاء.,كان لا يزال يقوم بالتنظيف بالمكنسة الكهربائية عندما وصل رئيسه.,كان بيلي يلعب الألعاب وينسى التنظيف حتى الساعة الخامسة مساءً.,عاد بيلي إلى المنزل من العمل مبكرًا.,1
كانت مايا تمشي بمحاذاة النهر، تبحث عن الضفادع.,لحسن الحظ، تمكنت من النهوض والعودة إلى المنزل بأمان.,لقد انتهى بها الأمر بالسقوط في النهر.,انزلقت مايا على بعض الصخور وكسرت ظهرها.,1
كانت سوزان تصنع حساءً.,لقد بذلت قصارى جهدها لقطع الأجزاء السيئة.,كان عليها أن تضع بعض المرق.,كان عليها أن تضع بعض الدجاج.,2
لقد شعرت لولو بالانشغال الشديد في الآونة الأخيرة.,لكنها كانت مستعدة لإرسالها لأن المدرسة كانت ممتازة.,ابنة لولو كانت ستذهب إلى المدرسة للمرة الأولى.,كانت والدة لولو تفكر في إرسالها إلى منزل جديد على الرغم من اعتراضاتها.,1
أردت أن أصنع لعبة فيديو.,في الواقع، كانت لغة جافا سيئة للغاية في برمجة ألعاب الفيديو.,لقد قمت بالبرمجة باستخدام جافا للعبة الروبوت.,لقد قمت بالبرمجة باستخدام جافا للعبة الروبوت لأنها كانت سهلة.,1
تزوج صديقي المفضل وانتقل إلى هاواي.,احتفلنا لأيام وغادرت إلى المنزل في نهاية الأسبوع.,لقد زارني صديقي المفضل في الإجازة.,ذهبت معها للاحتفال.,2
ذهب توم إلى متجر إلكترونيات لشراء سماعات الأذن.,قرر توم شراء سماعات أذن باهظة الثمن دائمًا.,كان توم نخبويًا.,اشترى توم أشياء باهظة الثمن ولكنها انكسرت على الفور.,1
كانت كايا بحاجة إلى شراء فستان جديد لحفل الربيع القادم.,لم تتمكن من المقاومة لذلك اشترت المزهرية العتيقة.,في المتجر، رأت كايا مزهرية جميلة جدًا.,لم يتمكن كايا من العثور على أي شيء في المتجر.,1
عاد سام إلى منزله ليجد الماء في كل مكان على أرضية مطبخه.,قام سام بتجديد ثلاجته الجديدة بكل الأطعمة المفضلة لديه.,وضع سام منشفة تحت الثلاجة المتسربة.,تعطلت غسالة الأطباق سام وكانت تتسرب.,2
كانت آنا تعاني من صداع شديد.,ولحسن الحظ، عندما استيقظت، اختفى الصداع.,أخذت آنا بعض الأسبرين واستلقت وأخذت قيلولة.,ذهبت إلى حفلة موسيقية للتخلص منه.,1
حلمت الليلة الماضية أنني أركب الدراجة.,استيقظت، وأنا أشعر بخيبة أمل شديدة.,كان حلمي حقيقيًا جدًا وكنت في جولة ممتعة بالدراجة.,لدي دراجة في الواقع.,1
لقد بدأ الوقت يتأخر في الخارج.,لقد عاقبها والداها بالسجن لمدة أسبوع بسبب تأخرها.,لقد نسيت الوقت وعادت إلى المنزل متأخرًا.,كان من المفترض أن تكون في المنزل بعد ساعة من وصولها.,1
أراد كيم شراء سيارة.,تم تعيين كيم في وظيفة وقامت بتوفير ما يكفي من المال لشراء سيارتها.,كانت كيم بحاجة إلى المزيد من المال مما يمكنها الحصول عليه.,تقدم كيم بطلبات للحصول على وظائف لكسب المال.,2
لقد تأخر جو عن المدرسة.,تناول جو وجبة إفطار لذيذة وصحية مكونة من التفاح والموز!,كان لدى جو متسع من الوقت لطهي شيء ما.,لم يكن لدى جو وقت لطهي أي شيء.,2
تيم يحتاج إلى فاكهة ليأكلها.,وأخيرا، وجد بعض العنب الطازج ليأكله.,ذهب إلى السوبر ماركت القريب.,لقد بحث تيم لفترة طويلة في الثلاجة الفوضوية.,2
والدة جينا أخذت شريط راب من أطفالها.,كان واقفا مبتسما بينما تم تحطيم شريطه.,كان شريط الراب سيئًا ووقحًا.,جينا تأخذ شريطها الجديد.,1
كيلي تحب أكل الحلويات اللذيذة.,لقد أكلنا جميعًا حلوى البراوني كحلوى.,لقد طلبنا الحلوى التي يرغب بها الجميع.,لقد طلبنا المقبلات التي يفضلها الجميع.,1
لقد كان أورا يعاني من زيادة الوزن دائمًا.,بفضل مساعدتهم، خسرت أورا أكثر من عشرين رطلاً!,قررت أورا تناول طعام صحي لمدة شهر.,قررت أورا أنها تريد الحفاظ على وزنها.,1
قررت بريا تجربة مطعم جديد.,اعتقدت بريا أن طعامها كان لذيذًا.,طلبت طبقين من الجمبري.,كان الطعام الذي طلبته بريا مسخنًا في الميكروويف ومطبوخًا مسبقًا.,1
كان جيمي وكانديس ذاهبين في موعد.,وأخيرًا، استقروا على الآيس كريم!,لم يعرف جيمي وكانديس أي فيلم سيشاهدانه.,لم يتمكن جيمي وكانديس من تحديد ما يجب فعله.,2
لقد شعر سكوت بالحزن بشكل متزايد خلال الأعوام القليلة الماضية التي قضاها في نيويورك.,أثناء خروجه من نيويورك، يشعر سكوت بالارتياح والحنين إلى الماضي.,وجد سكوت وظيفة في نيويورك.,إن روتين الحياة اليومي وحركة المرور الكثيفة وسكان المدينة الفظين جعل سكوت يتوق إلى العيش في بلدة صغيرة.,2
ذهبت إلى المتجر ذات يوم لشراء الملابس.,عدت إلى المنزل وكان الجينز يناسبني بشكل أفضل.,حصلت على أحجام أكبر.,اشتريت الجينز على الرغم من أنه كان غالي الثمن بعض الشيء.,1
سام كانت في موعد مع صديقها.,عندما سألها صديقها إذا كانت تريد الخروج معه، صرخت عليه.,لقد صادفوا صديقًا لطيفًا لسام في طريقهم إلى العشاء.,لقد كان الموعد سيئًا، وعادوا إلى ديارهم بشروط جيدة.,1
تقوم بام بإجراء استطلاعات رأي يوميًا لمحاولة الفوز بجوائز على موقع Survey Monkey.,يبدو أن بام لم تعتقد أن هناك أي خطأ في ذلك.,حاولت بام أن تكون صادقة قدر الإمكان.,أضاعت بام وقتها في إجراء استطلاعاتها.,2
حلمت ليديا بحلم غريب الليلة الماضية.,تمنت ليديا أن يكون الحلم حقيقيًا.,في حلم ليديا، كانت فقيرة ووحيدة.,في حلم ليديا، كانت غنية ومشهورة.,2
دانا أرادت دائمًا ركوب الدراجة.,لقد كانوا يركبون معًا في غضون دقائق.,طلبت دانا من أحد الجيران أن يركب معها.,طلبت صديقتها من دانا أن تعلمها كيفية ركوب الخيل.,1
أراد كيلي تجربة لعب كرة القدم هذا العام.,احتفلت كيلي بتناول البيتزا.,حاول كيلي الانضمام لفريق كرة القدم لكن تم استبعاده.,تم انضمام كيلي إلى الفريق.,2
كان توم متحمسًا لاستخدام شواية الغاز الجديدة الخاصة به.,تم تدمير مرآب توم و الشواية.,لم يقم توم بفحص غاز الشواية.,لم يتحقق توم من سلامة الشواية.,2
ذهب مارتن إلى المخيم مع أصدقائه.,لقد اصطاد مارتن الكثير من الأسماك حتى يتمكن الجميع من تناول الطعام.,ذهب أصدقاء مارتن للصيد بدون مارتن.,لقد كان أفضل صياد في المجموعة.,2
كان سام متحمسًا لغسل سيارته.,لقد نسي إغلاق النافذة في كل هذا الإثارة.,بعد غسل السيارة لاحظ سام أن مقاعد سيارته كانت كلها مبللة.,قام برفع جميع نوافذ سيارته وبدأ يحلم بمظهر سيارته الجيد بعد الغسيل.,1
لقد أرادت ماي حقًا الذهاب إلى الحفل الذي سيقام الأسبوع المقبل.,ردت قارئة طيبة لتعطيني تذكرتين مجانيتين للحفل!,أرسلت ماي تغريدات تبحث فيها عن التذاكر.,لذلك اشترت تذكرتين عبر الإنترنت.,1
قررت ميندي الذهاب إلى منزل جيك.,لقد أصيبت بالذعر وخرجت من منزله وهي تصرخ.,عندما دخلت ميندي من الباب، كان جيك عارياً.,لقد أخافت ميندي جيك عندما دخلت إلى المنزل.,1
كنت أواجه صعوبة في العثور على نعالي المريحة.,من وجده له نصيب، قالت لي.,سرق الكلب النعال.,لقد سرقت أختي نعالي.,2
لم يعجبني لون شفتي.,مع مرور الوقت، تقبلني الناس في المدرسة على أنني الشخص الذي كنت أرغب في أن أكونه.,لقد استخدمت علامة لرسمهم باللون الوردي الفاتح.,أردتُ أن يكون لديّ شفاه طبيعية. صبغتها باللون الأحمر وأعجب الناس.,1
ذهبت العائلة للتسوق معًا.,اشترى الأب للولد جهاز كمبيوتر جديد.,وكان ابنهم حسن السلوك للغاية.,كان الصبي بحاجة إلى هاتف محمول جديد.,1
كنت أعمل على جهاز الكمبيوتر المحمول الخاص بي في أحد الأيام.,بعد دفع الفاتورة، لم أعد أواجه أي مشاكل.,لقد تلقيت بريدًا إلكترونيًا يقول إن فاتورة الكابل الخاصة بي سارية وسيتم ترقية الخدمة.,كان الإنترنت بطيئًا جدًا ثم توقف تمامًا.,2
كان عيسى يتزوج لكنه لم يستطع شراء باقة الزهور.,انتهى الأمر بعيسى بباقة زهور جميلة تم اختيارها يدويًا!,ذهبت عيسى إلى موقع البلد ووجدت بعض الزهور.,لقد نسي عيسى الباقة.,1
هناك قندس يقوم ببناء سد بالقرب من مدرستنا.,قرر القندس مغادرة المنطقة وذهب إلى أبعد من مجرى النهر.,دمر الناس السد الذي كان القندس يبنيه.,كان الجميع في جميع أنحاء الفندق، يحاولون رؤيته.,1
كانت عائلتي في إجازة في إيطاليا.,لقد كانت صورتنا المفضلة في العطلة.,لقد التقطنا صورة جميلة لإسبانيا.,التقطنا صورة بجوار الكولوسيوم في روما.,2
لقد طلبت من بيل عدم الذهاب إلى لانسينغ.,لقد تعرض لحادث على الطريق السريع، وكان ينبغي عليه أن يستمع.,قال بيل أنه سيكون بخير وغادر.,على أية حال، ذهب بيل إلى لانسينغ عبر الجو.,1
أرادت ليف أن ترقص الباليه.,زملاء ليف في الصف يشعرون بالغيرة والصدمة!,والدة ليف سجلتها.,لم تكن موهوبة جدًا.,1
كان طفل صغير مريض في المستشفى يعبد لاعب كرة سلة مشهور.,كان يقف أمام المقهى لاعب الكرة!,ذات يوم قالت لهم الممرضة أنه يجب عليهم الذهاب إلى المقهى لتناول بعض الحلوى.,كان لاعب البيسبول ينظر من النافذة إلى مقهى.,1
كان جيك خارج الطريق.,كان عليه أن يحصل على المساعدة للخروج.,لقد انتهى الأمر بجايك إلى التحرر من الطين.,جيك حصل على أشياء في الوحل.,2
لقد حصلت على لعبة سباق جديدة أمس.,وأخيرًا بعد ساعات من اللعب توقفت.,لقد كان ممتعًا جدًا، لقد كنت مهرجًا.,جلست لتجربة اللعبة.,2
فريدا هي رئيسة مكتبها.,فريدا لا تستطيع أن تفهم لماذا الناس لديهم مشكلة معها!,إنها لا تطلب بشكل لطيف الحصول على أشياء غير محددة.,إنها لا تطلب بشكل لطيف إنجاز الأمور.,2
لقد اتصلت كارلي للتو بأطفالها من اللعب بالخارج.,ثم وضعت عليها بعض المستحضر الطبي على أمل أن يختفي.,وكان أحدهم يعاني من سعال شديد.,لاحظت كارلي أن ابنتها دخلت إلى Poison Ivy.,2
لقد قطع أليكسيس شجرة عيد الميلاد في الغابة.,عندما وضعته، كان الحجم مناسبًا لسقفها.,تأكد أليكسيس من أن ارتفاع الشجرة لم يكن أقل من 20 قدمًا.,كان أليكسيس قلقًا من أن يكون الأمر كبيرًا جدًا.,2
كانت فرانسين تحلم دائمًا بأن تصبح مصممة أزياء.,لقد كانت فخورة جدًا لأنها اتبعت أحلامها.,قررت فرانسين الذهاب إلى المدرسة لتحقيق أحلامها.,تقدمت فرانسين إلى كلية إدارة الأعمال.,1
ذهب جاك إلى أول مباراة كرة سلة مع والده.,وبينما كان الجمهور يهتف، أدرك جاك أنهم لن ينسوا مباراته الأولى أبدًا.,أمسك جاك الكرة التي ارتدت فوق السياج.,رأى جاك مدى جنون الحشد.,2
كان ناثان يتنمر على العديد من الأولاد الآخرين في المدرسة.,أدرك ناثان أن عنفه لن يمنعه أبدًا من الإساءة إلى نفسه.,ناثان لم يدخل في قتال أبدًا.,تم احتجاز ناثان في المدرسة.,2
قام مايك بصنع المعكرونة في المنزل في أحد الأيام.,أصبحت المعكرونة الآن عنصرًا أساسيًا في نظام مايك الغذائي.,وجد مايك أن صنع المعكرونة أمر صعب.,مايل يحب الطعام الإيطالي.,2
أعطاه صديق راندي الاتجاهات إلى منزله.,أخبر راندي صديقه بمدى ارتياحه عندما وجده.,كان راندي يعرف المنطقة جيدًا.,لم يكن يعرف هذا الجزء من المدينة جيدًا.,2
كان لدى كاي إعجاب بشاب في صفها.,ابتسم لها بعد ذلك وقال أنه معجب بها أيضًا!,أرسلت القطة رسالة حب إلى الصبي.,قالت له أنها لا تحبه.,1
لاسي وكارين دخلوا في قتال.,اعتذرت كارين أيضًا حتى يتمكنا من أن يصبحا صديقين مرة أخرى.,لقد افتقدت كارين لاسي كثيرًا، ولم تستطع أن تتحمل عدم التحدث إلى صديقتها.,لقد افتقدت لاسي كارين كثيرًا، ولم تستطع أن تتحمل عدم التحدث إلى صديقتها.,1
كان لدى صديقي إعلان ليقدمه.,لذا، ابتسمت وتمنيت له حظا سعيدا.,أخبرنا صديقي أنه مصاب بالسرطان ومن المتوقع أن يموت خلال أسبوع.,صديقي عادة ما يتحدث عن بعض الصفقات التجارية.,2
كان جورج على وشك المشاركة في أول قتال احترافي له.,أثبت جورج مهاراته وفاز بمباراته الأولى.,لقد تدرب جورج بجد لمدة يومين قبل القتال.,كان جورج هو الأضعف، لكنه كان يتدرب لعدة أشهر للتنافس في هذا الحدث.,2
بوب وأطفاله يحبون كرة القدم.,يتبادل بوب وأطفاله العناق للاحتفال بالفوز.,الفريق الذي يحبه بوب وأطفاله فاز.,لقد لعبوا كرة السلة في الخلف طوال فترة ما بعد الظهر.,1
كان أليكس في الهدف مع والدته.,توسل إلى أمه أن تشتريه حتى وافقت.,لم يرى اللعبة التي أرادها حقًا في أي من الممرات.,لقد رأى أليكس لعبة كان يريدها حقًا.,2
حلمت نوفا بأن تصبح راقصة محترفة.,اختيار نوفا الثاني قبلها.,قدمت نوفا طلبات إلى عدد من مدارس الرقص ولكن تم رفضها في خيارها الأول.,تقدمت نوفا إلى مدرسة رقص واحدة.,1
قضت كارلا وسام الصباح في بناء قلعة رملية.,لقد دخل المد والجزر، وحطمه.,لقد حدث أمر غير متوقع عندما لم يأتي المد في ذلك اليوم.,تم بناء القلعة الرملية مباشرة على الشاطئ.,2
كانت تامي في الصف الثامن.,قررت تامي تجربة الانضمام لفريق الكرة الطائرة للشباب.,أرادت أن تكون أقل انخراطًا وتفقد الأصدقاء.,كانت تامي طويلة بالنسبة لعمرها.,2
دونالد يترشح للرئاسة.,نأمل أن يخسر الانتخابات.,دونالد هو شخص رائع وغير أناني.,دونالد ليس المرشح الذي أريده للرئاسة.,2
لقد كنت خارج الشكل تماما.,بعد أسابيع من القفز بالحبل، بدأت أشعر أنني بحالة ممتازة.,كان عندي حبل كنت أستخدمه للقفز في المنزل.,لقد التزمت بممارسة رياضة القفز بالحبل كل شهر.,1
والدة أورا قالت لابنتها أن فاتورة الغاز الخاصة بالأسرة مرتفعة جدًا.,كانت أورا غير سعيدة، لكنها فهمت.,كانت عائلة أورا بحاجة إلى استخدام المزيد من الغاز.,طردت والدة أورا ابنتها من المنزل حتى يتم تخفيض فاتورة الغاز الخاصة بهم.,2
لقد أبقاني بعض الكلاب مستيقظًا حتى لم أعد أستطيع التحمل بعد الآن.,لقد أعطيت الجرو الطعام ثم عدت إلى السرير، وكنا سعداء.,لقد أعطاني اللقلق الجرو.,نهضت وحاولت أن أعرف لماذا استمروا في النباح.,2
شارك دان في مسابقة الأكل في معرضه المحلي.,خسر دان المسابقة، وكان مريضًا لعدة أيام.,أكل دان الكثير من الطعام ببطء شديد، على أمل الفوز.,حاول دان أن يأكل 30 قطعة هوت دوج باردة.,2
كانت صديقة ميليسا قادمة للزيارة.,لحسن الحظ، عندما أشارت ميليسا إلى هذا الأمر، اعتذرت صديقتها.,ميليسا كانت وقحة.,أصر صديق ميليسا على أن يذهبوا لتناول الطعام في مكان تكرهه ميليسا.,2
أعجبت معلمة نيل بطالبتها الفنية.,لقد أعجب المعلم بقدرة نيل على رسم صورة بالأشعة السينية لحيوان.,درست نيل علم الأحياء لرسم حيوان.,لقد تم توجيه نيل للقيام بشيء غير متوقع.,2
لم يكن إيلي يعرف كيفية ربط حذائه.,تعلم إيلي وأصبح الآن يربط مثل المحترفين.,سأل والده إيلي عن كيفية ربط حذائه.,سأل إيلي والده كيف يربط حذائه.,2
عندما كانت فرانسين طفلة صغيرة، كان طعامها المفضل هو حلوى القطن.,اشترت حقيبة لتشاركها مع أصدقائها.,كانت حريصة على شراء بعضًا منها اليوم.,رأت فرانسين الموز معروضًا للبيع في المعرض.,1
ذهب بن إلى الشاطئ في يوم مشمس.,زحف بن إلى خيمته ونام.,قضى بن ساعات جالسًا في الشمس.,قام بن بنصب خيمة كبيرة على الرمال لحجب الشمس.,1
أرادت تيلي الهروب من السجن.,تم إيقاف محاولة هروب تيلي ومعاقبتها.,ركضت تيلي نحو بوابة السجن في إحدى الليالي.,وضع دوغ خطة.,1
كان على سام أن يسدد ديون بطاقة الائتمان الخاصة به.,تمكن سام في النهاية من جمع ما يكفي لسداد ديون بطاقة الائتمان الخاصة به.,لقد فقد سام وظيفته ولم يتمكن من سداد المبلغ.,قرر سام العمل في وظيفتين لسداد ديونه.,2
لقد تركت كاتي مطبخها يصبح فوضويًا جدًا.,لقد استخدمت المبيض للتأكد من أنه نظيف وآمن.,لقد أصبح المطبخ سيئًا للغاية لدرجة أن العفن قد ينمو.,كانت كاتي بحاجة إلى الإسراع وتنظيفه.,2
