question,option_a,option_b,option_c,option_d,answer
"بعد أن يباع المنتج، يُكتشف أن هناك مشاكل جذرية في الجودة، ي提ح المستهلك؟ ""أو التبادل أو تعزيز التعويض بمرتين، يجب أن تفعل أحدهما."" قالت المبيعات؟ ""لا يمكننا الاتفاق.""
إذا استمر المبيعات في مطالبه، يُستنتج أنه يجب على المبيعات أن يتفق بشكل منطقي؟",تجديد التعويض دون زيادته.,تضاعف التعويض دون تبادل.,زيادة المرتبتين وضربها باثنين.,إذا لم يكن بالإمكان إجراء التبادل أو إضاعة التعويض، يجب قبول كلا التبادل وإضاعة التعويض.,د
"تُصادف السياسيين في بلد معين مشكلة ما يُعرف بالمرض ""لا تظل على بابي"". على سبيل المثال، على الرغم من أن استطلاعات الرأي قد أظهرت عدة مرات أن الأغلبية العامة تدعم بناء سجون جديدة، عندما أعلن السياسيون رسمياً عن خطط بناء سجن جديد في مكان معين، هناك دائمًا احتجاجات من سكان المناطق المجاورة، وبأي حال كان هناك دائمًا طرقًا لوقف خطة البناء.
يتبع أيضًا ما يُشير إليه المرض ""لا تظل على بابي"" المذكور أعلاه؟","يصرّ أحد الوالدين على أن الأطفال المصابين بالفيروس المناعي البشري (HIV) لا يمكن أن يُدخلوا إلى المدارس العامة. عندما عرف أن طفلاً مصاباً بالفيروس المناعي البشري (HIV) دخل مدرسة ابنته، فانخرط فوراً في الإجراءات لانسحابه من مدرسة ابنته 
.",كان سياسيًا يadvocate أن جميع الموظفين الحكوميين يجب أن يقوموا بترخيص ملكية شخصية عامة،  و قدم نفسه صورة ترخيص ملكية كاذبة.,يُدافع أستاذٌ عن فكرة أنّ الجماعات الدينية تحتاج إلى المشاركة في الأعمال الخيرية، لكنه يرفض إعطاء المال لدعم الفقراء في الصومال.,تطالب شركة تصنيع السيارات بالتجارة الحرة الدولية للسيارات من أجل تحسين اقتصاد الدول المختلفة، ولكن تطلب من حكومتها تقييد إيراد السيارات المصنعة في الخارج.,د
"أظهرت تقرير عن التحقيق في الجرائم أن 60% من الحالات الجرائم الخطيرة في مدينة ما خلال ثلاث سنوات الماضية كانت قد ارتكبتها 350 من المخالفين الذين تم تسجيلهم. وأظهر التقرير أيضا أن أكثر من نصف المشاركين في الجرائم الخطيرة كانوا أيضا مُستخدمي المخدرات،
إذا كانت الاستنتاجات السابقة صحيحة، فإن ما يلي يجب أن يكون صحيحا.",لا يوجد من المخالفين المتكررين 350  مرتكبًا للاستخدام الممنوح للمخدرات.,يجب أن يكون هناك مُستخدمو المخدرات بين المُكرّبين 350 من المجرمين.,أَكثَرُ مِن 350 من المُخالِفين المُكرَرين هم مُستَعمِلون للمخدرات.,تتضمن معظم المخالفين للقانون بسبب المخدرات بين المخالفين المتكررين 350 مرات.,ا
"إذا ذهب سياو تشاو للرحلة، فإن سياو تشيان، سياو صن وسياولى سيذهبون معًا.
إذا كانت الاستنتاج السابق صحيحًا، فإن ما يلي هو صحيح أيضًا؟","إذا لم يرحل شیو چاو، فعلى الأقل واحد من شیو چیان، شیو صن، وشیو لی لم يذهب. 
 إذا لم يرحل شیو چاو، فعلى الأقل واحد من شیو چیان، شیو صن، وشیو لی لم يذهب.","إذا لم يرحل شیو چاو، فإن شیو چیان، شیو صن، وشیو لی لم یذهبوا. 
 إذا لم يرحل شیو چاو، فإن شیو چیان، شیو صن، وشیو لی لم یذهبوا.","إذا ذهب سونغ تشاويان و سونغ تشاو صن و سونغ تشاو لي، فإن سونغ تشاو جيا يذهب أيضًا 
",إذا لم يذهب سونغ شاو إلى السفر، فإن تشاو تشاو و تشاو لي لن يذهبا.,د
"نشرت الجريدة قائمة بأهم المستشفيات الداخلية 20 مستشفى، مرتبة حسب معدل وفيات المرضى في السنوات 3 الماضية. وأشار الخبراء إلى أن ترتيب الترتيب لا يجب أن يستخدم كشروط لتقدير مستوى الرعاية الطبية لهذه المستشفيات.
الآتي، إذا كان صحيحا، يمكن استخدامه كدليل لدعم استنتاج الخبير، إلا",من هذه 20 مستشفى، يعتمد 5 منها على التمويل الحكومي ل.importing عدد من الأجهزة الطبية المتقدمة الكبيرة والمستحضرة من الخارج،  ولا يعتمد أي من الباقي على ذلك.,في بعض المستشفيات، يؤدي إطالة بقاء المرضى في المستشفى إلى زيادة معدل الوفيات بين المرضى؛ وفي بعض المستشفيات، يقل معدل المرض عند مرضى الأوضاع النهائية الذين يتعرضون لعلاج غير فعال ويتخلصون من المستشفى.,من بين 20 مستشفى، هناك 2 مستشفى للشيوخ و 3 مستشفيات للأطفال.,من 20 مستشفى، 2 مستشفى علاج السرطان.,ا
"في مطعم، يتحدث طاولة عن الأعمال أثناء الأكل. من بينهم، ثلاثة من تشنجدو، ثلاثة من شنغهاي، واثنان فقط يشتغلون في مجال الإلكترونيات والميكانيكا. ثلاثة أشخاص يشتغلون أيضًا في مجال منتجات التجميل.
إذا كانت هذه النتيجة صحيحة، فإن النتيجة التالية أيضا صحيحة؟","يُمكن أن يكون من 3 أشخاص على الأقل، و 8 أشخاص على الأكثر. 
",قد تكون الأقلية 5 أشخاصاً، والاكثرية 8 أشخاصاً.,قد تكون الأقلية 5 أشخاصاً ، و قد تكون الأغلبية 9 أشخاصاً.,"يُمكن أن يكون من 3 أشخاص على الأقل، و من 9 أشخاص على الأكثر. 
",ب
"أصدرت معلمة ونج criticize Xiao Li لقلقها قائلة: ""لماذا تأخرت عن الدروس الرياضية؟""
إذا كانت النتيجة السابقة صحيحة، فإن النتيجة التالية أيضا صحيحة؟",شيو لي كان متأخراً من الفصل.,لم يلتزم أحد في المدرسة بالاضافة على الانضباط في الفصل.,ليو شاوء لا يحب الفصل الرياضي.,زمن فترة الرياضيات واضح.,ج
"إذا كانت المنظمة التي تنتخب فريق القيادة تطبق مثل هذه القاعدة: إذا كان هناك أكثر من مرشح، فيجب على المرشح الموافقة على الترشيح، و قبل التعبير عن موافقته، يجب أن يُبلغ عن من هو المرشح، 
إذا كانت الاستنتاج السابق صحيحًا، فإن ما يلي هو صحيح أيضًا؟",لا يجوز ترشيح أي مرشح,لا يتم تنفيذ هذه القاعدة.  لا يزيد من المرشحين المسموحين بالترشيح عن واحد.,يوجد في الأغلب مرشح واحد فقط.,لا يُفضل أن يكون عدد المرشحين المُختارين أكبر من عدم تطبيق هذه القاعدة.,ب
"سأل سiao زهانغ سiao لي أن يذهب إلى السوق في اليوم التالي، وقال سiao لي: ""إذا لم يهطل المطر غدًا، سأذهب لركوب الصخور."" في اليوم التالي، كان هناك مطر خفيف في العالم. فكرت سiao زهانغ أن سiao لي لن يذهب لركوب الصخور. ذهب إلى غرفة سiao لي للبحث عنه. من يعرف أن سiao لي كان لا يزال يزور الجبال. عندما التقيا مرة أخرى، اتهمت سiao زهانغ سiao لي بتناول الكلمات. إذا هطلت الأمطار، لماذا ذهب إلى الصخرة؟ قال سiao لي أن لا يأكل الكلمات، وإن كان من غير المنطقي للرأي من سiao زهانغ. 

للمناقشة بينهم، ما يلي هو مناسب؟",هذا النزاع بين肖 زهنجي و肖 لي غير ذي معنى.,حسابة Zhang's inference هي غير منطقية.,"يتفاوت فهم الشخصين الآخرين لظاهرة المطر الرفيع. 
 لا يتفقان في فهمهم لظاهرة المطر الرفيع.",كان هذا المجادلة نتيجة كلمات شاو لى.,ب
"يوجد ثلاثة أنواع من الروبوتات في مختبر. نوع أ يمكنه التعرف على الألوان، و نوع ب يمكنه التعرف على الشكل، و نوع ج لا يمكنه التعرف على أي من الألوان أو الشكل. استخدم المختبر الروبوتين رقم 1 و 2 باستخدام كرة حمراء، كرة سلة حمراء، مربع أحمر، و مربع أزرق، و أمرهم بالمسح الكرة الحمراء، لكن الروبوت رقم 1 مسح المربع الأحمر، و الروبوت رقم 2 مسح الكرة السلة. 
حسناً، من التجربة السابقة، ما يلي يجب أن يكون صحيحاً؟","يجب أن يكون رقم 1 و رقم 2 من النوع C 
","لا يجب أن يكون رقم 1 و رقم 2 من النوع C 
",لا.1 هو أ و لا.2 هو نوع ب.,لا رقم 1 هو ب و لا رقم 2 هو نوع أ.,د
"سيذهب الطلاب إلى الفصل الدراسي بعد فترة التربية البدنية،  15 شخصا شربوا ماء نقى من جهاز الماء المياه،  5 منهم تطورت لديهم الإسهال بسرعة.  تم إرسال الماء النقى من الصنبور الفوري للفحص،  ونتائج الفحص لم تكن واضحة أن هناك مواد مضرّة تسببت في الإسهال.  لذلك،  الشرب من ماء الصنبور النقى ليس السبب في الإسهال.
إذا كانت النتائج أعلاه صحيحة،  فمن التقييمات التالية التي هي أكثر التقييمات ملاءمة للنقاش السابق؟",حجة الموضوع صالحة.,يوجد فجوة في الحجة حول الموضوع، لأنها لا تأخذ في الاعتبار حقيقة أخرى؟ أولئك الذين لم يشربوا الماء النقي من الصنبور لم يسببوا الإسهال.,"يوجد فجوة في حجج المشتق، لأنها تعتبر عدم وجود أدلة على وجود حالة معينة كدليل كافٍ على عدم وجود حالة معينة. 
 لأنها تعتبر عدم وجود أدلة على وجود حالة معينة كدليل كافٍ على عدم وجود حالة معينة.",لا يوجد صحة في الحجة حول الجذع، لأنها لا تستخدم حجة قوية؟ لماذا يشرب الناس أكثر من الماء النقي في الصنبور دون أن يسببوا الإسهال.,س
"ذهب دان دان، شيو ينج، و شوزين للمشاركة في منافسات الأولمبياد. هناك ثلاثة أنواع من الأولمبياد في الرياضيات والفيزياء والكيمياء. جيانغو، شياو جيه، و دانيال سجلوا التالي: جيانغو؟ شاركت دان دان في منافسات الرياضيات، و شاركت شياو ينج في منافسات الفيزياء. شياو جيه؟ لم تشارك شوزين في منافسات الفيزياء، و شاركت شياو ينج في منافسات الرياضيات. دانيال؟ لم تشارك دان دان في منافسات الرياضيات، و شاركت شياو ينج في منافسات الكيمياء.
إذا كانت نظرياتهم صحيحة نصف الوقت، فمن الصحيح من ما يلي؟",داني دان، شيو يينغ و شوزين participated في مسابقات الرياضيات والفيزياء والكيمياء على التوالي.,داني دان، شيو يينغ و شوزين شاركوا في مسابقات الفيزياء والرياضيات والكيمياء على التوالي.,داني دان، شيو يينغ و شوزين شاركوا في مسابقات الرياضيات و الكيمياء و الفيزياء على التوالي.,داني دان، شيو يينغ و شوزين participated في مسابقات الكيمياء والفيزياء والرياضيات على التوالي.,د
"سوف يكون هناك 4 مشاريع في الرياضات المدرسية للجري والثقافة، 100م، 200م، 400م و 800م. في الفصل الثاني، شارك ثلاثة أولاد، جيانغو، شياوجيه، دانيال، و ثلاث بنات، داندان، شياوينغ، وشوزين. سوف يكون هناك قواعد رياضية twو، (1) يجب أن يكون لكل مشروع حضور من الرجال والنساء في نفس الوقت أو لا. (2) يمكن لكل شخص المشاركة في مشروع واحد فقط. 
إذا شارك جيانغو في 100م أو 200م، شارك دانيال في 400م، وشاركت داندان في 800م، فمن الأشياء التالية التي يجب أن تكون صحيحة؟",شاركت شاوجيه في 800م.,شارك جيانغو في 100م.,شاركت شياوينغ في 200م.,شاركت شوزHEN في 400م.,ا
"في فريق كرة السلة، يعتبر سميث أطول من دانيال، وبيرس shorter من هاري، لذلك سميث أطول من بيرس. 
الآثار التالية أضاف إلى مبدأ الجذع كأدلة جديدة. 
إلا واحد، يمكن إثبات استدلال الجذع.
ماذا لا يجعل هذا الاستدلال صحيحا؟",سميث يبلغ نفس طول هاري.,يبلغ دانيال نفس طول هاري.,يُعتبر دانيال أطول من هاري.,هاري أطول من دانيال.,د
"إذا اشتريت كمبيوتر لينوفو في عام 2002، يجب أن قمت بتثبيت نظام التشغيل ويندوز إكس بي.
يمكن استنتاج هذا الاستنتاج من哪 من الخيارات التالية.",تتم تثبيت نظام التشغيل ويندوز إكس بي فقط على الحواسيب اللينوفو التي تم شراؤها في عام 2002.,كان جميع أجهزة لينوفو المتاحة في السوق في عام 2002 مصنعة في عام 2001.,لم تكن أجهزة لينوفو المتاحة في السوق قبل عام 2002 تثبت نظام التشغيل ويندوز إكس بي.,كان جميع الحواسيب المتاحة في السوق في عام 2002 مصنعة مع نظام تشغيل ويندوز إكس بي.,د
"تظهر الإحصائيات أن نسبة الأشخاص الذين توفي بسبب مرض الرئة في أريزونا أكبر من ذلك في الولايات الأخرى، بسبب أن مناخ أريزونا أكثر احتمالًا لإصابة المرضى بالرئة.
أي من الخيارات التالية يرفض هذا الحجة بشكل أفضل؟","المناخ هو عامل واحد فقط يسبب مرض الرئة. 
 المسببات الأخرى تشمل التلوث الجوي والتعرض للسموم.",تعتبر مناخ أريزونا مناسبًا لمرض الرئة، وينتقل الناس الذين يعانون من مرض الرئة إلى هذا الولاية.,يعيش الأمريكيون عادةً في مكان واحد طوال حياتهم.,لا توجد أدلة على أن المناخ له تأثير على الأمراض الرئوية.,ب
"لدى المدينة صنعتان أساسيتان، الصناعة اليدوية التقليدية والسياحة. سوف يؤدي تطوير الصناعة اليدوية التقليدية إلى تلوث، مما يدمر البيئة الإيكولوجية. ولكن البيئة الإيكولوجية الصحية هي شرط ضروري لتنمية السياحة.
ما الذي يمكن استخلاصه من الاستنتاج السابق؟",يجب على الحكومة المحلية أن تعزز بشدة حماية البيئة الإيكولوجية.,لا يمكن لهذه المدينة أن تطور الصناعات اليدوية التقليدية والسياحة في نفس الوقت.,"يجب استبدال الصناعات التقليدية والسياحة بالصناعات الأخرى. 
 يجب تحويل الاقتصاد من الاقتصاد القائم على الموارد الطبيعية إلى الاقتصاد القائم على المعرفة.",تعتمد الدخل الاقتصادي لهذه المدينة بشكل أساسي على الصناعات اليدوية التقليدية.,ب
"يُحِبّ أَهل مدينة اس كثيرا شرباً وغالبا ما يواجهون صعوبة في شرب الخمر، مما يؤثر على بيئة الأمن في مدينة اس.  من أجل تحسين بيئة الأمن العامة في المدينة، قررت حكومة المدينة خفض إنتاج الأشربة المنتجة في مدينة اس.
من بين الخيارات التالية، أي سؤال يمكن أن يُثبت أفضل أن قرار الحكومة المحلية كان خاطئا؟
إن معظم الأشربة المتوفرة في سوق مدينة اس تأتي من مدن أخرى.
تأتي الأجور الاقتصادية لمدينة اس بشكل رئيسي من إنتاج الأشربة.","لا يزال البيئة الأمنية لمدينة اس تتعرض لآثار المخدرات والعنف والفوضى، ولكنها ليست الأسباب الوحيدة التي تؤثر على البيئة الأمنية للمدينة. 
 الإرهاب والارهابيين هما من أهم العوامل التي تهدد الأمن في المدينة.",يُعتبر بعض الأشخاص الذين يشربون الكحول بدرجة منخفضة يُشربون أيضًا ويُسببون مشاكل.,,,س
"قال لي قيانغ؟ ""أعرف 100 شخصًا. لا أحد من الناس الذين أعرفهم غير موظف، لذلك يجب أن تكون نسبة البطالة في الصين منخفضة جدًا.""

ما الذي يرفض أفضل من التفكير لي قيانغ؟",يوجد أطفال بين الناس الذين يعرفهم لي تشيانغ.,حسناً  rate  العجز في المدينة التي تقع فيها لي تشيانغ مختلف عن المدن الأخرى.,بسبب وجود السكان المتحركين، صعب حساب نسبة البطالة.,معظم ما يعرفه الناس عن لي تشيانغ هو زملائه في الوحدة.,د
"لتحسين جودة الطلاب، تقدم المدرسة دورةً اختياريةً في الفنون والعلوم. يظهر الإحصاء أن بعض الطلاب قد أخذوا جميع الدورات الإلزامية في الفنون الحرة، و أن بعض الطلاب قد أخذوا جميع الدورات الإلزامية في العلوم.
فمن ما يلزم أن يكون صحيحًا؟",تلك بعض الطلاب الذين أخذوا جميع الدورات الإلزامية.,يحتوي كل مقرر اختياري على مقررات اختيارية للطلاب.,يوجد دورة اختيارية واحدة، ويتعين على أكثر من طالب اختيارها.,يختار بعض الناس فقط الدورات الإلزامية في قسم الصيانة.,ب
"من يعتقد أن مثل هذا السبب صحيح؟ أعمال لو شون لا يمكن قراءتها في يوم واحد، ""التنين شوجو"" عمل لو شون، لذلك ""التنين شوجو"" لا يمكن قراءته في يوم واحد.
من بين الخيارات التالية، أي شيء صحيح؟",هذا التفسير صحيح.,هذا التوجيه خاطئ لأن أحد فروضه خاطئ.,هذا التوجيه خاطئ لأن نهايته خاطئة.,"كان هذا السبب خاطئا لأنّه أوجد ""أربع أخطاء مفهومية"".",د
"تجود الأطعمة المعدلة جينياً على المخاطر الجانبية، لكن البذرة المعدلة جينياً من فول الصويا تحتوي على عناصر تؤثر إيجابياً على صحة الإنسان. يوصي الخبراء بأن الناس يستهلكوا المنتجات المعالجة من هذا النوع من البذرة.
ما الذي يدعم اقتراح الخبراء؟",سوف تقلّ آثار الجانبية للغذاء المعدّل وراثيًا المعالَج.,لا يمكن الحصول على العناصر الغذائية هذه من أي أطعمة أخرى.,لا توجد أدلة على أن الأغذية المعدلة جينيا من جينماكس ستسبب أي آثار جانبية.,من الفوائد لهذا العنصر المعدني للصحة البشرية أكبر من الأضرار الناجمة عن آثار الأغذية المعدلة جينيا.,د
"في النقاش حول ما إذا كان الموظفون الحكوميون يجب أن يimplement نظام الإلغاء النهائي،  هو argument Zhang Hong  هو أن implementation  نظام الإلغاء النهائي يمكن أن encourages الناس للعمل بفعالية، مما يؤدي إلى improvement  كفاءة المنظمة. Jin Jing's  view  هي؟ السؤال هو ما إذا كان الموظف الحكومي يجب أن يeliminated بعد أن أنهى عمله. بعد بعض الوكالات حاولت تجربة نظام الإلغاء النهائي،  realmente  improved  كفاءة عملهم. 




من بين الخيارات التالية،  التي most Appropriately  evaluates  تأثير هذا الحقيقة على الآراء التي تتمتع بها  الزوجين؟",لا أحد منهم تم إصابته.,تngthenت فقط آراء تشانغ هونغ.,تتعزز كلتا الرؤيتين.,تزيد من قوة نظرية جين جين فقط.,ب
"لا يذهب الشاحنة على الطريق إلا بعد الساعة 8 مساء. لا يصعد السائقون الذين يشربون الكحول ويحملون سياراتهم. لا سيارة سريعة. لن يذهب الفان على الطريق بعد الساعة 8 مساء.都会 تشعل جميع السيارات التي تذهب على الطريق بعد الساعة 8 مساء. بعض المركبات العسكرية تذهب على الطريق بعد الساعة 8 مساء.
إذا كانت المقولات السابقة صحيحة، فمن الأشياء التالية التي لا يمكن أن تكون ممكنة؟",سائق الفان مشروع.,تجري السيارة الميني بي إم بضوابط مضاءة.,سلك السائق سكراً واضطرب في السيارة إلى الشاحنة.,سائق مركبة عسكرية يشرب الخمر ويحمل السائق.,س
"لا? ""أنا رأيتَهُ كثيرًا يمشي مع أطفاله مؤخرًا."" ب? ""فإنه هو أب بالفعل."" 
مبدأ منطقي لمناقشة ب هو؟",يجب على جميع الأباء أن يأخذوا أطفالهم للاستمتاع بالمشي.,أصبح بعض الأشخاص الذين يأخذون الأطفال للاستمتاع بالمشي آباء.,"من يأخذ الأطفال للاستمتاع بهم عادة هم الآباء. 
",لا يمكن للأشخاص الذين ليسوا آباءً أخذ أطفالهم للواحدة.,د
