input,golds,options,preds,probs
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: لا تستخدم مساحات الزجاج الا اذا كان الزجاج مبلل للحفاظ على المساحات بالسيارة
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.180183 0.819817]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب على قائد السيارة عدم التحدث الى الركاب
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.13012028 0.86987966]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: النور المبهر يؤدي الى صعوبة القيادة لقائدي السيارات المقابلة لك فقط
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.09677812 0.90322185]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجوز لسائق السيارة استخدام الانوار المبهرة ليلًا
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.12557888 0.8744211 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب الوقوف قبل عبور المزلقان للتاكد من عدم اقتراب اية مركبة تسير على السكك الحديدية
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.13919881 0.8608012 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يكون لك الاولوية في تخطي السيارة التي امامك بالرغم من وجود سيارة خلفك شرعت في تخطي سيارتك نظرًا لأنك تسبقه في السير.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.17685948 0.82314044]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: عند القيادة بالمطر يجب الالتزام بالسرعة القانونية.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.10123678 0.8987632 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: في حالة القيادة في الشبوره المائية يجب مضاعفة مسافة الأمان بين سيارتك والسيارة التي أمامك
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.0615156 0.9384844]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب ان يكون توقف المركبة على بعد لا يقل عن خمسة أمتار من مداخل الميادين ومفارق الطرق ومحطات النقل العام...
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.10395623 0.8960438 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: لا يجوز ترك المركبة وبها مفتاح إدارتها.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.10255776 0.8974422 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: لا يجوز أن يكون المنبه الصوتي متعدد النغمات.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.07940754 0.9205925 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: أولوية المرور في تقاطعات الطرق للمركبات التي دخلت فعلاً في تقاطع الطرق دون غيرها من المركبات التي لم تدخل التقاطع.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.13682236 0.86317766]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يمكن التوقف أو الانتظار على نهر الطريق بجوار مركبة أخرى متوقفة أو منتظرة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.14615531 0.85384464]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: على قائد المركبة عند إجراء التخطي مراقبة الطريق الخلفي في المرآة المعاكسة للتأكد من عدم وجود أي سيارة أخرى خلفه أعطى قائدها تحذير يفيد رغبته بالتخطي.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.09535144 0.90464854]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجوز إجراء عملية التخطي في المنحنيات والمنعطفات والمرتفعات والمنحدرات.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.15645698 0.843543  ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: في حالة القيادة في الشبورة المائية ضرورة الالتزام بالجانب الأيسر من نهر الطريق.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.05479459 0.9452054 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: استخدام الفرامل أثناء المطر يؤدي إلى إيقاف السيارة في مسافة أكبر مما لو كان الطريق جاف.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.15031362 0.8496864 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: للقيادة في المطر يجب مضاعفة مسافة الأمان الأمامية والجانبية.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.13689062 0.86310935]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يستخدم ضوء الضباب عند وجود شبورة ليلًا أو نهارًا في حال تدني مستوى الرؤية فقط.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.12763119 0.8723688 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: دورة الزيت من العوامل الهامة لتبريد المحرك.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.17186677 0.8281332 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: لا يجوز ترك محرك المركبة يعمل بدون مبرر.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.16321842 0.83678156]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب أن يكون توقف المركبة على بعد لا يقل عن خمسة أمتار من مداخل الميادين ومفارق الطرق ومحطات النقل العام.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.08941274 0.9105872 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يمكن استعمال زيت المحرك بدلا من زيت الفرامل والعكس.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.23494482 0.7650552 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: حدوث ضعف في قدرة المحرك يكون أحد أسبابه السداد بماسورة العادم (الشكمان).
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.06014192 0.939858  ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: على قائد المركبة الذي وقع منه حادث نشأ عنه إصابة شخص أن يهتم بأمر المصابين وأن يخطر أقرب رجل مرور أو شرطة أو إسعاف.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.11406267 0.8859373 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يكون أولوية المرور في تقاطعات الطرق للمركبات ودراجات الركوب دون مركبات النقل البطىء.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.18294312 0.8170569 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: عند انفجار إطار سيارة أثناء السير يجب عدم الضغط على الفرامل فجأة والتشبث بمقود القيادة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.15980132 0.84019864]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: في حالة عطل الفرامل يمكن البحث عن شيء تصطدم به جانبيًّا مثل (بلدورة الطريق - حائط جانبي). التلفيات في جسم السيارة يمكن إصلاحها.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.16151735 0.8384826 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يكون الحد الأقصى لسرعة المركبات الملاكي والنصف نقل داخل المدينة 60 كلم/ساعة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.09710941 0.90289056]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجوز أن تتخطى سيارة سيارة أخرى في الأحوال الجوية التي يتعذر فيها الرؤية الآمنة
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.16574432 0.8342557 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: عند ارتفاع درجة حرارة مياه المحرك فجأة يكون أحد الاحتمالات نقص مستوى مياه التبريد.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.0903764 0.9096236]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يسمح باستعمال أنواع أجهزة التنبيه الصوتية والضوئية التي يقتصر استخدامها على مركبات الطوارئ على جميع أنواع المركبات.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.15034272 0.84965724]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب عدم تخطي السيارة التي أمامك إذا كانت حالة الطريق لا تسمح بالتخطي.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.21302395 0.7869761 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب في حالة مقابلتك لمركبة اخرى قادمة في الطريق المقابل وكانت حالة الطريق غير آمنة أن تقوم بتهدئة السرعة أو أن تتوقف اذا لزم الأمر لإفساح الطريق المقابل.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.16041856 0.83958143]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يكون أولوية المرور في تقاطعات الطرق للمركبات المسيرة على الخطوط الحديدية دون غيرها من أنواع المركبات.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.16826192 0.8317381 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: وجود ثقب في توصيلات العادم (الشاكمان) ينتج عنه صوت عالي للسيارة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.0983766 0.9016234]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب في حال قيامك بالرجوع بالمركبة للخلف ألا يتجاوز الرجوع إلى خلف مسافة تعادل طول المركبة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.07547399 0.924526  ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: للقيادة في الضباب يجب استخدام النور العالي.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.10250474 0.89749527]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب على قائد السيارة عند إيقاف سيارته أثناء السير أن يترك مسافة بينه وبين السيارة التي أمامه.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.10630266 0.8936974 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجوز أن تتخطى سيارة سيارة أخرى في الأحوال الجوية التي يتعذر فيها الرؤية الآمنة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.13757433 0.8624256 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: الاستمرار في تشغيل بادي الحركة (المارش) بعد دوران المحرك يفيد المحرك.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.11153799 0.888462  ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يمكنك القيادة ليلًا باستخدام أنوار الانتظار فقط.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.08131149 0.9186885 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: في حالة القيادة في الشبورة يجب استخدام النور المنخفض في حال عدم وجود أنوار شبورة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.12138131 0.87861866]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب قراءة كتيّب السيارة لمعرفة نوع الاطارات للسيارة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.12871946 0.87128055]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: عند إضاءة مبين علامة البطارية أثناء السير بالسيارة فإن هذا يعني أن جهاز الشحن يعمل على الوجه الأمثل.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.13977838 0.8602216 ]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: في التصادمات العمومية فإن حزام الأمان يقي قائد السيارة ومن بجواره من القذف خارج السيارة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.11306262 0.88693744]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: وأنت تسير فوق منحنى خطر حدث عطل بالسيارة فماذا تفعل؟
أ- تعطي إشارة الإنتظار مع وضع إشارة تحذيرية قبل بداية المنحنى وتقف لمحاولة تصليح العطل
ب- تقوم بشد فرامل اليد
ج- أترك السيارة وأركب أي سيارة أخرى

إجابة: ",0,"['أ- تعطي إشارة الإنتظار مع وضع إشارة تحذيرية قبل بداية المنحنى وتقف لمحاولة تصليح العطل', 'ب- تقوم بشد فرامل اليد', 'ج- أترك السيارة وأركب أي سيارة أخرى']",ج,[0.13763528 0.4160742  0.44629052]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: أثناء قيادتك للسيارة اصطدمت بأحد المارة، فماذا تفعل؟
أ- أحاول اللحاق بميعادي طالما الإصابة سطحية
ب- أتصل بالإسعاف والانصراف من مكان الحادث سريعًا
ج- أحاول أخذه إلى أقرب مستشفى

إجابة: ",2,"['أ- أحاول اللحاق بميعادي طالما الإصابة سطحية', 'ب- أتصل بالإسعاف والانصراف من مكان الحادث سريعًا', 'ج- أحاول أخذه إلى أقرب مستشفى']",ب,[0.3009525  0.43013442 0.26891312]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب استخدام فرملة الموتور (الغيار العكس) في حال عطل الفرامل فجأة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.13251312 0.86748683]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجب أن يكون توقف المركبة ناحية اليمين وفي اتجاه حركة المرور.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.14473234 0.85526764]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: أقصى مدة يمكن أن تقود بها سيارتك 8 ساعات متصلة.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.07822141 0.92177856]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: يجوز تركيب أية قياسات من الإطارات حسبما يليق مع شكل السيارة حتى ولو لم يكن القياس الأصلي.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",1,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.07721684 0.92278314]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: عند رفع السيارة بالكوريك يلزم وضع حجر خلف عجلة من الجانب المقابل للرفع.
أ- العبارة صحيحة
ب- العبارة خاطئة

إجابة: ",0,"['أ- العبارة صحيحة', 'ب- العبارة خاطئة']",ب,[0.09828984 0.90171015]
"هذا سؤال اختبار القيادة في مصر. اختر الإجابة الصحيحة!

سؤال: أثناء قيادتك ومعك مريض تحاول إنقاذه، لاحظت أن الإشارة صفراء. ماذا تفعل؟
أ- تنتظر حتى تصبح الإشارة خضراء
ب- التوقف وإبلاغ شرطي المرور بوجود مريض
ج- تتابع السير

إجابة: ",1,"['أ- تنتظر حتى تصبح الإشارة خضراء', 'ب- التوقف وإبلاغ شرطي المرور بوجود مريض', 'ج- تتابع السير']",ب,[0.06352416 0.48273867 0.45373717]
