obs1,obs2,hyp1,hyp2,gold_label_original,gold_label_letter,predicted_label_letter,is_correct,llm_raw_response
كان تيم من الكشافة، وكان يذهب في العديد من رحلات التخييم مع أصدقائه.,في النهاية، كان على تيم العودة إلى المنزل دون أي جوارب.,مرض تيم بشدة ذات يوم.,لم يستطع تيم العثور على جواربه.,2,ب,ب,True,ب
في يوم من الأيام اشترى آدم بندقيتين من نوع بي بي.,أخذ آدم البندقية من كريستيان.,كان شقيق آدم، كريستيان، خائفًا من البنادق.,امسك كريستيان بالبندقية وأطلق النار على عين آدم.,2,ب,ب,True,ب
صديقي صياد.,لم يكن الأيّل في أي مكان ليُرى.,نصبت كمينا صيّادا في الغابة.,صديقتي التي هي صيادة وجدت الكثير من الأيائل.,1,أ,ب,False,ب
دخلت إلى صفي في الرياضيات.,انتهى بي الأمر بالرسوب.,رأيت الخيط بجانب الباب.,لم أدرس للاختبار.,2,ب,ب,True,ب
في عام 1989، بدأت شركتنا في استخدام أجهزة الكمبيوتر الشخصية.,عندما حصلت على جهاز الكمبيوتر الخاص بها لاحقًا، لم تكن تعرف كيفية استخدامه.,اشترينا لجدة المالك جهاز كمبيوتر جديد.,مؤسستنا راشيل تستخدم فقط الكمبيوتر الشخصي.,1,أ,ب,False,ب
ماري لا تحب الجو البارد.,على الأقل حتى تتمكن من تحمل تكاليف الانتقال إلى ولاية أكثر دفئًا.,ماري ترتدي سترتين.,يبدو أن الجو البارد توقف لمدة شهرين.,1,أ,ب,False,ب
كانت إيمي وصديقاتها في الخارج في الساعة 3 صباحًا.,بقوا هناك يتنفسون بصعوبة، ويدعون ألا يكونوا قد رُصدوا.,بدأوا في أن يتبعهم شرطي، فركضوا، واختبأوا خلف مبنى.,قرروا اقتحام ملعب كرة القدم. وعندما رأوا فجأة مصباح يدوي يتجه نحوهم. بدأوا جميعًا في الركض نحو مدرجات الملعب.,2,ب,ب,True,ب
والدا بوب عاقبوه.,عاد إلى المنزل لكن والديه لم يعرفا حتى أنه غادر.,تم القبض على بوب أثناء تسلله للخروج.,نجا بوب من العقاب لتسلله للخروج.,2,ب,ب,True,ب
عملت إيمي في مستودع مارشالز.,قررت إيمي أن تدفع نفسها لتحقيق حصتها الجديدة.,فازت إيمي بجائزة لما أنجزته من عمل ومُنحت نفس الحصة.,قال رئيس إيمي إنها بحاجة إلى بذل المزيد.,2,ب,ب,True,ب
كان جيسون دائمًا معجبًا بالحركات السريعة للملاكمين الذين يراهم على التلفزيون.,فاز بمعركته الأولى بالضربة القاضية.,لم يترك إلهامه يضيع ، لقد تدرب و تدرب.,تعلم جيسون الحياكة.,1,أ,ب,False,ب
حاولت إيرين تعلم الرسم.,لذلك انضمت إلى فصل تعليمي للرسم.,مارست إيرين الرسم في المنزل ولكن دون جدوى.,مارست إيرين الرسم في المنزل وأصبحت معروفة لموهبتها.,1,أ,ب,False,ب
قرر جون سرقة سيارة شرطة.,ذهب جون إلى السجن لمدة ثلاث سنوات.,صدم جون سيارة الشرطة في عمود هاتف.,لم يتم القبض على جون.,1,أ,ب,False,ب
كنت أؤجل الدراسة.,الآن، أنا لا أؤجل الدراسة أبدًا.,لقد رسبت في اختبار كبير.,بعد حصولي على درجة جيدة، تعلمت درسًا سهلاً.,1,أ,ب,False,ب
كان يعقوب يكره الذهاب إلى المدرسة سيرًا على الأقدام.,تمكن يعقوب من شراء شاحنة مستعملة لنفسه بعد ٥ أشهر من الادخار.,قرر يعقوب شراء سيارة لنفسه.,لم يكن يعقوب قادرًا على تحمل تكاليف سيارة.,1,أ,ب,False,ب
ذهب روي إلى المتنزه لمشاهدة بيسبول ليتل ليغ.,عانى الفريق الزائر من مشاكل في الأداء نتيجة لذلك.,صرخ على اللاعبين عند كل ضربة رمية.,جعل روي الفريق الآخر غير مرتاح.,2,ب,ب,True,ب
بدأ ستان يشعر بالمرض في المدرسة ذات يوم.,تعافى ستان في النهاية لكنه قال إنه يريد أخذ حقنة الأنفلونزا من الآن فصاعدًا.,غاب ستان عن المدرسة لمدة أسبوع بسبب ألم المعدة.,أرسلت ممرضة المدرسة ستان إلى المنزل من المدرسة.,2,ب,ب,True,ب
كانت ليزا وتيم متزوجين منذ فترة طويلة.,نجح الأمر.,ذهبت ليزا وتيم إلى عيادة الخصوبة لكي تحمل ليزا.,قرروا تجربة النصيحة المقدمة في كتاب عن العزف على الجيتار.,1,أ,ب,False,ب
آدم يحب أكل السندوتشات عندما يشرب.,خنق آدم نفسه حتى الموت لأنه نسي إزالة غلاف الجبن.,صنع آدم لنفسه ساندويتش باستخدام الخبز والديك الرومي وشريحة من الجبن الأمريكي.,صنع آدم لنفسه ساندويتش زبدة الفول السوداني والمربى.,1,أ,ب,False,ب
كان توم يرسم سياجه.,ترك توم سياجه نصف مرسوم.,شعر توم بالتعب من الرسم بعد أن انتهى.,سمع توم أن هناك مباراة وغادر.,2,ب,ب,True,ب
قررت إيمي الانتقال من ويسكونسن إلى فلوريدا.,ومع ذلك، لم تكن التجربة ممتعة بدون أصدقائها.,ستكون مع أصدقائها هناك.,أرادت إيمي العيش بجانب الشاطئ.,2,ب,ب,True,ب
أراد روجر أن يلعب التنس كما لعب روجر فيدرير.,لم يخبر أحد روجر قط أن كل كراته لم تسقط قط داخل الملعب.,نام روجر متأخرا وتسكع معظم اليوم.,حاول روجر لكنه لم يكن جيدًا مثل قدوته.,2,ب,ب,True,ب
كانت لجولي زميلة عمل اسمه باري كان يحب إثارة المتاعب للآخرين.,كانت جولي محرجة للغاية.,لم يخبر باري أحداً أن جولي أطلقت ضرطة.,ضحك باري من سحاب جولي المفتوح.,2,ب,ب,True,ب
قرر بوب أن يتسلق الجبال في غابات إندونيسيا المطيرة.,نسي بوب أيضًا أحذيته.,توقف بوب في منتصف رحلته لأنه لم يكن لديه رذاذ حشرات.,توقف بوب في منتصف رحلته ليربط حذائه.,1,أ,ب,False,ب
جمعت لوسي كل أصدقائها في حفلة بيتزا.,عندما تمت البيتزا ، ذاقوها وكانت لذيذة.,قررت لوسي صنع البيتزا في المنزل.,بدأت لوسي في طلب البيتزا.,1,أ,ب,False,ب
كان يومًا عاصفًا جدًا.,تمنى جيم لو لم يخرج مرتديًا قبعته الجديدة.,وجد جيم قبعته الجديدة في عاصفة.,طارت قبعة جيم بعيدًا في الريح.,2,ب,ب,True,ب
ذهب تريفور إلى البحيرة ذات يوم ليصطاد.,أُجبر تريفور على العودة إلى المنزل بعد أن فقد عصاه.,كانت المياه مثالية لجميع مستويات الصيد.,كانت المياه تخرج الأعمدة.,1,أ,ب,False,ب
كانت أختي تسكن في الطابق العلوي من شقة عالية.,أدركت أنني كنت خائفا من مثل هذه الارتفاعات الهائلة وأنني فقدت الوعي.,ذهبت لزيارتها وخطوت خارجا إلى شرفة شقتها ذات المنظر الرائع.,نظرتُ إلى الأسفل من شرفتها لأرى الغيوم.,1,أ,ب,False,ب
كانت أليستير تمارس الرماية معها بقوسها.,انتهى بها الأمر بالنزول مباشرة والهبوط على قدم المدرب.,كانت أليستير مبتدئة في استخدام القوس.,كانت أليستير محترفة في استخدام القوس.,1,أ,ب,False,ب
كان بيلي سيقوم باستضافة رئيسه على العشاء.,كان لا يزال يفرغ عندما وصل رئيسه.,لعب بيلي الألعاب ونسي التنظيف حتى الساعة 5 مساءً.,عاد بيلي إلى المنزل من العمل مبكرا.,1,أ,ب,False,ب
كانت مايا تسير على طول النهر، تبحث عن الضفادع.,لحسن الحظ، تمكنت من النهوض والمشي إلى المنزل بأمان.,انتهى بها الأمر بالسقوط في النهر.,انزلقت مايا على بعض الصخور وكسرت ظهرها.,1,أ,ب,False,ب
كانت سوزان تحضر حساء.,فعلت قصارى جهدها لقطع الأجزاء السيئة.,كان عليها أن تضيف بعض المرق.,كان عليها أن تضيف بعض الدجاج.,2,ب,ب,True,ب
كانت لولو تشعر بقلق بالغ مؤخرًا.,ولكنها كانت مستعدة لإرسالها لأن المدرسة كانت ممتازة.,كانت ابنة لولو على وشك الذهاب إلى المدرسة لأول مرة.,كانت والدة لولو تفكر في إرسالها إلى منزل جديد على الرغم من اعتراضاتها.,1,أ,ب,False,ب
أردت إنشاء لعبة فيديو.,في الواقع، كانت جافا رهيبة لبرمجة ألعاب الفيديو.,برمجت بلغة جافا من أجل لعبة الروبوت.,برمجت بلغة جافا من أجل لعبة الروبوت لأنها كانت سهلة.,1,أ,ب,False,ب
تزوج صديقي المقرب وانتقل إلى هاواي.,احتفَلنا لعدة أيام وغادرت إلى المنزل في نهاية الأسبوع.,زارني صديقي المقرب في إجازة.,ذهبت معها للاحتفال.,2,ب,ب,True,ب
ذهب توم إلى متجر إلكترونيات لشراء سماعات رأس.,قرر توم دائمًا شراء سماعات رأس أكثر تكلفة.,كان توم من النخبة.,اشترى توم سماعات باهظة الثمن لكنها تعطلت على الفور.,1,أ,ب,False,ب
كايا احتاجت لشراء فستان جديد لحفلة الربيع الرسمية القادمة.,لم تستطع المقاومة، لذلك اشترت المزهرية العتيقة.,في المتجر، رأت كايا مزهرية جميلة جدًا.,لم تستطع كايا العثور على شيء واحد في المتجر،.,1,أ,ب,False,ب
عاد سام إلى المنزل ليجد الماء منتشرًا في جميع أنحاء أرضية مطبخه.,قام سام بإعادة تخزين ثلاجته الجديدة بكل طعامه المفضل.,وضع سام منشفة تحت الثلاجة المسربة.,تعطلت غسالة أطباق سام وكانت تتسرب.,2,ب,ب,True,ب
كانت آنا تعاني من صداع شديد.,لحسن الحظ، عندما استيقظت، اختفى الصداع.,أخذت آنا بضع أسبرين واستلقت وأخذت قيلولة.,ذهبت إلى حفل موسيقي للتخلص منه.,1,أ,ب,False,ب
الليلة الماضية حلمت بحلم عن ركوب الدراجات.,استيقظت، وكنت مخيبًا للأمل بشدة.,كان حلمي حقيقيًا جدًا وكنت في جولة ممتعة على الدراجة.,لدي دراجة في الواقع.,1,أ,ب,False,ب
بدأ الوقت يتأخر في الخارج.,أمر والداها بحبسها لمدة أسبوع لكونها متأخرة.,نسيت الوقت وكانت في البيت متأخرة.,كان من المفترض أن تكون في المنزل بعد ساعة من وصولها.,1,أ,ب,False,ب
أرادت كيم شراء سيارة.,تم تعيين كيم في وظيفة وادخرت ما يكفي من المال لسيارتها.,كانت كيم بحاجة إلى مال أكثر مما يمكنها الحصول عليه.,تقدمت كيم لوظائف لكسب المال.,2,ب,ب,True,ب
كان جو متأخرا للمدرسة.,تناول جو فطورًا صحيًا ولذيذًا من التفاح والموز!,كان لدى جو الكثير من الوقت لطهي شيء ما.,لم يكن لدى جو الوقت لطهي شيء ما.,2,ب,ب,True,ب
تيم كان بحاجة إلى فاكهة ليأكلها.,أخيرًا، وجد بعض العنب الطازج ليأكله.,ذهب إلى السوبر ماركت القريب.,تيم بحث لفترة طويلة في الثلاجة الفوضوية.,2,ب,ب,True,ب
أم جينا كانت قد أخذت شريط راب من أطفالها.,وقف مبتسمًا بينما كان شريطه يُكسر.,كان شريط الراب قاسيًا ووقحًا.,جينا تأخذ شريطهم الجديد.,1,أ,ب,False,ب
كلي تحب أكل الحلويات الحلوة.,أكلنا جميعًا صنداي البراوني للتحلية.,طلبنا حلوى سيحبها الجميع.,طلبنا مقبلات سيحبها الجميع.,1,أ,ب,False,ب
كانت أورا تعاني من زيادة الوزن دائمًا.,بمساعدتهم ، فقدت أورا أكثر من عشرين رطلاً!,قررت أورا أن تأكل بشكل صحي لمدة شهر.,قررت أورا أنها تريد الحفاظ على وزنها.,1,أ,ب,False,ب
قررت بريا تجربة مطعم جديد.,ظنت بريا أن طعامها لذيذ.,طلبت طبقين من الروبيان.,الطعام الذي طلبته بريا تم تسخينه في الميكروويف وكان مطبوخًا مسبقًا.,1,أ,ب,False,ب
كانت جيمي وكانديس ستذهبان في موعد.,أخيرًا ، استقروا على الآيس كريم!,لم يعرف جيمي وكانديس أي فيلم يشاهدانه.,لم يستطع جيمي وكانديس أن يقررا ماذا سيفعلان.,2,ب,ب,True,ب
شعر سكوت بزيادة في السعادة في آخر بضع سنين في نيويورك.,عند قيادته خارج نيويورك، يشعر سكوت بالارتياح والحنين للماضي في نفس الوقت.,وجد سكوت وظيفة في نيويورك.,الروتين اليومي، وحركة المرور الكثيفة وسكان المدينة الوقحين جعلوا سكوت يتوق للحياة في بلدة صغيرة.,2,ب,ب,True,ب
ذهبت إلى المتجر ذات يوم لشراء ملابس.,ذهبت إلى المنزل وكانت الجينز ملائمة بشكل أفضل.,حصلت على مقاسات أكبر.,اشتريت الجينز على الرغم من أنها كانت باهظة الثمن قليلاً.,1,أ,ب,False,ب
كانت سام في موعد غرامي مع صديقها.,عندما سألها صديقها إذا كانت تريد أن يقضيا الوقت معًا، صرخت في وجهه.,صادفوا صديقة لطيفة لسام في طريقهم إلى العشاء.,ساء سير الموعد، لكنهم عادوا إلى المنزل في سلام.,1,أ,ب,False,ب
بام تجري استبيانات يوميًا لمحاولة الفوز بالجوائز على Survey Monkey.,يبدو أن بام لم تكن تعتقد أن هناك أي شيء خاطئ في ذلك.,بذلت بام قصارى جهدها لتكون صادقة قدر الإمكان.,أضاعت بام الوقت في إجراء استبياناتها.,2,ب,ب,True,ب
كان لدى ليديا حلم غريب الليلة الماضية.,تمنت ليديا لو كان الحلم حقيقيًا.,في حلم ليديا، كانت فقيرة ووحيدة.,في حلم ليديا، كانت غنية ومشهورة.,2,ب,ب,True,ب
دعانا دافنا دائمًا لركوب دراجة.,كانوا يركبون معًا في غضون دقائق.,طلبت دانا من أحد الجيران أن تركب معها.,طلبت صديقتها من دانا أن تعلمها كيفية الركوب.,1,أ,ب,False,ب
أرادت كيلي تجربة لعب كرة القدم هذا العام.,احتفلت كيلي بالحصول على بيتزا.,تدربت كيلي لتجربة الانضمام لفريق كرة القدم لكنها لم تنجح.,تمكنت كيلي من الانضمام إلى الفريق.,2,ب,ب,True,ب
كان توم متحمسًا لاستخدام شوايته الغازية الجديدة.,تم تدمير كل من مرآب توم والشواية الخاصة به.,لم يتحقق توم من غاز الشواية.,لم يتحقق توم من سلامة الشواية.,2,ب,ب,True,ب
ذهب مارتن إلى المخيم مع أصدقائه.,صاد مارتن الكثير من السمك حتى يتمكن الجميع من الأكل.,ذهب أصدقاء مارتن للصيد بدون مارتن.,كان أفضل صياد سمك في المجموعة.,2,ب,ب,True,ب
كان سام متحمسًا لغسل سيارته.,كان قد نسي إغلاق النافذة في كل الإثارة.,بعد غسل السيارة لاحظ سام أن مقاعد سيارته كانت مبللة تمامًا.,قام بلف جميع نوافذه وبدأ في أحلام اليقظة حول مدى جمال سيارته بعد الغسيل.,1,أ,ب,False,ب
أرادت ماي حقًا الذهاب إلى الحفل الموسيقي الذي سيعرض الأسبوع المقبل.,كتب قارئ لطيف ردًا ليعرض عليها تذكرتين مجانيتين للحفل!,أرسلت ماي تغريدات تبحث عن تذاكر.,لذا اشترت تذكرتين عبر الإنترنت.,1,أ,ب,False,ب
قررت مايندي الذهاب إلى منزل جيك.,فزعت وركضت وهي تصرخ خارج منزله.,عندما دخلت مايندي الباب ، كان جيك عارياً.,أخافت مايندي جيك عندما دخلت المنزل.,1,أ,ب,False,ب
كنت أواجه مشكلة في العثور على شبشب المريح الخاص بي.,الباحثون يحتفظون، قالت لي.,سرق الكلب الشبشب.,سرقت أختي شبشبي.,2,ب,ب,True,ب
لم يعجبني لون شفتيَّ.,مع مرور الوقت، تقبلني الناس في المدرسة للشخص الذي أردت أن أكونه.,استخدمت قلمًا لطلائها باللون الوردي الفاتح.,أردت أن تكون شفتاي عاديتين. لقد رسمتهما باللون الأحمر والناس أحبوه.,1,أ,ب,False,ب
ذهبت عائلة للتسوق معًا.,اشترى الأب للصبي كمبيوتر جديد.,كان ابنهم مهذبًا جدًا.,كان الصبي بحاجة إلى هاتف خلوي جديد.,1,أ,ب,False,ب
كنت أعمل على حاسوبي المحمول ذات يوم.,بعد دفع الفاتورة، لم أعد أواجه مشاكل.,تلقيت رسالة بريد إلكتروني تفيد بأن فاتورة الكابل الخاصة بي سارية وأن الخدمة سيتم ترقيتها.,كانت سرعة الإنترنت بطيئة جدًا ثم توقفت تمامًا.,2,ب,ب,True,ب
كان عيسى على وشك الزواج لكنه لم يستطع تحمل تكلفة باقة الورد.,انتهى الأمر بعيسى مع باقة ورد جميلة تم انتقاؤها بعناية!,ذهب عيسى إلى موقع الريف ووجد بعض الزهور.,نسي عيسى أمر باقة الورد.,1,أ,ب,False,ب
هناك قندس ما ظل يبني سدًا بجوار مدرستنا.,قرر القندس مغادرة المنطقة والذهاب إلى أبعد من ذلك باتجاه مجرى النهر.,دمر الناس السد الذي كان القندس يبنيه.,كان الجميع منتشرين في جميع أنحاء الفندق، في محاولة لرؤيته.,1,أ,ب,False,ب
كانت عائلتي في إجازة في إيطاليا.,كانت صورتنا المفضلة من الإجازة.,التقطنا صورة جميلة لإسبانيا.,التقطنا صورة بجانب الكولوسيوم في روما.,2,ب,ب,True,ب
لقد أخبرت بيل ألا يذهب إلى لانسنج.,لقد تعرض لحادث على الطريق السريع، كان عليه أن يستمع.,قال بيل أنه سيكون بخير وغادر.,ذهب بيل إلى لانسنج عن طريق الجو على أي حال.,1,أ,ب,False,ب
أرادت ليف أن ترقص الباليه.,زملاء ليف في الفصل يشعرون بالغيرة والصدمة!,وقعت والدتها على تسجيلها.,لم تكن موهوبة جدًا.,1,أ,ب,False,ب
طفل صغير مريض في المستشفى كان يعبد لاعب كرة سلة مشهور.,الواقف أمام مقهى كان لاعب كرة السلة!,في يوم من الأيام قالت ممرضة أنهم يجب أن يذهبوا إلى المقهى لتناول حلوى.,نظر لاعب البيسبول من النافذة إلى مقهى.,1,أ,ب,False,ب
جايك كان يمارس رياضة الدفع الرباعي على الطرق الوعرة.,كان عليه أن يحصل على مساعدة للخروج.,انتهى الأمر بجايك بالتحرر من الوحل.,جايك حصل على أشياء في الوحل.,2,ب,ب,True,ب
لقد حصلت على لعبة سباق جديدة بالأمس.,أخيرًا بعد ساعات من اللعب توقفت.,كانت ممتعة للغاية، كنت مهرجًا.,جلست لأجرب اللعبة.,2,ب,ب,True,ب
فريدا هي رئيسة مكتبها.,فريدا لا تستطيع أن تفهم لماذا لدى الناس مشكلة معها!,هي لا تطلب بلطف للحصول على أشياء غير محددة.,هي لا تطلب بلطف لإنجاز الأشياء.,2,ب,ب,True,ب
كانت كارلي قد نادت لأطفالها بالتوقف عن اللعب في الخارج.,ثم وضعت بعض المستحضر الطبي عليها وأرادت أن يمر الأمر بسلام.,كان واحد منهم مصاباً بسعال شديد.,كارلي، لاحظت أن ابنتها قد تعرضت للبلوط السام.,2,ب,ب,True,ب
كانت ألكسيز قد قطعت شجرة عيد الميلاد في الغابة.,عندما وضعتها في مكانها، كانت بالحجم المناسب لسقفها.,تأكدت ألكسيز من أن الشجرة لم تكن تحت 20 قدمًا.,كانت ألكسيز قلقة من أن تكون كبيرة جدًا.,2,ب,ب,True,ب
كانت فرانسين دائمًا تحلم بأن تصبح مصممة أزياء.,كانت فخورة جدًا لأنها اتبعت أحلامها.,قررت فرانسين الذهاب إلى المدرسة لتحقيق أحلامها.,تقدمت فرانسين بطلب للالتحاق بمدرسة الأعمال.,1,أ,ب,False,ب
ذهب جاك إلى أول مباراة كرة سلة له مع والده.,بينما كان الجمهور يصفق، عرف جاك أنهم لن ينسوا مباراته الأولى أبدًا.,امسك جاك الكرة التي ارتدت فوق السياج.,رأى جاك كيف أصبح الجمهور متوحشًا.,2,ب,ب,True,ب
ناثان تنمر على الكثير من الأولاد الآخرين في المدرسة.,كان ناثان يعلم أن عنفه لن يمنع إساءة معاملته أبدًا.,لم يتشاجر ناثان أبدًا.,حصل ناثان على احتجاز في المدرسة.,2,ب,ب,True,ب
صنع مايك المعكرونة محلية الصنع ذات يوم.,المعكرونة هي الآن أساس منتظم في نظام مايك الغذائي.,وجد مايك أن المعكرونة صعبة الصنع.,مايل يحب الطعام الإيطالي.,2,ب,ب,True,ب
أعطى صديق راندي له إتجاهات إلى منزله.,أخبر راندي صديقه عن مدى ارتياحه لأنه وجده.,عرف راندي المنطقة جيداً.,هو لم يكن يعرف ذلك الجزء من المدينة جيداً.,2,ب,ب,True,ب
كاي كانت تعجبها ولد في فصلها.,ابتسم لها بعد ذلك وقال إنه يحبها هي أيضا!,أرسلت قطة مذكرة حب إلى الصبي.,أخبرته أنها لا تحبه.,1,أ,ب,False,ب
تشاجرت لاسي و كارين.,اعتذرت كارين أيضًا حتى يتمكنوا من أن يكونوا أصدقاء مرة أخرى.,افتقدت كارين لاسي كثيرًا، ولم تستطع تحمل عدم التحدث إلى صديقتها.,افتقدت لاسي كارين كثيرًا، ولم تستطع تحمل عدم التحدث إلى صديقتها.,1,أ,ب,False,ب
كان لدى صديقي إعلانًا ليعلنه.,لذا وضعت ابتسامة على وجهي وتمنيت له حظًا سعيدًا.,أخبرنا صديقي أنه مصاب بالسرطان ومن المتوقع أن يموت في غضون أسبوع.,عادة ما يتحدث صديقي عن بعض الصفقات التجارية.,2,ب,ب,True,ب
كان جورج على وشك المشاركة في أول نزال احترافي له.,أثبت جورج مهاراته وفاز في نزاله الأول.,تدرب جورج بجد لمدة يومين قبل القتال.,كان جورج هو المرشح الأضعف، لكنه كان يتدرب لشهور للمنافسة في هذا الحدث.,2,ب,ب,True,ب
بوب وأطفاله يحبون كرة القدم.,بوب وأطفاله يتبادلون العناق للاحتفال بالفوز.,فاز الفريق الذي يحبه بوب وأطفاله.,لعبوا كرة السلة في الخلف طوال فترة ما بعد الظهر.,1,أ,ب,False,ب
كان أليكس في تارجت مع والدته.,توسل إلى والدته لشرائه حتى استسلمت.,لم ير اللعبة التي يريدها حقًا في أي من الممرات.,رأى أليكس لعبة كان يريدها حقًا.,2,ب,ب,True,ب
حلمت نوفا بأن تكون راقصة محترفة.,قبلت جامعة نوفا الثانية بها.,تقدمت نوفا إلى بضع مدارس للرقص ولكن رفضتها جامعتها الأولى.,تقدمت نوفا إلى إحدى مدارس الرقص.,1,أ,ب,False,ب
قضت كارلا وسام الصباح في بناء قلعة رملية.,دخل المد ، مما دمرها.,حدث غير متوقع عندما لم يأت المد في ذلك اليوم.,تم بناء القلعة الرملية على الشاطئ مباشرة.,2,ب,ب,True,ب
كانت تامي في الصف الثامن.,عقدت تامي العزم على تجربة الانضمام لفريق الكرة الطائرة للفتيات.,كانت تريد أن تكون أقل انخراطًا وتخسر الأصدقاء.,كانت تامي طويلة بالنسبة لسنها.,2,ب,ب,True,ب
دونالد يترشح للرئاسة.,نأمل أن يخسر الانتخابات.,دونالد شخص غير أناني ورائع.,دونالد ليس المرشح الذي أريده لمنصب الرئيس.,2,ب,ب,True,ب
كنت في حالة سيئة من ناحية اللياقة البدنية.,بعد أسابيع من القفز بالحبل، بدأت أشعر بتحسن كبير.,كان لدي حبل كنت أستخدمه للقفز في المنزل.,التزمت بممارسة الرياضة كل شهر عن طريق القفز بالحبل.,1,أ,ب,False,ب
أخبرت والدة أورا أورا أن الأسرة لديها فاتورة غاز عالية جدًا.,كانت أورا غير سعيدة، لكنها فهمت.,كانت عائلة أورا بحاجة لاستخدام المزيد من الغاز.,طردت والدة أورا أورا من المنزل حتى تقل فاتورة الغاز الخاصة بهم.,2,ب,ب,True,ب
أبقاني كلب ما مستيقظًا حتى لم أعد أستطيع التحمل.,أعطيت الجرو الطعام وعدت إلى السرير، كلانا سعيد.,تم إعطاء الجرو لي من قبل لقلعة.,نهضت وحاولت معرفة سبب استمرارهم في النباح.,2,ب,ب,True,ب
