question,option_a,option_b,option_c,option_d,answer
"Stress: refers to the response of all organisms to various external stimuli.It is a dynamic response and is completed in a relatively short period of time.
According to the above definition, which of the following is not stress?",Yellow weasel emits an odour when it encounters enemy,Various reactions when people see text and images,"Polar bear's fur is white, consistent with the colour of the environment in which it lives","Cicada generally does not tweet below 24 ℃, but only tweet when the temperature is above 24 ℃ and the light reaches a certain level",c
"Sentence: A sentence consisting of a subject-predicate phrase or a single word
Which of the following options is a single sentence
B, if you want to appreciate our gardens, Suzhou gardens should not be missed.
C, we should think carefully before answering the question so as not to revise it later.
D, due to long-term overwork, Li is finally sick and hospitalized.","as a bony man, it is better to stand and die than to live on his knees.",,,,d
"After a chef and a writer have argued fiercely, no one can persuade each other.The writer said angrily: ""You haven't done writing at all, so you don't have the right to conduct literary discussions.""  The chef answered, ""I haven't laid eggs, but I'm more familiar with the taste of scrambled eggs than anyone else! ""
which of the following can't be concluded from the above dialogue?
B, the chef shows high level of literary criticism in the dialogue
C, the author may be a chef qualified for literary criticism.The premise is ture",the writer expressed contempt for the chef in his argument,,,"The chef's retort compared ""writing"" to ""laying eggs"" and ""literary criticism"" to ""tasting the taste of eggs"" is wrong",b
"National heroes are: people who have made outstanding contributions in the struggle against the invasion and oppression of foreign nations, including those who are not afraid of violence and sacrifice in the struggle against them.
According to the above definitions, which of the following is national hero:","Song Jiang, a famous peasant uprising leader in the Song Dynasty.","Lin zexu, a famous historical figure who once ordered ""selling cigarettes from humen"".","Li Siguang, a famous scientist who picked the ""poor oil country hat"" for China.","Lei Feng, a good soldier who serves the people wholeheartedly.",b
"Xiao Zhang asked Xiao Li to go to the mall the next day.Xiao Li said, ""If it doesn't rain tomorrow, I'll go climbing."" There was a drizzle the next day.Xiao Zhang thought Xiao Li would not go climbing, so he went to Xiao Li's dormitory to find him.But Xiao Li was still climbing the mountain.When the two met again, Xiao Zhang blames Xiao Li for his word.Since it was raining, why did he go to the mountain? Xiao Li said that he didn't break his word and Xiao Zhang's reasoning was illogical.
For the argument between the two, which of the following is appropriate?",This argument between Xiao Zhang and Xiao Li is meaningless.,Xiao Zhang's reasoning is illogical.,Two people have different understandings of drizzle.,Xiao Li's comment caused the debate.,b
"Compensatory wage gap: refers to the wage difference caused by the non-monetary characteristics of different jobs.
According to the definition above, which of the following options has nothing to do with compensatory wages?",The annual income of a city's power system meter reader is higher than the city's per capita salary.The high salary is used to compensate for their physical and mental labor consumed during the work process.,Coal workers receive higher wages than other workers with similar education levels.High wages are used to compensate for the dullness and danger of coal mining and the long-term health problems faced by coal workers.,"Professor's salary is lower than lawyers and doctors who have about the same education time, and low salary can be compensated by academic and personal satisfaction brought by work",Night workers in factories pay more than workers in the day shift.High wages are used to compensate for the adverse health effects of having to work at night and sleeping during the day.,c
"The ancient Greek playwright Euripides did not adhere to the rules of stylistic structure in his late writings as he did earlier.A recently discovered play by Euripides, in which the verses are as strict as his earlier plays, so the script must have been written by Euripides in the early days.
Which of the following is the assumption made above? ?",Ancient playwrights tend to be more reluctant to break certain stereotypes in their later stages than in their early stages,Euripides did not write any script that mimicked the style of his earlier works late in his career,"With the development of creation, Euripides is increasingly free from the conventions of its poetic structure","Late in his creative career, Euripides was the only playwright of his time struggling to break the rules of poetry.",b
"Now most of the disposable plastic cans are labeled with the type or quality of the plastic (from 1 to 9).The plastic with the lowest number is the easiest to be recycled by the recycling factory.Plastic is rarely recycled.As a result, consumers can significantly reduce non-recyclable waste in the long run by refusing to buy products that are packaged in the highest numbered plastic products.
Which of the following items, if correct, can most seriously weaken the above conclusions.","Currently, the cost of collecting, sorting, and recycling discarded plastic waste is higher than new plastic products made from raw materials",Many consumers don't notice the numbers printed on plastic containers,"After recycling of plastic containers, the number is almost always on the rise, because recycling will reduce the quality of plastic products",Communities that collect all discarded plastic containers for recycling in the future only dump higher-numbered plastics into garbage dumps when there is clearly no recycler to recycle them,b
"The shadow price is a price calculated by the linear rule method that reflects the optimal use of resources.Calculus is used to describe the shadow price of the resource, that is, when the resource increases by a quantity to obtain a new maximum value of the objective function, the maximum value of the objective function increases The ratio of the quantity to the increment of the resource is the first-order partial derivative of the objective function on the constraints (that is, the resource).When the optimal use of resources is solved by the linear programming method, that is, the process of how to maximize the total output of limited resources The corresponding minimum value is obtained, and its solution is the dual solution.The minimum value is used as an economic evaluation of resources and is expressed as a shadow price.
According to the above definition, which of the following is the shadow price?",A mathematical concept,A philosophical concept,A management concept,A statistical concept,c
"A is a necessary condition for B, C is a sufficient condition for B but not a necessary condition for B
Then ().",C is a sufficient condition for A but not a necessary condition for A,C is a necessary condition but not a sufficient condition for A,C is a necessary and sufficient condition for A,C is neither a sufficient condition nor a necessary condition for A,a
"Action thinking is also known as ""intuitive action thinking"".Its basic feature is that thinking and action are inseparable.You cannot think without action.The task or topic of action thinking is related to the current directly perceived object.The way of thinking about solving problems is not According to appearance and concept, but based on current perception and actual operation.
According to the above definitions, which of the following is not thinking of action?",Toddlers fiddle with objects for calculations,A student rides a bicycle home,Gorilla stacking wooden boxes to get high things,An architect draws design drawings on the computer,d
"The population of City A has maintained a negative growth for a long time.According to education experts, due to the declining number of school-age children, the number of primary and junior high school students in City A will be less and less.
Which of the following items, if correct, would be the strongest indication that the educational experts' inferences are flawed.","Due to various reasons, there is no effective statistics on the phenomenon of individual unmarried or illegal childbirth.","With the sharp increase in migrant workers, their children will be studying in elementary and junior high schools in city A nearby.","Due to the implementation of withdrawal sites and schools and the uneven distribution of educational resources, the number of primary and junior high schools in City A has increased significantly in recent years","The reduction in the number of students in schools will make small-class teaching truly a reality, which will help improve the quality of education",b
"The abduction method refers to not directly negating a wrong topic, but first assuming its truth, and then deriving the absurd result from it, and the absurdity of the reduced topic is derived from the absurdity of the result, thereby directly negating the argument method of the wrong topic.
Based on the above definitions, Which of the following are not a fallacy","When there was a patient, the nurse in the hospital said, ""Please arrange me in a third-class ward.I am poor."" ""Can no one help you?"" No, I mean there is an older sister, she is a nun, and very ""Poor."" The nurse said angrily and said, ""The nun is very rich because she is married to God."" ""Okay, you can arrange me in a first-class ward, and then send the bill to my brother-in-law.""","A explains to B: ""I play elegant pop music."" B asks: ""Is the popular music elegant?"" A was surprised when he heard: ‘How can something not elegant be popular? ""Yi said with a smile:"" So, is the flu cold elegant? ""","Someone is firmly opposed to killing.He advises people: ""If you kill a pig while you are alive, you will become a pig in the next life; if you kill a cow in the world, you will become a cow in the next life."" The audience said, ""It's better to kill.""","Once, a British female journalist read the work of Qian Zhongshu, a literary master, and admired Qian Zhongshu very much.She had to see him.On the phone, Qian Zhongshu said to the lady, ""If you eat an egg, I think it tastes good enough, why bother to know the hen who laid the eggs? """,d
"The average life expectancy of a population is an important indicator of the health level of a country and region.The sixth national census showed that the average life expectancy of China's population in 2010 reached 74.83 years, while the average life expectancy of our population in the early days of the founding of our country was only about 35 years.The elderly people thought more than 60 years ago now seem to be just middle-aged people.
Which of the following, if true, would most weaken this view.","Since the founding of the People's Republic of China, the decline in the number of newborn babies has been the most important cause of the increase in the average life expectancy of the population.","In the early days of the founding of the People's Republic, the country was moving from war to peace, the situation in the country was still unstable, and the population was much lower than it is now.","In the early days of the founding of the People's Republic of China, the living environment was harder and people's nutritional levels were much worse than now.","With the development of medicine, the level of medical care has greatly improved compared with the early days of the founding of the People's Republic of China.",a
"Holiday syndrome refers to symptoms such as tiredness, insomnia, etc.that appear after long holidays or holidays, so that anxiety, emptiness or anger easily make it difficult to concentrate on work.This is the result of people's physical and mental unbearably after long-term leisure Feeling unwell.
Based on the above definition, which of the following is holiday syndromes?","After returning from India, Li experienced new values in life and immediately quit her job","Xiao Wang had a bad stomach during the holiday, but he didn't want to have lunch after work","Xiao Zhang went climbing Huangshan on National Day.After work, he always felt backache and leg pain.",Xiao Zhao enjoys the Spring Festival and is always absent after work,d
"A factory has multiple dormitory areas and workshops, and the employees who live in the A dormitory area are not textile workers.Therefore, some employees who work in the A workshop do not live in the A dormitory area.
In order for this reasoning to be true, which of the following must be added as a prerequisite?",Some weavers do not work in workshop A,Some employees working in workshop A are not textile workers,Some employees living in the A dormitory area work in the A workshop,Some weavers work in workshop A,d
"In the school library, only by showing the certificate issued by the department can you enter the special collection library.If you do not participate in the research group of the professor, the department will not issue a certificate.Xiao Zhang was recently absorbed by Professor Li into his own because of his outstanding performance Xiao Wang quit Professor Chen's group last week for personal reasons.
If the above assertion is true, which of the following must be true?",Xiao Zhang can now access the special collection library,Xiao Wang cannot access the special collection library now,"As long as you enter the professor's research group, you can access the special collection library","Did not obtain a certificate issued by the faculty, indicating that the group of professors did not participate",b
"Leading cadres cannot achieve strict self-discipline if they do not have bottom-line thinking.Only by not forgetting their original intentions can they always maintain their bottom-line thinking.Only by always sticking to their ideals and convictions can they not forget their original intentions.
Based on the above information, Which of the following items can be derived.","If leading cadres fail to achieve strict self-discipline, they will lose their bottom line thinking",Leading cadres can only achieve strict self-discipline if they do not forget their original intentions,Leading cadres can achieve strict self-discipline as long as they always adhere to their ideals and beliefs,Leading cadres can achieve strict self-discipline as long as they do not forget their original intentions,b
"The realization of great dreams has never been smooth and peaceful, and it is bound to be difficult to forge ahead in tackling challenges and defusing risks.Only by increasing awareness of sorrows and realizing that there are no fewer problems after development than when there is no development.The reform of the deep-water area is not easier than the creation of the early stage of the reform.Only when we encounter a series of complex contradictions and problems, we can calmly cope with it and ensure that the great dream is smoothly realized.
If the above assertion is true, then the following _______ items must also be true.","As long as you meet the challenges, you can ensure that your great dreams come true","After development, there are many more problems than when there is no development.",Only in calm seas is it necessary to raise awareness,"If you do not increase your awareness of sorrow, you will not be able to cope calmly when you encounter a series of complex contradictions and problems",d
"Einstein's greatest contribution to humanity is the proposal of relativity, which is a powerful tool for humans to study the universe.Einstein calculated the mass of the universe through relativity and found that the total mass of the universe turned out to be zero.Einstein believed that the matter produced by the universe after the Big Bang has two forms of positive and negative, antimatter and positive matter are completely opposite, and the positive and antimatter are of equal mass.But scientists only found a small amount of antimatter in the universe, where did most of the antimatter go? If they do not exist in the universe, Einstein's calculations of relativity will not find that the total mass of the universe is zero, but the mass of the universe is zero, which indicates that antimatter should still exist in the universe.
Which of the following _______ items are the premise assumed by the above discussion.",There is only one universe,Einstein's calculation through relativity is correct,Humans cannot conduct interstellar exploration if they cannot use the tremendous energy of antimatter,Scientists have discovered antimatter in the laboratory and can now also make some antimatter in the laboratory,b
"A store was stolen, and the clues held by the police are as follows: ① At most one of A.B, and C is a criminal ② If A is a criminal, B must be an accomplice ③ C was eating at home when the theft occurred.
From this we can infer:()",A and C are not criminals,A is a criminal,B is a criminal,C is a criminal,a
"It is a rule that production relations must adapt to the development of productive forces.When the productive forces develop and exceed the production relations, the production relations need to be adjusted to suit the productive forces.
So in the process of social development?",Society runs spontaneously,Reform of production relations is necessary and inevitable,Production relations adapt to productivity at all times,Production relations always lag behind the development of productivity,b
"Securities: It is a document that records and represents certain rights, that is, a certificate used to prove that the holder of the securities is entitled to enjoy corresponding rights and interests according to the content contained in the securities.
Based on the above definitions, which of the following is that is not securities?",Stocks,Treasury bills,Contract,Check,c
"The social security system refers to a social security system that provides material assistance and services to protect people's lives through the redistribution of national income and the support of social security funds under the management of the government in accordance with certain laws and regulations.
Which of the following are within the scope of the social security system:","Laid-off workers applied for preferential loans with the help of street offices, opened their own factories and provided reemployment opportunities for many laid-off workers","City leaders visited the lonely elderly in the city on the eve of the Spring Festival and sent them food, clothing and color TV sets, hoping that they could spend a warm and peaceful festival","Uncle Lee, a retired employee, recently detected lung cancer.Surgery and other treatments cost hundreds of thousands of yuan.Most of the medical expenses are reimbursed by medical insurance agencies.","The development of the ""Hope Engineering Library"" project has enabled schools in remote mountain areas to have their own libraries, and children there can also read their favorite books",c
"A survey of the results of a university student sports meeting in a city seems to be contradictory.When the athletes participating in the 100m finals were asked about their position in the sports meeting, 60% of the respondents said that their results were among the best in the game.The top 20%.
If all the athletes participating in the survey were telling the truth, which of the following could give a more reasonable explanation for the above phenomenon?",Not all non-respondents rank outside the top 20% of the 100m finals,The remaining 40% of the respondents in the 100m finals are outside the top 20%,80% of the athletes participating in the 100m finals did not perform well,Athletes with poor results in the 100-meter final did not participate in the survey,d
"Both companies A and B provide customers with 24-hour hotline consultation services for customers who have problems with their company's digital products.Dialing the hotline charges a corresponding call fee, so generally, consumers only have difficulties when using digital products.Company A will receive 5 times more hotline calls than Company B.This shows that Company A's digital products must be more complex and difficult to use than Company B.
If the following are true, the above conclusions are most supported:",Company B has twice as many consumers of digital products as Company A,Company A has five times more consumers of digital products than Company B,Company B receives twice as many complaints about digital product quality issues as Company A,Company A receives five times more complaints about digital product quality issues than Company B,a
"Corporate strategic alliances are two or more economic entities (generally refers to enterprises.This definition also applies if certain departments of an enterprise reach an alliance relationship.Long-term joint and cooperation agreement.
According to the above definitions, Which of the following belong to the strategic alliance of the enterprise:","Someone authorizes a factory to use it for a long time, and the profit is distributed according to the agreement",A car parts company signs a contract with a car manufacturer to provide the factory with high-quality parts at preferential prices for a long time,"In order to reserve talents, a company has reached an agreement with the computer department of a famous university, and graduates of the department can participate in the company's recruitment interview","In order to meet the challenges of foreign collection manufacturers, three domestic mobile phone manufacturers reached a 10-year cooperation agreement to jointly develop high-end mobile phones",d
"All salespeople in a company are men, all secretaries are women, all married people are secretaries, and the company's general manager is not yet married.
From this, we can know:",The general manager is male,There are men among married people,Female employees may be unmarried,Some of the salespeople are married,c
"Uncertainty avoidance means that in any society, people will feel a threat to uncertain, vague, and uncertain future situations, and always try to prevent it.
According to the above definitions, Which of the following are not avoided:","The school called for graduate students to go for further studies.Xiao Wang felt that his life was relatively stable and he did not want to go out.He said, ""My foreign language level is not good.Let me give it to other students.""","With the advent of the financial turmoil, the stock market fluctuated, Xiao Zhao quickly sold his stock.","The graduation reply date is approaching, and Xiao Li is very nervous about the questions that the reply teacher may ask.","Xiao Zhang repeatedly thought between going to a state-owned enterprise or starting his own business, and felt that the latter was too risky, so he chose to enter a state-owned enterprise.",c
"Redundant design means that there must be sufficient room in the process of hiring, using, firing, firing, promotion, etc.of human resources, so that the overall operation of human resources has a certain flexibility.When a certain decision deviates, correction and Room for redefinition.
According to the above definitions, Which of the following are not redundant definitions:","In the basketball game, there are 5 players on each side, but usually, there are 12-15 people for each professional basketball team.","A company recruits a group of college students every year, allowing them to intern in each position and train them as reserve cadres.","A property's power distribution room is equipped with two people, and even if one person is out of the office, someone can be guaranteed to be on duty.","An employee of the design department resigned, and the company immediately hired a part-time job from the quality inspection department, while the human resources department began to recruit people urgently.",d
"If a city wants to build a garden or build a pond, there are the following four assumptions: a bridge is needed to build a pond; a garden cannot be built when a bridge is built; a tree must be planted to build a garden;
Based on this it is impossible to introduce:","Finally, there is a pond",There must be a bridge in the end,There may be a garden in the end,Pond and garden cannot exist at the same time,c
"The epidemic is a common mental state, manifested by mutual infection or imitation of members of a society or group in the short term due to the pursuit of a certain lifestyle.
According to the above definitions, Which of the following are not epidemic phenomena:
After the D.APEC meeting, many foreigners like Chinese costumes",There are young people full of cowboys everywhere in the street.,"When chatting online recently, many people are using the word ""囧""",Spring is here and many people go to the countryside,,c
"A newspaper with a very large circulation actually stopped publishing because the readers it had were older men with low socioeconomic status, and this segment of the population had low consumption power, so the advertising effect was very unsatisfactory, making advertisers lose confidence in it Without the advertiser, it can no longer be done.
From this we can infer:",Distribution is not the only condition for newspapers to earn advertising revenue,Newspaper circulation is not attractive to advertisers,Women prefer advertising over men,Relying on advertising revenue to run newspapers is not conducive to the development of the newspaper industry,a
"The factors that affect the nutrition and pharmacological quality of tea, in addition to the content of trace elements and the soil components in the tea-producing area, the amino acid content of its main components is closely related to meteorological conditions.Research analysis shows that the amino acid content of fresh leaves is related to the temperature during the tea harvest period, sunshine It is negatively correlated with precipitation and air relative humidity.
If the following are true, the conclusions that can weaken the above analysis are:","Most regions in northern China have low temperatures and little rain in spring, and tea grows slowly.",Alpine cloud mist tea increases with increasing latitude,"Famous teas are mostly grown in clouds, humid air, and mild climates.","In the Pingchuan area in summer, the sunshine time is long, the rainfall is abundant, and the amino acid content of fresh leaves increases.",d
"Some products are carefully designed to make the products convenient and efficient, can bring customers a sense of comfort, and do not need to read complicated instructions or ask others for help when using them.Some products, on the contrary, do not take into account the user's habits and needs.People will encounter difficulties or puzzles during use.This type of product is known as the Norman product.
According to the above definition, which of the following is Norman products?","The quality of the bottom pulley of a large wooden wardrobe is poor, and it is difficult for users to pull the door open.",It is difficult to clear a certain online game.Many players ask for help online to crack the levels.,"The shape and size of the car radio button and other device switches are the same, it is difficult for users to distinguish which one is the radio button",There is a 300-page manual attached to the precision experimental equipment of a technology company.Most people think that there are too many terms in it and it is difficult to read.,c
"The media have powerful and irresistible power.The information they convey is like a bullet hits the body and the medicament is injected into the skin on the recipient.The audience is completely passive, waiting passively and receiving various ideas infused by the media., Feelings, knowledge, personality differences of the audience's response to the information provided by the mass media can be ignored.
If the following are true, what will most weaken the above point?",A person must inevitably cause a specific response to a specific stimulus,Adhering to the needs of readers does not create maximum benefits for the audience,Society is generally worried about the vulgarization of TV programs,Abolition of the film rating system has not affected the number and composition of its audience,c
"Researchers believe that obesity is related to the parasitism of certain microorganisms that can produce specific gases in the human body.These microorganisms make the breath they exhale more unpleasant.The CS Medical Center in Los Angeles, California analyzed the breath of 792 physical examiners and found that exhaled methane and hydrogen The high-bodied person has a height and body mass index (BMI) 2.4 points higher than that of normal people, which means that they are obese.
Cannot be inferred from the above description:",Fatty people may be parasitic in certain gas-producing microorganisms,Whether the breather is obese can be determined by whether the gas is difficult to treat,People with high methane and hydrogen content in exhaled breath are fatter than normal people,The mixture of methane and hydrogen tastes bad,b
"The environmental mark is also called the green mark and ecological mark.It means that a government department or public organization issues a certificate to the relevant manufacturer according to certain environmental standards to prove that the production, use, and disposal of its products all meet environmental protection requirements, which is harmless or harmful to the environment.A specific mark that is very rare and is also conducive to the regeneration and recycling of resources.The only certification body for environmental labels in China is the China Environmental Product Certification Committee and its secretariat.
According to the above definition, Which of the following options do not meet the requirements of environmental labeling:","Company A's products are not within the scope of China's environmental labeling product certification, but it still has the right to report to the certification body an environmental labeling product category proposal form","Sports shoes produced by Company C received environmental label certification in 2012.According to the timeliness of the environmental label, the label still needs to apply for environmental label certification after 3 years.","Company B's pollutant emissions do not meet national emission standards, but as long as its energy-saving fluorescent lamps meet the certification conditions, its products can still obtain environmental label certification","The company has the right to use the certified environmental label graphics on its products and packaging that have obtained environmental label certification, and it can also use the graphics in advertising of certified products.",c
"Mosquitoes can transmit a variety of diseases, such as malaria, filariasis, Japanese encephalitis, etc.Some people worry that when a mosquito bites an HIV-infected person, the HIV present in the mosquito will be transmitted from person to person when it bites the next person.Researchers point out that such fears are unnecessary.
If the following are true, which most supports the researcher's point is:",HIV-infected people do not always have high levels of HIV in their bloodstream,Mosquito bites HIV-infected person may not immediately bite the next person,"Mosquitoes inhale blood through the esophagus, this blood inhalation is always one-way","Children are susceptible to mosquito bites, but they rarely have HIV infections",c
"Sports participation refers to the attitude and behavioral performance of actively participating in sports activities.People who often participate in sports activities can cultivate and develop their interests and hobbies in sports.Form the habit of physical exercise and make sports activities an important part of life.Participation in sports in the school field requires students to have an attitude and behavior that actively participates in physical activities, master the knowledge and methods of scientific fitness, and develop the habit of insisting on physical exercise.
According to the above definition, Which of the following are involved in sports:","Xiaoqiang has a weak constitution.In order to strengthen his physique, he began to participate in sports.","To nurture a child's interest, the niche father often takes him to swim",Xiao Zhang is passionate about tennis matches and will often watch various tennis matches,"Xiao Li loves running, as long as he has time, he will participate in the marathon",d
"It is reported that due to a large number of greenhouse gases emitted by human beings, global temperature has continued to rise over the past 150 years.However, compared with 1970 to 1998, the rate of increase in global average surface temperature has slowed significantly since the past 15 years.The rise in temperature is not significant, so global warming is not so severe.
If the following are true, what will most weaken the above argument?",Ocean and climate system adjustment processes allow ocean surface heat to be transported to the deep ocean,"This phenomenon occurred in the 1950s and 1970s, and then began to accelerate warming","UN climate experts point out that carbon dioxide concentration in the air is at its highest point in 800,000 years",Many natural disasters caused by climate warming in recent years,b
"Non-love behavior refers to the non-love plunder of people close to you in the name of love, that is, contrary to the subjective will of others, to enforce spiritual and behavioral control, forcing the other party to act and do things according to the wishes of the controller Behavior often happens between the closest people, such as couples, lovers, parents, and children.
According to the above definition, Which of the following are non-love behaviors:","According to Yishu, Zhang asked her daughter to do traction every three hours to eliminate pain",Lin forced his son to practice the piano for 3 hours a day in order to get good results in the piano competition,"To prevent a mentally ill daughter from escaping, she was locked in the basement to prevent her from entering or leaving",Lee asked his son to go to the hospital to accompany the seriously ill mother in accordance with the rotating care agreement,b
"A British study found that as long as people drink a 500 ml glass of water half an hour before each meal and persist for 3 months, they can lose 2 to 4 kg of weight.The research team invited 84 overweight adults and randomly divided them into 2 rents.Among them, 41 were required to drink 500 ml of water before meals, and 43 lived as usual.After 3 months, the team found that the average weight of people who drank water before meals had dropped by 4.3 kg: and those who did not drink water before meals People, the average weight only dropped by 0.81 kg, the researchers said.The group of people who did not drink water had an ""average amount of exercise"" higher than those who drank before meals, which means that drinking proper water before meals can really lose weight.
Which of the following, if true, would best support the above conclusion?",The group who drink water before meals also pays attention to diet control,Some people who did not drink water before meals lost 4 kg,"Except for drinking water before meals, the other two groups are the same",People who do not drink water before meals will drink more soup and drinks during meals,c
"Before the decision, the value of each thing is roughly similar to the decision maker's mind, and it is difficult to determine the advantages and disadvantages; but after making a choice, the decision maker's attitude evaluation of these things has changed.effect.
According to the above definition, Which of the following phenomena are post-decision effects:","A staff member has no idea how to stay.After some consideration, he thinks that staying will face many complex relationships.It is better to reopen a new world.","A lady is difficult to choose between two brands of mobile phones that have their own advantages and disadvantages.In the end, she considers choosing one of them from an economic point of view.","A teacher is hesitant to choose A or B to participate in the competition.The class leader recommends choosing B.Afterwards, the teacher thinks that choosing B is completely correct because B eventually won the championship.","A student hesitated to report to University A or University B when he volunteered.In the end, he followed the teacher's suggestion and chose University A.Since then, he feels that University A is better than University B.",d
"Our body's circadian clock system is affected by many factors, one of which is light.Studies have shown that light can effectively deceive the brain into ""day mode"", even if the eyes of the person were closed at the time.Light therapy to help us adjust jet lag, including continuous light and flashes at different intervals, and flashes that last only 2 milliseconds every 10 seconds are most effective.Studies have also found that people who have experienced ""flash treatment"" during sleep have trouble sleeping The cycle will be delayed by two hours.
Which of the following, if true, best supports this view?","The darkness between each flash helps to restart the eyes, thus restoring the eyes' sensitivity to light","Most people who experience ""flash processing"" during sleep are not affected by the flash","Go to the city two hours early in the time zone, and people who have received light therapy two hours before sunrise on the departure day will not feel jet lag","It takes a long time to adjust the time difference by yourself, and the average time difference can only pass one hour every day.",c
"Organizational identity refers to the fact that members of an organization are consistent with the organizations they join in terms of behaviors or ideas, and feel that they have both a sense of rational contract and responsibility in the organization, as well as an irrational sense of belonging and dependence, and in this psychological basis Behavioral results of dedication to organizational activities.
According to the definition above, Which of the following options are not recognized by the organization:","""We must strictly demand ourselves by the standards of Communists""","""When the company is in trouble, we must not give up""","""I want to consciously maintain the good image of the company at all times""","""I am proud of my alma mater today, and proud of my alma mater tomorrow""",d
