observation_1,observation_2,hypothesis_1,hypothesis_2,label
Jay has been looking for this duffle coat for a while.,He buys it anyway,Jay sees one in the store he likes but is not sure if he will find his old one.,"Jay sees one in the store he likes, but waits to buy it in case he finds his old one.",1
As a child Paul's family took a vacation to Washington state.,He was finally able to relocate to Washington.,Paul wanted to move to Washington eventually.,Paul didn't like Washington.,1
As a child Paul's family took a vacation to Washington state.,He was finally able to relocate to Washington.,Paul never wanted to move to Washington.,Paul wanted to move to Washington eventually.,2
Amy was in the park walking her dog Spot.,Amy gave the mime a $5 to make up for being scared by Spot.,Spot ran up behind a mime and barked.,A mime ran up behind Spot and barked.,1
Amy was in the park walking her dog Spot.,Amy gave the mime a $5 to make up for being scared by Spot.,The mime jumped when Spot barked at him.,The mime jumped when the cat hissed at him.,1
Sara entered herself in a dance contest at her school.,She got first place for her routine.,Sara didnt practice before performing at her school.,Sara practiced before performing at her school.,2
Sara entered herself in a dance contest at her school.,She got first place for her routine.,Sara practices every day on the dance.,Sara never once practiced on the dance.,1
Sheila and her husband were expecting their fourth child.,The doctor surprisingly told her she was expecting three babies!,Sheila and her husband visited the doctor.,Sheila and her husband decided against visiting the doctor.,1
Sheila and her husband were expecting their fourth child.,The doctor surprisingly told her she was expecting three babies!,Sheila went to the doctor to get a pregnancy test.,Sheila went to the doctor to get a sonogram.,2
Jim was not confident in his home repair skills.,Jim was so excited to learn a new skill.,Jim attended a workshop at his local hardware store.,Jim never attended a workshop at his local hardware store.,1
Jim was not confident in his home repair skills.,Jim was so excited to learn a new skill.,Jim signed up for a DIY home wrecking class.,Jim signed up for a DIY home repair class.,2
A girl named Julie in pigtails asked the vendor for cotton candy.,"Julie skipped away happily, and the man smiled.",The man gave her a bag of pink cotton candy.,The kid gave her a bag of pink cotton.,1
A girl named Julie in pigtails asked the vendor for cotton candy.,"Julie skipped away happily, and the man smiled.",Julie gave the vendor what he wanted.,The vendor gave Julie what she wanted.,2
The little sister found out she was having a baby brother.,The little sister was given a cookie for her behavior.,She helped her mother decorate the new babies room.,She helped her mother ignore the new babies room.,1
The little sister found out she was having a baby brother.,The little sister was given a cookie for her behavior.,The littler sister was so excited that she made her new baby brother a crib and cleaned the entire house.,The little sister was so excited that she made her new baby brother a picture and cleaned her room.,2
The little sister found out she was having a baby brother.,The little sister got punished with a timeout.,The little sister screamed and cried and threw her toys.,The little sister loved the idea.,1
Thomas always returned his library books on time.,Thomas had to pay a library fine.,Thomas kept the book too long.,Thomas kept the book not too long.,1
Thomas always returned his library books on time.,Thomas had to pay a library fine.,"When Thomas returned his latest books, he was shocked to discover that he owed $0 in late fees.","When Thomas returned his latest books, he was shocked to discover that he owed $2 in late fees.",2
"Emily was going to jail, and she was excited.",Today was her first day as a corrections officer!,Emily has worked very hard to be imprisoned.,Emily had worked very hard for this day.,2
We used to go to the park all the time.,He needed 19 Stitches that night.,My friend busted his girlfriend at the park one night.,My friend busted his knee at the park one night.,2
Music was Kat's life.,"She completed her studies with honors, and is now a renowned pianist.",Kat enjoyed it so much that she played all of the time.,Kat hated it so much that she avoided it all of the time.,1
Music was Kat's life.,"She completed her studies with honors, and is now a renowned pianist.",She got accepted to music school.,She got denied to music school.,1
Annie and her family went on a road trip.,"Soon, they arrived at the Grand Canyon.",Annie was excited to arrive.,Annie was sad to have to return home.,1
Timmy loved snow cones.,He opened it quickly and smiled looking at his snow cone maker.,Timmy had a birthday present to open.,Timmy had a credit card bill to open.,1
Katy loved her new phone.,The screen cracked and it won't work right anymore.,Katy dropped the antiquated phone.,Katy dropped the new phone.,2
James had never flown in a plane.,He relaxed as he watched the beautiful clouds and water.,James had taken an anxiety pill before leaving the plane.,James had taken an anxiety pill before boarding the plane.,2
James had never flown in a plane.,He relaxed as he watched the beautiful clouds and water.,James went on his first plane ride across the ocean.,James went on his first boat ride across the ocean.,1
Milly's class was learning about alternative medicine.,Milly moved to the back of the line to make sure he didn't pick her.,Milly didn't understand alternative medicine.,Milly was brilliant in alternative medicine.,1
Milly's class was learning about alternative medicine.,Milly moved to the back of the line to make sure he didn't pick her.,Milly was very excited to take her turn.,Milly was too nervous to take her turn.,2
Usually I enjoy Christmas.,This day just ended with more issues.,When I opened presents I found they were broken.,When I closed presents I lost they were together.,1
Johnny loved his Mom and Dad dearly .,His love shown through his actions,Johnny spoke out against his consequence.,Johnny spoke out against his parents.,2
Justin's apartment reeked.,Soon the cinnamon smell was floating through the house.,He ran to the store and bought several scented candles.,He ran to the store and bought several fish.,1
Justin's apartment reeked.,Soon the cinnamon smell was floating through the house.,Justin was making an apple pie.,Justin was making french onion soup.,1
Sarah was a lonely single woman.,Sarah and Shaun began to see each other often.,Sarah signed up for online dating and met Shaun.,Sarah signed up for online dating and met herself.,1
My friends and I decided to drive to a music festival 3 hours away.,We talked and laughed the entire drive and had a great time.,We got out the car and walks to the festival.,We got out of the car and drove to the festival.,1
My friends convinced me to go on a ski trip last weekend.,None of my friends even bothered to stay in with me.,I got ill during the trip and was bedridden.,I got ill before the trip but recovered.,1
Laura owned a flower shop.,Eventually the man built the courage to ask Laura for a date.,"For 2 weeks straight, a man would come in, ask if the roses were fresh, then leave.","For 2 weeks straight, a man would come in, ask if the donuts were fresh, then leave.",1
Rex was the meanest dog on the block.,"He grabbed the bird and swallowed it, to the horror of all the kids.",One day he spotted a blue bird.,One day he spotted a orange bird.,1
Jan went to lunch with Kim.,"Handing the bill to Jan, Kim said that lunch was on her.",Kim was glad to always pay for Jan's lunch.,Kim was tired of always paying for Jan's lunch.,2
Paul and Jessica had been married for 15 Year's.,Paul and Jessica finally went their separate ways.,Paul and Jessica have had problems for years.,Paul and Jessica have had happiness together for years.,1
Paul and Jessica had been married for 15 Year's.,Paul and Jessica finally went their separate ways.,Paul found out Jessica didn't love him anymore.,Paul found out Jessica still loved him.,1
I just want today to be a restful day.,It has been a while since we've done this.,I took a crap with my dog.,I took a nap with my dog.,2
I just want today to be a restful day.,It has been a while since we've done this.,We ended up running errands all day.,We spent the day on the couch watching movies together.,2
"When I was young, my friend bought me a Ouija board.",I threw it away the next day.,My big brother told me funny stories about it.,My big brother told me scary stories about it.,2
Joe was an aspiring rap artist.,Joe eventually became a local celebrity for his music.,Joe never performed at a birthday party before being invited to larger events.,Joe performed at several birthday parties before being invited to larger events.,2
Gina and her friends had been given permission to go to the library.,The girls started dancing.,On their way they passed a night club but didn't go in.,On their way they passed a nightclub and went in.,2
Gina and her friends had been given permission to go to the library.,The girls have her their passes.,They studied all night long.,they smoked pot in the park all night.,1
Sam needed to get a graphing calculator for his Calculus class.,Sam installed games on his calculator immediately afterwards.,Sam went out and bought a graphing calculator.,Same went out and sold a graphing calculator.,1
Paul didn't want to go to school today.,Now Paul is grounded for two weeks.,Paul decided to stay in school with his friends.,Paul decided to skip school with his friends.,2
Paul didn't want to go to school today.,Now Paul is grounded for two weeks.,Paul skipped school and went to the movies.,Paul skipped the movies and went to school.,1
Tina took her son to his soccer game.,"When her son scored a goal, Tina was jumping for joy.",Tina couldn't find a place to watch from the bleachers.,Tina found a place to watch from the bleachers.,2
Cassie was swimming in the pool.,Cassie tried it and she was able to keep the water out.,Her friend let her borrow her waterproof phone case.,she let her friend borrow her waterproof phone case.,1
Cassie was swimming in the pool.,Cassie tried it and she was able to keep the water out.,She put on a hat for the first time.,she put on a snorkel for the first time.,2
I found a silver quarter in my change today.,He gave me five dollars for each quarter.,"I had another silver quarter, same as the one found.","I had another silver quarter, almost the same as the one found but it was fake.",1
I found a silver quarter in my change today.,He gave me five dollars for each quarter.,I took the quarter to a foreign shop.,I took the quarter to a local shop.,2
I decided take a trip to Malaysia.,"Luckily, the embassy helped me secure emergency funds!",I lost my wallet.,I found my wallet.,1
I decided take a trip to Malaysia.,"Luckily, the embassy helped me secure emergency funds!",I never ran out of money.,i ran out of money shortly after arriving.,2
Tom moved into a house that was very old.,After taking a fresh air break he finished pulling the rug.,But he decided to keep the old rug.,"When Tom pulled up the rug, he choked on dust.",2
Tom moved into a house that was very old.,After taking a fresh air break he finished pulling the rug.,Tom hated to take a break in the fresh air.,Tom needed to take a break from the air.,2
Gina and her family were at her uncle frank's house.,"Gina knew she made a mistake, and it was too late to fix it.",Gina forgot to bring the roast.,Gina remembered to bring the roast.,1
Gina and her family were at her uncle frank's house.,"Gina knew she made a mistake, and it was too late to fix it.",she broke a vase while running.,Gina broke her leg while running.,1
Rich was a crossfit instructor.,He ate breakfast and felt better.,Rich was still in a coma from his classes the previous day.,Rich was still tired from his classes the previous day.,2
Riley went to the store with her mother.,Riley wore her cowboy boots to school the next day.,Riley's mother bought her a new pair of mittens.,Riley's mother bought her a new pair of boots.,2
Amy wanted to compete in the beauty pageant.,"At the end, Amy found that she'd won third place!",Amy worked hard in the talent competition.,Amy worked soft in the talent competition.,1
"Daniel had a crush on a girl, so he asked her to the movies.",Daniel decided he would take her out to dinner next so they can talk.,Daniel and the girl had a good time and he decided to make plans for a second date.,Daniel and the girl had a bad time and he decided to not call her for a second date.,1
Cindy was given a glass angel for Christmas.,Cindy has never been so devastated.,Cindy dropped the angel and it shattered.,Cindy dropped the angel and it was ok.,1
Cindy was given a glass angel for Christmas.,Cindy has never been so devastated.,The glass angel got knocked over and broke.,The glass angel got knocked over but didn't break.,1
"Pam was driving along a dirt road, when it became very dark.",She took her car in the very next day to get it fixed for real.,Pam blew a tire and changed for her spare.,Pam slowed down and drived carefully.,1
"Pam was driving along a dirt road, when it became very dark.",She took her car in the very next day to get it fixed for real.,She missed a deer and tried to break the care herself.,She hit a deer and tried to fix the care herself.,2
Bill was at the laundry cleaners.,A stranger had accidentally thought Bob's laundry was his.,Bill brought his laundry home.,Bill could not find his laundry.,2
Bill was at the laundry cleaners.,A stranger had accidentally thought Bob's laundry was his.,He opened the washing machine and everything was gone.,He opened the washing machine and started loading it.,1
"At an Easter egg hunt, there was a contest for the biggest egg.",A man had cheated and got up a balloon to look like a big egg to win!,One man didn't have an egg but really wanted to win the contest.,One man didn't have an egg and decided not to win the contest.,1
Brian had a crush on Teresa.,He spent the rest of the day moping.,She said she didn't like him.,She said she loves him.,1
Brian had a crush on Teresa.,He spent the rest of the day moping.,Teresa went out with someone else.,Teresa went out with Brian.,1
Our minister had hired me to tend to his garden.,She told me the minister had gotten her pregnant.,His wife was paralyzed and couldn't stand.,His wife greeted me but could barely stand.,2
Our minister had hired me to tend to his garden.,She told me the minister had gotten her pregnant.,The minister’s wife started talking to me.,The minister son started talking to me.,1
Kelly and the girls wanted to take a train to the city.,The girls had to wait for another one.,Kelly and the girls went to the train station and saw they just missed the train.,Kelly and the girls went to the train station and saw they just made the train.,1
Kelly and the girls wanted to take a train to the city.,The girls had to wait for another one.,The train was practically empty.,The train was full.,2
This week was a bad week for the Dow.,It was a painful experience.,It increased several hundred points.,It dropped several hundred points.,2
Celia wasn't sure if she could muster the courage to leave.,Celia never looked back and never went back.,Celia finally decided just to stay put.,Celia finally decided to leave.,2
Celia wasn't sure if she could muster the courage to leave.,Celia never looked back and never went back.,Celia realized she liked to take the abuse from her boyfriend and decided to not get help to leave him and she stayed.,Celia realized she could no longer take the abuse from her boyfriend and decided to get help to leave him and she did.,2
Man Petty has been in prison most of his life.,"Recently, he punched right through a bulletproof window.",Man Petty was always causing problems.,Man Petty hates causing problems.,1
Man Petty has been in prison most of his life.,"Recently, he punched right through a bulletproof window.",Petty figured out ways to escape from rooms.,Petty resigned himself to life in prison.,1
Alex had his heart set on an ivy league college.,Alex ended up achieving his dream of getting into the school,Alex never studied and was lazy.,Alex studied and worked very hard.,2
Jessica and Joanne were drinking at a bar one night.,"Out of breath, Jessica asked Joanne how the woman could have known.",A street child predicted Jessica's exact birthday.,A street psychic predicted Jessica's exact birthday.,2
Jessica and Joanne were drinking at a bar one night.,"Out of breath, Jessica asked Joanne how the woman could have known.",Jessica's ankle monitor notified the police that she had left the house and a police woman chased them.,Jessica's ankle monitor notified the police that she had left the house and a police woman gave her a prize.,1
Ray hung a tire on a rope to make his daughter a swing.,Ray laughed at the crazy situation.,The tire was firmly tied by ropes and Ray's daughter enjoyed sitting on the tire anyway.,The tire fell from the swing but Ray's daughter enjoyed sitting on the tire anyway.,2
Ray hung a tire on a rope to make his daughter a swing.,Ray ran to his daughter to make sure she was okay.,Ray's daughter fell off the swing.,Ray's daughter loved the swing.,1
Dan had been writing in Starbucks for the past few days.,Dan is glad that he is saving money by skipping Starbucks.,Dan started writing at home to save money.,Dan left home to start writing.,1
Billy played the flute.,Billy cried the rest of the night.,Billy's evening recital began with Billy playing his piece perfectly.,Billy's evening recital began with Billy playing his piece badly.,2
Joan bought a folded map to guide her on a car trip.,"Finding herself circling back home, Joan saw the map was upside down.",Joan got found then.,Joan got lost then.,2
Joan bought a folded map to guide her on a car trip.,"Finding herself circling back home, Joan saw the map was upside down.",The map lacked labeling of the cardinal directions.,The map had perfect labeling of the cardinal directions.,1
Jill lived in the city where the stars never seemed that bright.,The stars were incredibly bright against the pitch black sky.,Jill moved to the country so she can see the sun brighter.,Jill moved to the country so he can see the stars brighter.,2
The hubby and I decided to have a date night tonight.,We cursed Mama for what she'd done.,Mama decided to stay at the house while she was supposed to be watching the kids.,Mama decided to leave the house while she was supposed to be watching the kids.,2
The hubby and I decided to have a date night tonight.,We cursed Mama for what she'd done.,My mom ruined it by barging in unexpectedly.,My mom watched the kids.,1
The hubby and I decided to have a date night tonight.,We thanked Mama for her huge favor.,My mother couldn't take care of the kids for us.,My mother decided to take care of the kids for us.,2
I once rode along on a friend's police patrol.,I was terrified until I realized the car had simply backfired.,I thought I heard a gunshot.,I thought I saw a gunshot victim.,1
I once rode along on a friend's police patrol.,I was terrified until I realized the car had simply backfired.,"While riding, I thought I heard shots firing.","While riding, I thought I heard the car backfiring.",1
Ryan hiked to school in the snow.,Ryan played in the snow all night.,It was raining when Ryan returned.,It was still snowing when Ryan returned.,2
Kelly went to the mall yesterday.,Kelly then realized she was stood up.,"Bob was waiting for Kelly, but he never showed up.","Kelly was waiting for Bob, but he never showed up.",2
Kelly went to the mall yesterday.,Kelly then realized she was stood up.,Kelly was waiting seconds for her date.,Kelly was waiting hours for her date.,2
Mindy washes all the laundry for her husband and two kids.,Mindy now hand washes and air dries the family's clothes.,Mindy's husband ruined it with playdough.,"Mindy's washer broke, she was unable to wash.",2
Mindy washes all the laundry for her husband and two kids.,Mindy now hand washes and air dries the family's clothes.,The washing machine broke down from too much use.,The washing machine worked without issue.,1
I work at a place that believes in teamwork.,It always wastes my time.,"We have daily ""team meetings"" to build morale.",We never have team meetings to build morale.,1
Finally school was out for the summer.,"I thought they were joking, but they weren't unfortunately.",My parents told me were going to Hawaii on vacation.,"However, my parents told me I had to attend summer school.",2
I have wanted a puppy for a few years now.,"I took her home, and now we are both happy",I found a puppy in a box outside a store.,I found a puppy in a box outside a store and called the shelter.,1
I have wanted a puppy for a few years now.,"I took her home, and now we are both happy",One day I went out and bought a puppy.,One day I went out and bought a cat.,1
It was Friday night.,But she decided to watch horror movies instead.,she wanted to go out.,She wanted to stay in and relax.,1
Ryan stood in line for inspection in the army.,He spent all evening making his boots shine.,No scuff mark was found on the boot.,A scuff mark was found on the boot.,2
Ryan stood in line for inspection in the army.,He spent all evening making his boots shine.,Ryan was told he needed to cook.,Ryan was told he needed to shine his boots.,2
Jordan and his girlfriend of three Year's decided to move in together.,"In the end, they decided to break up and move on.","But when Jordan and his girlfriend were living together, they realized they weren't right for each other.","But when Jordan and his brother were living together, they realized they were right for each other.",1
Jordan and his girlfriend of three Year's decided to move in together.,"In the end, they decided to break up and move on.",The pair began fighting over the chores.,The pair began working on the chores.,1
A man wanted to increase his intelligence.,He knew he had increased his intelligence by reading many books.,He rented one hundred books from the local library.,He rented one hundred video games from the local library.,1
Saul was new to the neighborhood.,Now his son can play in a clean park.,He decided to clean up the neighborhood park so his son can be in a clean environment.,he decided to clean up the neighborhood park so his son can be in a clean environment.,2
Saul was new to the neighborhood.,Now his son can play in a clean park.,Saul organized his neighbors to pick up all the trash at the park.,Saul organized his neighbors to pick down all the trash at the park.,1
Bobby was being picked by a bully at school.,The bully never picked on Bobby again.,Bobby's friend stood up for him and pushed down the bully.,Bobby's dog stood up for him and ate the bully.,1
Eva was nervous about gym class.,Eva had had nothing to worry about after all.,Many of Eva's graduates were nervous too.,Many of Eva's classmates were nervous too.,2
Kim wanted to go see the new movie in town.,Kim took her best friend to the movie.,Kim did not want to go to see the movie alone.,Kim wanted to see the movie alone.,1
Ava was doing laundry.,Ana angrily went to confront her cheating husband.,Ava found a womans phone number in her husbands pants pocket.,ava found a womans pocket book in her husband's pants pocket.,1
Ginger was in her bathroom washing her hands.,"Luckily, the fire wasn't too bad.",the store lost power.,The store caught on fire.,2
