observation_1,observation_2,hypothesis_1,hypothesis_2,label
أغضب والدي بوب.,أتى إلى المنزل مرة أخرى ولكن والديه لم يعرفا حتى أنه خرج.,أصيب بوب بالخداع بينما كان يختبئ.,أنجح بوب في الخروج سراً.,2
عملت أمي في غرفة المخزون في مارشالز.,قررت أمي أن تتحمل نفسها لتحقيق راتبها الجديد.,فازت أمي بجائزة بسبب كمية العمل الذي حققت وتم إعطاؤها نفس الراتب.,قال رئيس أمي أنها تحتاج إلى القيام بأكثر.,2
كان جيسون دائمًا يهتم بالحركات السريعة للكبار التى يرىها على التلفزيون.,فاز بقتله الأولى بضربة كو.,لم يترك إلهامه يذهب للفائض، تدرب و تدرب.,تعلم جيسون كيفية الغزل.,1
حاولت إрин تعلم كيفية الرسم.,لذلك انضمت إلى صف دروس رسم.,إرين، مارست الرسم في المنزل دون جدوى.,إرين، مارست الرسم في المنزل وأصبحت معروفة بمواهبها.,1
قرر جون سرقة سيارة شرطة.,ذهب جون إلى السجن لمدة ثلاث سنوات.,ضرب جون السيارة الشرطية في عائق الهاتف.,لم يتم القبض عليه.,1
كانت أحياناً أتأخر في دراستي.,لم أتأخر أبداً في دراستي الآن.,فشلت في امتحان كبير.,بعد الحصول على درجات جيدة، تعلمت درساً سهلاً.,1
كان يعقوب يكره المشي إلى المدرسة.,كان يعقوب قادرًا على شراء سيارة مستعملة لنفسه بعد 5 أشهر من الحفظ.,قرر يعقوب شراء سيارة لنفسه.,لم يكن يعقوب قادرًا على شراء سيارة.,1
ذهب روي إلى الحديقة لمشاهدة دوري البيسبول الصغير.,فقدت الفريق الزائر مشاكل الأداء نتيجة لذلك.,صرخ على اللاعبين بسبب كل هوم ران.,أصبح روي غير مريح للفريق الآخر.,2
بدأ ستان يشعر بالمرض في المدرسة في يوم ما.,استعيد ستان صحتة أخيراً لكنه قال إنه يريد حقنة الإنفلونزا من الآن فصاعداً.,كان ستان غائباً عن المدرسة لمدة أسبوع بسبب الألم في المعدة.,أرسلت راهبة المدرسة ستان إلى المنزل من المدرسة.,2
كانت ليزا وتيم متزوجين منذ فترة طويلة.,عملت.,ذهبا ليزا وتيم إلى مستشفى التكاثر لتحقيق الحمل.,قررا محاولة نصائح قدمت في كتاب عن العزف على الجيتار.,1
أحب آدم أن يأكل السندويشات عندما يشرب.,توفي آدم بسبب الاختناق بعد أن نسى إزالة غطاء الجبن.,صنع آدم سندويشًا لنفسه باستخدام الخبز والدجاج والقطعة من الجبن الأمريكي.,صنع آدم سندويشًا من الجبنة والفراولة.,1
كان توم يرسم حائطَه.,ترك توم حائطَه نصف رسم.,استنفد توم صبرَه بعد إنهاء الرسم.,سمع توم أن هناك مباراة وترك.,2
قررت أمي الانتقال من ويسكونسن إلى فلوريدا.,لكن التجربة لم تكن ممتعة بدون أصدقائها.,ستكون مع أصدقائها هناك.,رغبت أمي في العيش على الشاطئ.,2
أراد روجر أن يلعب التنس مثل روجر فيدرير.,لم يخبر روجر أحد أبداً أن جميع الكرات التي ألقاها لم تصل إلى المضمار.,أفرط روجر في النوم ونام معظم اليوم.,حاول روجر لكنه لم يكن مثل إلهامه.,2
كانت جولي تعمل مع زميل اسمه بري quien يحب أن يخلق مشاكل للآخرين.,كانت جولي محزونة للغاية.,لم يtell بري أحد أن جولي أطلقت غازا.,ضحك بري على سروال جولي المفتوح.,2
قرر بوب أن يذهب لركوب الأقدام في غابات إندونيسيا.,لقد نسى بوب أيضًا حذاءه.,أوقف بوب في منتصف رحلته بسبب عدم وجود صابون للنمل.,أوقف بوب في منتصف رحلته لتعليق حذائه.,1
لوسي دعته جميع أصدقائها لمناسبة طهي البيتزا.,عندما تم إتمام البيتزا، حصلوا على تجربة و كانت لذيذة.,قررت لوسي عمل البيتزا في المنزل.,بدأت لوسي في طلب البيتزا.,1
كان يومًا شديد الرياح.,أرغب جيم في أن لم يخرج في يوم مثل هذا مع حتيه الجديد.,وجد جيم حتيه الجديد في عاصفة.,أصاب حتيه جيم بالريح.,2
ذهب تريفور إلى البحيرة يومًا واحدًا لصيد الأسماك.,تم إجبار تريفور على العودة إلى المنزل بعد أن فقد عصاه الصيد.,كان الماء مثاليًا لجميع مستويات الصيد.,كان الماء يرمي عصي الصيد.,1
كانت أختي تعيش في أعلى مبنى سكني مرتفع.,أدركت أني خائف من ارتفاعات كبرى مثل هذه وأصبت بالهشاشة.,ذهبت لزيارتها وخرجت إلى البلكونة من شقتها مع نظرة رائعة.,نظرت من البلكونة إلى أدنى مكان لرى السحاب.,1
كانت أوليستر تعمل على مهاراتها باستخدام السهم.,أنهت في النهاية بالهبوط بشكل مستقيم واصطدمت بالرجل من المدرب.,كانت أوليستر لا تزال مبتدئة في استخدام السهم.,كانت أوليستر محترفة في استخدام السهم.,1
كان بيلي يخطط لاستقبال رئيسه للغداء.,كان بيلي لا يزال يفرش الأرضية عندما وصل رئيسه.,لعب بيلي ألعابًا ونسى النظافة حتى الساعة 5 مساءً.,أتى بيلي من العمل مبكرًا.,1
كانت مايا تسير جنب نهر، تبحث عن ضفادع.,حظيت بفرصة العودة إلى الوراء ووصلت إلى المنزل بأمان.,أصيبت بالسقوط في النهر.,انكسرت مايا ظهرها بعد أن سقطت على بعض الصخور.,1
كانت سوزان تحضر شوربة.,حاولت بكل جهدها أن تقطع الأجزاء السيئة.,كان عليها أن تضيف بعض الحساء.,كان عليها أن تضيف بعض الدجاج.,2
كانت لولو مشغولة للغاية مؤخرًا.,لكنها كانت مستعدة لإرسالها لأن المدرسة كانت ممتازة.,كانت بنت لولو ستنطلق إلى المدرسة لأول مرة.,كانت والد لولو تفكر في إرسالها إلى منزل جديد رغم اعتراضاتها.,1
أردت أن أ созда قناة فيديو.,بالفعل، كانت جافا سيئة للبرمجة في ألعاب الفيديو.,برمجت باستخدام جافا لعبة الروبوت.,برمجت باستخدام جافا لعبة الروبوت لأنها كانت سهلة.,1
أصابني صديقي الأقرب بالزواج وانتقل إلى هاواي.,استمرنا في الاحتفال لعدة أيام وذهبت إلى المنزل في نهاية الأسبوع.,زارتني صديقي الأقرب في رحلة إجازة.,ذهبت معها للاحتفال.,2
ذهب توم إلى متجر إلكتروني لشراء سماعات أذن.,قرر توم دائمًا شراء سماعات أذن أكثر تكلفة.,كان توم نخباء.,اشترى توم بعضها باهظ الثمن لكنها انكسرت في الحال.,1
كانا تحتاج إلى شراء فستان جديد للفعالية الرسمية الصيفية القادمة.,لا استطاعت المقاومة، لذلك اشترت الوعاء القديم.,في المتجر، رأت كانا وعاءً جميلاً جداً.,لا استطاعت كانا العثور على شيء واحد في المتجر.,1
أتى سام إلى المنزل ليرى الماء على كل مكان على الأرضية في مطبخه.,أعد سام إمداده من الثلاجة الجديدة بكل أكلاته المفضلة.,وضع سام منشفة تحت الثلاجة التي تتدفق منها الماء.,تسببت ثلاجته المكسورة في انفجار و كانت تتدفق منها الماء.,2
كانت آنا تعاني من رأس حاد سيء.,بالفعل، عندما استيقظت، اختفت الألم.,أخذت آنا بعض الأسبيرين ووضعت نفسها على الفراش ونامت.,ذهبت إلى حفل موسيقي لمغادرة الألم.,1
أنا ليلة السابق رآت حلماً عن ركوب الدراجات.,استيقظت بمرارة الحزن.,كان حلمي حقيقياً و كنت على رحلة دراجات ممتعة.,أنا في الواقع أمتلك دراجة.,1
كانت الليلة تبدأ بالظهور.,أصيبت والدتها بضربة قاسية عليها لانها جاءت متأخرة.,نسيّت ما هي الساعة و كانت في المنزل متأخرة.,كانت supposed أن تكون في المنزل ساعة بعد أن وصلت.,1
كانت كيم تريد شراء سيارة.,تم تعيين كيم للعمل و накопت ما يكفي من المال لسيارتها.,كانت كيم تحتاج إلى المزيد من المال من ما يمكن أن تحصل عليه.,تقدمت كيم للوظائف لتحصل على المال.,2
كان جو متأخرًا عن المدرسة.,كان جو قد أكل وجبة صباحية سريعة وصحية من التفاح والبابايا!,كان جو يملك الكثير من الوقت للطبخ شيءًا ما.,لم يكن جو يملك الوقت للطبخ شيءًا ما.,2
كان تيم بحاجة إلى فاكهة لتناولها.,في النهاية وجد بعض العنب الطازج لتناولها.,ذهب إلى السوق الكبير القريب.,بحث تيم لفترة طويلة في الثلاجة الملوثة.,2
كانت أم جينا قد أخذت كاسيت راب من أطفالها.,كان يبتسم وهو يقف أمام كاسيتُه الذي تم تكسيره.,كانت كاسيت الراب قاسية ومتعصبة.,أخذت جينا كاسيتًا جديدًا.,1
حبيبة كيلي تحب تناول الحلويات السكرية.,كلنا أكلنا سندويتش براوني كعكة للعشاء.,أمرنا بتقديم حلويات جميعها سوف تحبها.,أمرنا بتقديم أطباق أولى جميعها سوف تحبها.,1
كانت أورا دائماً thừa وزنًا.,بمساعدةهم، خسرت أورا أكثر من عشرين رطلًا!,قررت أورا أن تأكل بصحته لمدة شهر.,قررت أورا أنها تريد الحفاظ على وزنها.,1
قررت بريا أن تجرب مطعمًا جديدًا.,ظنّت بريا أن أكلها كان لذيذًا.,أمرت بثلاثة أطباق غاروسة.,الأكل الذي أمرت به بريا كان محمصًا ومقليًا مسبقًا.,1
كان جيمي وكاندس على رحلة توأم.,أخيراً، قررا على الجليد.,لم يعرف جيمي وكاندس ما الفيلم الذي سيشاهدانه.,لم يعرف جيمي وكاندس ماذا سيفعلان.,2
كان سكوت يشعر بالحزن المتزايد في آخر سنواته في نيويورك.,يخرج سكوت من نيويورك ويشعر بالراحة والوداع.,وجد سكوت وظيفة في نيويورك.,الroutine اليومية، والحركة المرورية الشديدة، والمواطنون الغاضبون في المدينة جعلوا سكوت يرغب في الحياة في قرية صغيرة.,2
ذهبت إلى المتجر يومًا لشراء ملابس.,ذهبت إلى المنزل ووجدت أن الجينز يتناسب بشكل أفضل.,اشتريت أحجام أكبر.,اشتريت جينز فكرت أنهم قيم قليلا.,1
كان سام في موعد مع خطيبها.,عندما سأل خطيبها إذا أرادت أن تخرج معه، صرخت في وجهه.,لقوا صديقًا جيدًا لسام على الطريق إلى العشاء.,ذهب الموعد بشكل سيء، ذهبوا إلى المنزل على أطراف أصابعهم.,1
يعمل Pam على استطلاعات يومياً لكي تحاول الفوز بالجوائز على Survey Monkey.,لم يبدو أن Pam تعتبر هناك أي شيء خاطئ في ذلك.,حاولت Pam بكل جهد أن تكون صادقة قدر الإمكان.,استغلت Pam وقتها بفعل استطلاعاتها.,2
كانت ليديا حلما غريبا الليلة الماضية.,رغبت ليديا في أن يكون الحلم حقيقة.,في حلم ليديا، كانت فقيرة ووحيدة.,في حلم ليديا، كانت غنية ومشهورة.,2
كان دينا دائما تريد ركوب الدراجة.,كانوا يركبون حول بعضهم البعض في دقائق.,سألت دينا جارها أن تركب معها.,سألت صديقتها دينا أن تعلمها كيف تركب.,1
كان كيلي تريد أن تลอง لفرقة كرة القدم هذا العام.,أحتفلت كيلي بالحصول على بيتزا.,حاولت كيلي لفرقة كرة القدم ولكن تم قطعها.,نجحت كيلي في دخول الفرقة.,2
كان توم متحمسًا لاستخدام غلاية الغاز الجديدة.,دمر غاراج توم وغلاية الغاز.,لم يตรวจف توم الغاز في الغلاية.,لم يตรวจف توم سلامة الغلاية.,2
ذهب مارتن إلى معسكر مع أصدقائه.,أصاب مارتن العديد من الأسماك حتى يستطيع الجميع أن يأكل.,ذهب أصدقاء مارتن إلى الصيد دون مارتن.,كان مارتن أفضل صياد في المجموعة.,2
كان سام متحمسًا لتنظيف سيارته.,لقد نسى إغلاق النافذة في كل هذا التوتر.,بعد غسيل السيارة اكتشف سام أن مقاعدها كلها مبللة.,أغلق جميع نوافذ سيارته وبدأ يتنامى في الخيال كيف سترتقي سيارته بعد الغسيل.,1
أرادت مايو حقًا أن تذهب إلى الحفلة التي ستقام في الأسبوع المقبل.,كتبت لها قراءة لطيفة ردًا على ذلك، Offering her two free tickets to the concert!,أرسلت مايو تغريداتًا بحثًا عن التذاكر.,لذلك اشترت 2 تذاكرًا عبر الإنترنت.,1
قررت مンディ أن تذهب إلى بيت جيك.,أصيبت مンディ بالذعر وتركت البيت بسرعة وصرخت.,عندما دخل مンディ الباب، كان جيك عاريا.,أصيب جيك بالخوف عندما دخل مンディ البيت.,1
كانت أستعصي علىّ العثور على حذاءي المريح.,حاملات الأشياء هي التي تظفر بها، قالت لي.,سارق الحذاء كان الكلب.,سارقت حذائي أختي.,2
لم أكن أحب لون شفتي.,مع مرور الوقت، قبل الناس في المدرسة أنني شخص أريد أن أكون.,استخدمت قلمًا لصبغها بنية فاتحة.,أردت أن أكون لدي شفتين طبيعية. صبغتها حمراء وأحبها الناس.,1
ذهبت عائلة إلى التسوق معًا.,اشترى الأب كمبيوترًا جديدًا للفتى.,كان الابن على حسن السلوك.,كان الفتى بحاجة إلى هاتف محمول جديد.,1
كانت أعمل على لابتوبي في يوم ما.,بعد دفع الفاتورة، لم أعد أتعرض للاحتياجات.,أصبت برسالة إلكترونية قائلة أن فاتورة الكابل كانت متوافرة وسيتم تحديث الخدمة.,كان الإنترنت بطيئا جدا ثم توقف تماما.,2
كان Isa يخطط للزواج لكنه لم يستطع تحمل تكلفة الزهور.,أصبح Isa يمتلك زهورًا جميلةً مختارةً يدويًا!,ذهب Isa إلى الموقع الريفي وجد بعض الزهور.,نسي Isa الزهور.,1
يوجد بزبر في منطقة المدرسة، كان يبني سدًا.,قرر البزبر مغادرة المنطقة وذهب إلى أسفل النهر.,أهالي المنطقة هدموا السد الذي كان البزبر يبنيه.,كان الجميع يتوافدون على الفندق، يحاولون رؤية البزبر.,1
كانت عائلتي على إجازة في إيطاليا.,كانت الصورة المفضلة لدينا من الإجازة.,أخذنا صورة جميلة من إسبانيا.,أخذنا صورة بجوار الكولوسيوم في روما.,2
قلت لبيل ألا يذهب إلى لانسين.,أصابته حادثة على الطريق السريع، كان عليه أن يسمع.,قال بيل إنه سيكون على ما يرام وذهب.,ذهب بيل إلى لانسين عن طريق الجو على أي حال.,1
أرادت ليف أن ترقص الباليه.,كانت زملاؤها في الفصل جميعًا حزينين وجلداءً!,سجلت أم ليف اسمها.,لم تكن ذكية للغاية.,1
أصيب صبي صغير في المستشفى بالمرض وعبده لاعب كرة سلة مشهور.,كان لاعب كرة السلة يقف أمام متجر القهوة.,في يوم من الأيام قالت سيدة الرعاية الصحية أنهم يجب أن يذهبوا إلى متجر القهوة للاستمتاع.,نظر لاعب البيسبول إلى النافذة إلى متجر قهوة.,1
كان جيك يزور الطرق الوعرة.,كان عليه أن يطلب مساعدة لخروجه.,أصبح جيك قادرًا على الخروج من الأتربة بحرية.,أصاب جيك بعض الأشياء بالتربة.,2
حصلت على لعبة سباق جديدة بالأمس.,أخيراً بعد ساعات من اللعب توقفت.,كانت ممتعة جداً، كنت كوميدياً.,جلست لاختبار اللعبة.,2
هيرودة هي رئيسة مكتبها.,لا تستطيع هيرودة أن تفهم لماذا يوجد مشكلة معها مع الناس!,لا تسأل هيرودة بطريقة لطيفة لتحصل على الأشياء بشكل غير محدد.,لا تسأل هيرودة بطريقة لطيفة لتحصل على الأشياء.,2
كانت كارلي قد دعا أطفالها من اللعب في الخارج.,ثم، وضع بعض الكريم المضاد للالتهابات على جسدها وطُربت أن يمر.,واحد منهم كان يعاني من سعال سيء.,اكتشفت كارلي أن ابنته قد دخلت في شجرة السوسن.,2
أليكسيس قد قطعت شجرة عيد الميلاد في الغابة.,عندما وضعته، كان حجمها مناسبًا لارتفاع سقفها.,تأكدت أليكسيس من أن الشجرة لا تقل عن 20 قدمًا ارتفاعًا.,كانت أليكسيس قلقًا من أن تكون كبيرة جدًا.,2
كانت فرانسين دائماً تحلم بأن تكون مصممة أزياء.,كانت فخورة لأنها اتبعت أحلامها.,قررت فرانسين الذهاب إلى المدرسة لتحقيق أحلامها.,تقدمت فرانسين بطلبة إلى كلية الأعمال.,1
ذهب جاك إلى مباراة كرة السلة الأولى مع والدته.,مع أن الجماهير كانت تشجع، عرف جاك أنهم لن ينسوا مباراته الأولى أبدًا.,أمسك جاك بالكرة التي طارت فوق الحاجز.,رأى جاك كيف أصبحت الجماهير غاضبة.,2
كان ناثان يتعرض للعنف في المدرسة.,علم ناثان أن عنفَه لن يمنع من تعرضه للعنف.,لم يشارك ناثان في معركة.,حصل ناثان على عقوبة الإقامة الجبرية في المدرسة.,2
جعل مايك منزلياً من المعكرونة يوماً ما.,أصبحت المعكرونة الآن من الأغذية الأساسية في نظام مايك.,وجد مايك المعكرونة صعبة الصنع.,يحب مايك الطعام الإيطالي.,2
أعطى صديق راندى إرشادات إلى بيتة.,أخبر صديق راندى كم كان مريضاً عندما وجدته.,علم راندى المنطقة جيداً.,لم يعرف تلك المنطقة من المدينة جيداً.,2
كان كاي مُحباً لفتى في صفها.,ابتسم لها بعد ذلك وقال إنه يحبها أيضا!,أرسلت قطعة حب من كات إلى الفتى.,أخبرته أنها لا تحبه.,1
أصبحت لاسي وكيرن في نزاع.,أعترفت كيرن لذلك حتى يعودا إلى صديقتين.,أحسست كيرن بالعجز عن البقاء بعيدة عن لاسي، فلا يمكنها أن لا تتحدث مع صديقتها.,أحسست لاسي بالعجز عن البقاء بعيدة عن كيرن، فلا يمكنها أن لا تتحدث مع صديقتها.,1
أخبرت صديقي أنني سأعلن إعلانه.,لذلك وضعت ابتسامة على وجهي وباركتته بالتوفيق.,أخبر صديقي أن لديه سرطان ويتوقع أن يموت في أسبوع.,عادة ما يتحدث صديقي عن بعض صفقة تجارية.,2
كان جورج على وشك المشاركة في أول مباراة محترفة له.,أثبت جورج مهاراته وفاز بمباراة أولى.,أعد جورج جهدا كبيرا لمدة يومين قبل المباراة.,كان جورج من المرشحين الخاسرون، لكنه كان قد أعد نفسه لمدة أشهر ليتنافس في هذا الحدث.,2
بوب و أطفاله يحبون كرة القدم.,بوب و أطفاله يتبادلان قبلة للاحتفال بالفوز.,الفريق الذي يحب بوب و أطفاله فاز.,لعبوا كرة السلة في الخلف كل بعد الظهر.,1
كان ألكس في تارجت مع أمه.,أصر على أمه على شراءه حتى ساهمت.,لم ير لعبة أرادها حقا في أي من الأقسام.,رأى ألكس لعبة أرادها حقا.,2
كانت نوڤا تحلم بأن تكون راقصة محترفة.,قبلت خيار نوڤا الثاني.,تقدمت نوڤا لعدة مدارس رقص ولكن رفضتها اختيارها الأول.,تقدمت نوڤا لمدرسة رقص واحدة.,1
بَنَوا كارلا وسام الصباح في بناء قصر من الرمال.,أدت المد اليهاب إلى تدميره.,حدثت حدث غير متوقع عندما لم يأتي المد في ذلك اليوم.,بُني القصر من الرمال على الشاطئ مباشرة.,2
كانت تامي في الصف الثامن.,قررت تامي أن تลอง أن تكون في فريق الكرة الطائرة للناشئين.,رغبت في أن تكون أقل مشاركة و تفقد أصدقاء.,كانت تامي طويلة القامة بالنسبة لسنها.,2
يُقدم دونالد نفسه لانتخابات الرئاسة.,أملًا أن يخسر الانتخابات.,دونالد شخص خيري وجميل.,دونالد ليس المرشح الذي أريد له أن يكون رئيسًا.,2
كانت حالتي جسدية سيئة جدا.,بعد أسبوعات من القفز بالحبل، بدأت أشعر بالخير.,لدي حبل قفز استخدمته في المنزل.,وعدت بتمارين الرياضة كل شهر من خلال القفز بالحبل.,1
أخبرت أم أورا أنها كانت لديهم فاتورة غاز عالية جدًا.,كانت أورا غير سعداء، لكنها فهمت.,كانت عائلة أورا تحتاج إلى استخدام المزيد من الغاز.,أمرت أم أورا بإخراج أورا من البيت حتى تقل الفاتورة الغازية.,2
كانت بعض الكلاب تحاول أن تمنعني من النوم حتى لم أستطع تحملها anymore.,أعطيت للكلب الطفل الطعام وذهبت إلى الفراش مجددًا، كلانا سعداء.,تم إعطاء الكلب الطفل لي من قبل عصفور.,استيقظت و حاولت أن أعرف لماذا كانوا يبكون.,2
دانيان دخل مسابقة للأكل في معرض محلي.,دانيان خسر المسابقة، وأصيب بالمرض لعدة أيام.,دانيان أكل الكثير من الطعام ببطء شديد،hoping للفوز.,دانيان حاول أن يأكل 30 سجق باردًا.,2
زارت صديقة ميليسا.,الحظ كان معهم، عندما أشار ميليسا إلى ذلك، أعتذر صديقها.,كانت ميليسا غير لطيفة.,أصر صديق ميليسا على الخروج لتناول الطعام في مكان يكرهه ميليسا.,2
كانت معلمة نيل تحب طالبة الفنون الخاصة بها.,استمتعت المعلمة بأن نيل رسمت صورة للعظم للحيوان.,درست نيل علم الأحياء لترسم حيوانا.,أخبرت نيل بأنها يجب أن تفعل شيء غير متوقع.,2
لم يكن إلي يعرف كيف يشد حذاءه.,تعلم إلي و الآن يشد مثل محترف.,سأل أبوه إلي كيف يشد حذاءه.,سأل إلي أبوه كيف يشد حذاءه.,2
عندما كانت فرانسين طفلة صغيرة، كان عذوقها المفضل هو السكر المطاطي.,اشترت حقيبة منه لتقسمها مع أصدقائها.,كانت متحمسة لشراء بعض اليوم.,رأت فرانسين البانان للبيع في المهرجان.,1
ذهب بن إلى الشاطئ في يوم مشمس.,دخل بن إلى خيمته ونام.,استغرق بن ساعات يجلس في الشمس.,قام بن بتركيب خيمة كبيرة على الرمال لمنع الشمس.,1
أراد تيلي الهروب من السجن.,حاولت محاولة هروب تيلي وتم إيقافها و عقابها.,ركض تيلي إلى الباب الأمامي للسجن في ليلة واحدة.,صمم دوغ خطة.,1
كان سام مضطرًا لدفع ديونه من البطاقات الائتمانية.,أصبح سام قادرًا في النهاية على دفع ديونه من البطاقات الائتمانية.,فقد سام وظيفته ولم يكن قادرًا على سداد الدفعة.,قرر سام العمل في وظفتين لسد ديونه.,2
كانت كيتي قد أذبذبت في تنظيف مطبخها.,استخدمت الخل لضمان أن يكون نظيفًا وآمنًا.,أصبح المطبخ سيئًا للغاية حتى قد ينمو الفطر.,كان على كيتي أن تسرع في تنظيفه.,2
أعطى صديق راندى إرشادات إلى منزله.,رأى راندى المنزل لكنه استمر في السير ولم يعود.,اتخذ الإرشادات راندى من خلال جزء كبير من المدينة.,كان المنزل يحتوي على نوافذ مغطاة وبدا سيئًا.,2
كانت أنا سائقًا على الطريق السريع عندما انقطع سيارتي suddenly.,أظهرت الأوراق أن تأميني يغطي شاحنة الإسعاف و الباقي كان رخيصًا!,قلت ل نفسي كيف سأحصل على شاحنة الإسعاف.,دعوت شركة تأميني لترى إذا كان بإمكاني الحصول على مساعدة.,2
كانت تيا في الكلية وذهبت إلى المنزل للاحتفال بالعطلات.,قبل أن تغادر، أخبرها والداها أنهم يخططون للطلاق.,أكلت تيا مع والديها.,ظنت تيا أن هناك شيء يبدو جيدًا بين والديها.,1
كانت أم جو دائماً تُزعجَه لكي يشد صبغ حذائه.,كما أنه ينام في أسفل السلم أردف أن يسمع.,انكسر جو في أسفل السلم مع حذائه غير مشدود.,شد جو صبغه و انكسر في أسفل السلم.,1
